node_id,full_name,stratum_indeg,stratum_size,NL,F_signature,F_B,F_T,dep_count,dep_truncated,judge_prefer,judge_notes,vacuous_B,vacuous_T,edit_dist_B,edit_dist_T,typecheck_B,typecheck_T
144383,PNat.xgcd,dense,small,"The function `PNat.xgcd` takes two positive natural numbers `a` and `b` and returns an element of type `PNat.XgcdType`, which represents the extended Euclidean algorithm result for positive natural numbers, containing information about the greatest common divisor and the coefficients of Bézout's identity.",PNat.xgcd (a b : ℕ+) : PNat.XgcdType,"```lean
def PNat.xgcd (a b : ℕ+) : PNat.XgcdType
```","```lean
def PNat.xgcd (a b : ℕ+) : PNat.XgcdType
```",5,0,tie,Both candidates are syntactically identical to the target signature.,False,False,3,3,True,False
175107,ENNReal.tsum_coe_eq,dense,small,"The theorem states that if a function $f$ from a type $\alpha$ to the non-negative real numbers has sum $r$ (in the sense of having $r$ as its convergent sum), then the infinite sum of $f(a)$ over all $a$ in $\alpha$, viewed as extended non-negative real numbers, equals $r$ viewed as an extended non-negative real number.","ENNReal.tsum_coe_eq.{u_1} {α : Type u_1} {r : NNReal} {f : α → NNReal} (h : HasSum f r) : ∑' (a : α), ↑(f a) = ↑r","```lean
theorem tsum_coe_ne_zero_iff {α : Type*} {f : α → ℝ≥0} {r : ℝ≥0} (h : ∑' (a : α), f a = r) : 
  ∑' (a : α), (f a : ℝ≥0∞) = ↑r := by sorry
```","```lean
theorem ENNReal.hasSum_coe_nnreal {α : Type*} {f : α → NNReal} {r : NNReal} (h : HasSum f r) : 
    ∑' (a : α), (f a : ENNReal) = ↑r := by sorry
```",31,0,T,"A matches the target signature exactly (HasSum premise, tsum conclusion). B uses a tsum premise instead of HasSum, changing the theorem's meaning.",False,False,25,18,False,True
99632,Nat.lt_pred_iff,dense,small,"The theorem states that for natural numbers $n$ and $m$, $n$ is less than the predecessor of $m$ if and only if the successor of $n$ is less than $m$.",Nat.lt_pred_iff {n : ℕ} {m : ℕ} : n < Nat.pred m ↔ Nat.succ n < m,"```lean
theorem lt_pred_iff_succ_lt (n m : ℕ) : n < Nat.pred m ↔ Nat.succ n < m := by sorry
```","```lean
theorem Nat.lt_pred_iff (n m : ℕ) : n < Nat.pred m ↔ Nat.succ n < m := by sorry
```",25,0,T,B matches the target name and signature exactly; A renames theorem,False,False,10,10,True,True
10968,Int.le_sub_one_iff,dense,small,"The theorem states that for integers $m$ and $n$, the inequality $m \leq n - 1$ holds if and only if $m < n$.",Int.le_sub_one_iff {m n : ℤ} : m ≤ n - 1 ↔ m < n,"```lean
theorem int_le_sub_one_iff_lt (m n : ℤ) : m ≤ n - 1 ↔ m < n := by sorry
```","```lean
theorem Int.le_sub_one_iff_lt (m n : ℤ) : m ≤ n - 1 ↔ m < n :=
  Iff.intro Int.lt_of_le_sub_one Int.le_sub_one_of_lt
```",23,0,T,A proves the iff using named lemmas; B is incomplete (sorry). Both match semantics.,False,False,9,10,True,True
113630,IsRetrocompact.empty,dense,small,"In any topological space $X$, the empty set is retrocompact, meaning it satisfies the retrocompactness property.",IsRetrocompact.empty.{u_2} {X : Type u_2} [TopologicalSpace X] : IsRetrocompact ∅,"```lean
theorem isRetrocompact_empty {X : Type*} [TopologicalSpace X] : IsRetrocompact (∅ : Set X) := by sorry
```","```lean
theorem isRetrocompact_empty {X : Type u_1} [TopologicalSpace X] : IsRetrocompact (∅ : Set X) := by sorry
```",24,0,tie,Both candidates are semantically identical; universe variable naming (u_1 vs u_2) is irrelevant.,False,False,13,12,False,True
68271,Lean.SubExpr.Pos.asNat,dense,small,The function `Lean.SubExpr.Pos.asNat` converts a subexpression position (of type `Lean.SubExpr.Pos`) to a natural number.,Lean.SubExpr.Pos.asNat : Lean.SubExpr.Pos → ℕ,"```lean
def Lean.SubExpr.Pos.asNat (p : Lean.SubExpr.Pos) : ℕ := by sorry
```","```lean
def Lean.SubExpr.Pos.asNat : Lean.SubExpr.Pos → Nat
```",4,0,T,B matches the signature exactly; A uses tactic mode unnecessarily and ℕ vs Nat is notation.,False,False,9,4,True,True
4075,Polynomial.IsRoot,dense,small,"Looking at the Lean 4 declaration, `Polynomial.IsRoot p a` is a predicate that states whether an element `a` of a semiring `R` is a root of a polynomial `p` with coefficients in `R`. Specifically, `a` is a root of `p` if and only if evaluating the polynomial `p` at `a` yields zero, that is, `p(a) = 0`.",Polynomial.IsRoot.{u} {R : Type u} [Semiring R] (p : Polynomial R) (a : R) : Prop,"```lean
def Polynomial.IsRoot (p : Polynomial R) (a : R) : Prop := p.eval a = 0
```","```lean
def Polynomial.IsRoot {R : Type u} [Semiring R] (p : Polynomial R) (a : R) : Prop :=
  Polynomial.eval a p = 0
```",9,0,tie,"Both candidates are semantically identical definitions of IsRoot, differing only in style (qualified vs dot notation).",False,False,13,10,False,False
3880,String.Slice.Subslice.endExclusive,dense,small,The function `String.Slice.Subslice.endExclusive` takes a subslice of a string slice and returns the exclusive end position of that subslice as a position in the original string slice.,String.Slice.Subslice.endExclusive {s : String.Slice} (self : String.Slice.Subslice s) : String.Slice.Pos s,"```lean
def String.Slice.Subslice.endExclusive (ss : String.Slice.Subslice) : String.Pos := by sorry
```","```lean
def String.Slice.Subslice.endExclusive {s : String.Slice} (ss : String.Slice.Subslice s) : String.Slice.Pos s
```",3,0,T,"A matches target signature exactly; B has wrong types (missing parameter, wrong return type)",False,False,10,4,False,True
11983,Filter.coLindelof,dense,small,The coLindelöf filter on a topological space X is the filter generated by all Lindelöf subsets of X (where a subset is Lindelöf if every open cover has a countable subcover).,Filter.coLindelof.{u_2} (X : Type u_2) [TopologicalSpace X] : Filter X,"```lean
def coLindelöfFilter (X : Type*) [TopologicalSpace X] : Filter X :=
  Filter.generate {s : Set X | IsLindelöf s}
```","```lean
def coLindelofFilter {X : Type*} [TopologicalSpace X] : Filter X :=
  iInf fun s : {s : Set X // IsLindelof s} => Filter.principal s.val
```",9,0,T,B uses iInf of principal filters (standard cofilter construction); A uses generate which is less precise for representing cofilters.,False,False,15,22,True,False
30057,Subgroup.coe_pow,dense,small,"The theorem states that for a subgroup H of a group G, an element x in H, and a natural number n, the coercion of x raised to the power n (computed in the subgroup H) equals the coercion of x raised to the power n (where the power is computed in the ambient group G).",Subgroup.coe_pow.{u_1} {G : Type u_1} [Group G] (H : Subgroup G) (x : ↥H) (n : ℕ) : ↑(x ^ n) = ↑x ^ n,"```lean
theorem Subgroup.coe_pow {G : Type*} [Group G] {H : Subgroup G} (x : H) (n : ℕ) :
    ↑(x ^ n) = (↑x : G) ^ n := by sorry
```","```lean
theorem Subgroup.coe_npow {G : Type*} [Group G] (H : Subgroup G) (x : H) (n : ℕ) :
    ↑(x ^ n) = (↑x : G) ^ n := by sorry
```",23,0,B,A matches target name coe_pow and uses implicit H; B wrongly names it coe_npow.,False,False,15,13,True,False
