body,slogan,label,tag,link
"Let $\mathcal{C}$ be a site. Let $U$ be an object of $\mathcal{C}$. The following are equivalent \begin{enumerate} \item $U$ is quasi-compact, and \item for every surjection of sheaves $\coprod_{i \in I} \mathcal{F}_i \to h_U^\#$ there is a finite subset $J \subset I$ such that $\coprod_{i \in J} \mathcal{F}_i \to h_U^\#$ is surjective. \end{enumerate}",The spectrum of a ring is quasi-compact,lemma-quasi-compact,0D06,https://stacks.math.columbia.edu/tag/0D06
"Let $R$ be a ring. Let $M$ be an $R$-module. Let $S$ be an $R$-algebra. Suppose that $f_1, \ldots, f_n$ is a finite list of elements of $R$ such that $\bigcup D(f_i) = \mathop{\mathrm{Spec}}(R)$, in other words $(f_1, \ldots, f_n) = R$. \begin{enumerate} \item If each $M_{f_i} = 0$ then $M = 0$. \item If each $M_{f_i}$ is a finite $R_{f_i}$-module, then $M$ is a finite $R$-module. \item If each $M_{f_i}$ is a finitely presented $R_{f_i}$-module, then $M$ is a finitely presented $R$-module. \item Let $M \to N$ be a map of $R$-modules. If $M_{f_i} \to N_{f_i}$ is an isomorphism for each $i$ then $M \to N$ is an isomorphism. \item Let $0 \to M'' \to M \to M' \to 0$ be a complex of $R$-modules. If $0 \to M''_{f_i} \to M_{f_i} \to M'_{f_i} \to 0$ is exact for each $i$, then $0 \to M'' \to M \to M' \to 0$ is exact. \item If each $R_{f_i}$ is Noetherian, then $R$ is Noetherian. \item If each $S_{f_i}$ is a finite type $R_{f_i}$-algebra, then $S$ is a finite type $R$-algebra. \item If each $S_{f_i}$ is of finite presentation over $R_{f_i}$, then $S$ is a finitely presented $R$-algebra. \end{enumerate}",Zariski-local properties of modules and algebras,lemma-cover,00EO,https://stacks.math.columbia.edu/tag/00EO
Any finitely generated ring over a Noetherian ring is Noetherian. Any localization of a Noetherian ring is Noetherian.,Noetherian property is stable by passage to finite type extension and localization.,lemma-Noetherian-permanence,00FN,https://stacks.math.columbia.edu/tag/00FN
A Noetherian scheme has a finite number of irreducible components.,A Noetherian affine scheme has finitely many generic points.,lemma-Noetherian-irreducible-components,0BA8,https://stacks.math.columbia.edu/tag/0BA8
"Let $R$ be a Noetherian ring. Let $I, J$ be ideals of $R$. Suppose $J \subset \sqrt{I}$. Then $J^n \subset I$ for some $n$. In particular, in a Noetherian ring the notions of ``locally nilpotent ideal'' and ``nilpotent ideal'' coincide.",An ideal in a Noetherian ring is nilpotent if each element of the ideal is nilpotent.,lemma-Noetherian-power,00IM,https://stacks.math.columbia.edu/tag/00IM
Suppose that $R \to S$ and $S \to T$ are integral ring maps. Then $R \to T$ is integral.,A composition of integral ring maps is integral,lemma-integral-transitive,00GN,https://stacks.math.columbia.edu/tag/00GN
"Let $\varphi : R \to S$ be a ring map. Let $x \in S$. The following are equivalent: \begin{enumerate} \item $x$ is integral over $R$, and \item for every prime ideal $\mathfrak p \subset R$ the element $x \in S_{\mathfrak p}$ is integral over $R_{\mathfrak p}$. \end{enumerate}",An element of an algebra over a ring is integral over the ring if and only if it is locally integral at every prime ideal of the ring.,lemma-integral-closure-stalks,034K,https://stacks.math.columbia.edu/tag/034K
The base change of an integral (resp.\ finite) morphism is integral (resp.\ finite).,Integrality and finiteness are preserved under base change.,lemma-base-change-integral,03ZS,https://stacks.math.columbia.edu/tag/03ZS
"Let $M$ be a flat $R$-module. The following are equivalent: \begin{enumerate} \item $M$ is faithfully flat, \item for every nonzero $R$-module $N$, then tensor product $M \otimes_R N$ is nonzero, \item for all $\mathfrak p \in \mathop{\mathrm{Spec}}(R)$ the tensor product $M \otimes_R \kappa(\mathfrak p)$ is nonzero, and \item for all maximal ideals $\mathfrak m$ of $R$ the tensor product $M \otimes_R \kappa(\mathfrak m) = M/{\mathfrak m}M$ is nonzero. \end{enumerate}",A flat module is faithfully flat if and only if it has nonzero fibers.,lemma-ff,00HP,https://stacks.math.columbia.edu/tag/00HP
Let $R$ be a ring. Let $M$ be an $R$-module. Then $$ M = (0) \Leftrightarrow \text{Supp}(M) = \emptyset. $$,A module over a ring has empty support if and only if it is the trivial module.,lemma-support-zero,0585,https://stacks.math.columbia.edu/tag/0585
Let $k$ be a field with perfection $k^{perf}$. Let $X$ be a connected scheme over $k$. Then $X_{k^{perf}}$ is connected and $\pi_1(X_{k^{perf}}) \to \pi_1(X)$ is an isomorphism.,Every field has a unique perfect closure.,lemma-perfection,0BTW,https://stacks.math.columbia.edu/tag/0BTW
"Let $I$ be a directed set. Let $(A_i, \varphi_{ij})$ be a system of valuation rings over $I$. Then $A = \mathop{\mathrm{colim}}\nolimits A_i$ is a valuation ring.",Valuation rings are stable under filtered direct limits,lemma-colimit-valuation-rings,0AS4,https://stacks.math.columbia.edu/tag/0AS4
Let $R$ be a ring. Let $M$ be an $R$-module. If $\text{length}_R(M) < \infty$ then $M$ is a finite $R$-module.,Modules of finite length are finite.,lemma-finite-length-finite,02LZ,https://stacks.math.columbia.edu/tag/02LZ
If $0 \to M' \to M \to M'' \to 0$ is a short exact sequence of modules over $R$ then the length of $M$ is the sum of the lengths of $M'$ and $M''$.,Length is additive in short exact sequences.,lemma-length-additive,00IV,https://stacks.math.columbia.edu/tag/00IV
Let $X$ be a locally Noetherian scheme. Let $\mathcal{F}$ be a quasi-coherent $\mathcal{O}_X$-module. Then $$ \mathcal{F} = 0 \Leftrightarrow \text{Ass}(\mathcal{F}) = \emptyset. $$,Over a Noetherian ring each nonzero module has an associated prime.,lemma-ass-zero,05AG,https://stacks.math.columbia.edu/tag/05AG
Let $X$ be a scheme. Let $\mathcal{F}$ be a quasi-coherent $\mathcal{O}_X$-module. Then $$ \mathcal{F} = (0) \Leftrightarrow \text{WeakAss}(\mathcal{F}) = \emptyset $$,Every nonzero module has a weakly associated prime.,lemma-weakly-ass-zero,05AP,https://stacks.math.columbia.edu/tag/05AP
"Let $R, S$ be local rings. Let $R \to S$ be a flat local ring homomorphism. Let $x_1, \ldots, x_r$ be a sequence in $R$. Let $M$ be an $R$-module. The following are equivalent \begin{enumerate} \item $x_1, \ldots, x_r$ is an $M$-regular sequence in $R$, and \item the images of $x_1, \ldots, x_r$ in $S$ form a $M \otimes_R S$-regular sequence. \end{enumerate}",Flat local ring homomorphisms preserve and reflect regular sequences.,lemma-flat-increases-depth,00LM,https://stacks.math.columbia.edu/tag/00LM
If $R$ is reduced then every (affine) blowup algebra of $R$ is reduced.,Being reduced is invariant under blowup,lemma-blowup-reduced,052S,https://stacks.math.columbia.edu/tag/052S
"If $P$ is a projective $R$-module, then $P$ is a direct sum of countably generated projective $R$-modules.",Any projective module is a direct sum of countably generated projective modules.,theorem-projective-direct-sum,058Y,https://stacks.math.columbia.edu/tag/058Y
"If $P$ is a projective module over a local ring $R$, then $P$ is free.",Projective modules over local rings are free.,theorem-projective-free-over-local-ring,0593,https://stacks.math.columbia.edu/tag/0593
Let $R$ be a Noetherian local ring. Assume there exists a Cohen-Macaulay module $M$ with $\mathop{\mathrm{Spec}}(R) = \text{Supp}(M)$. Then any maximal chain of prime ideals $\mathfrak p_0 \subset \mathfrak p_1 \subset \ldots \subset \mathfrak p_n$ has length $n = \dim(R)$.,"In a local Cohen-Macaulay ring, any maximal chain of prime ideals has length equal to the dimension.",lemma-maximal-chain-maximal-CM,0AAE,https://stacks.math.columbia.edu/tag/0AAE
"Let $R$ be a Noetherian local Cohen-Macaulay ring with maximal ideal $\mathfrak m $. Let $x_1, \ldots, x_c \in \mathfrak m$ be elements. Then $$ x_1, \ldots, x_c \text{ is a regular sequence } \Leftrightarrow \dim(R/(x_1, \ldots, x_c)) = \dim(R) - c $$ If so $x_1, \ldots, x_c$ can be extended to a regular sequence of length $\dim(R)$ and each quotient $R/(x_1, \ldots, x_i)$ is a Cohen-Macaulay ring of dimension $\dim(R) - i$.",Regular sequences in Cohen-Macaulay local rings are characterized by cutting out something of the correct dimension.,lemma-reformulate-CM,02JN,https://stacks.math.columbia.edu/tag/02JN
"Let $R \to S$ be a ring map. The following are equivalent \begin{enumerate} \item $R \to S$ is an epimorphism and finite, and \item $R \to S$ is surjective. \end{enumerate}",A ring map is surjective if and only if it is a finite epimorphism.,lemma-finite-epimorphism-surjective,04VT,https://stacks.math.columbia.edu/tag/04VT
"Let $R$ be a ring. If $I, J \subset R$ are pure ideals, then $V(I) = V(J)$ implies $I = J$.",Pure ideals are determined by their vanishing locus.,lemma-pure-ideal-determined-by-zero-set,04PT,https://stacks.math.columbia.edu/tag/04PT
"Let $k$ be a field. Let $S = k[x_1, \ldots, x_n]/I$ for some ideal $I$. If $I \neq (1)$, there exist $r\geq 0$, and $y_1, \ldots, y_r \in k[x_1, \ldots, x_n]$ such that (a) the map $k[y_1, \ldots, y_r] \to S$ is injective where the source is the polynomial ring on $y_1, \ldots, y_r$, and (b) the map $k[y_1, \ldots, y_r] \to S$ is finite. In this case the integer $r$ is the dimension of $S$. Moreover we may choose $y_i$ to be in the $\mathbf{Z}$-subalgebra of $k[x_1, \ldots, x_n]$ generated by $x_1, \ldots, x_n$.",Noether normalization,lemma-Noether-normalization,00OY,https://stacks.math.columbia.edu/tag/00OY
"Let $R \to S$ be a ring map. Let $M$ be an $S$-module. Assume \begin{enumerate} \item $R$ is a domain, \item $R \to S$ is of finite presentation, and \item $M$ is an $S$-module of finite presentation. \end{enumerate} Then there exists a nonzero $f \in R$ such that $M_f$ is a free $R_f$-module.",Generic freeness.,lemma-generic-flatness-finitely-presented,051S,https://stacks.math.columbia.edu/tag/051S
Let $A$ be a ring. Let $I$ and $J$ be nonzero ideals of $A$ such that $IJ = (f)$ for some nonzerodivisor $f \in A$. Then $I$ and $J$ are finitely generated ideals and finitely locally free of rank $1$ as $A$-modules.,A product of ideals is an invertible module iff both factors are.,lemma-product-ideals-principal,09ME,https://stacks.math.columbia.edu/tag/09ME
"Let $R \to S$ be a ring map of finite type. Let $\mathfrak q \subset S$ be a prime lying over $\mathfrak p \subset R$. Let $F = \mathop{\mathrm{Spec}}(S \otimes_R \kappa(\mathfrak p))$ be the fibre of $\mathop{\mathrm{Spec}}(S) \to \mathop{\mathrm{Spec}}(R)$, see Remark \ref{remark-fundamental-diagram}. Denote $\overline{\mathfrak q} \in F$ the point corresponding to $\mathfrak q$. The following are equivalent \begin{enumerate} \item $\overline{\mathfrak q}$ is an isolated point of $F$, \item $S_{\mathfrak q}/\mathfrak pS_{\mathfrak q}$ is finite over $\kappa(\mathfrak p)$, \item there exists a $g \in S$, $g \not \in \mathfrak q$ such that the only prime of $D(g)$ mapping to $\mathfrak p$ is $\mathfrak q$, \item $\dim_{\overline{\mathfrak q}}(F) = 0$, \item $\overline{\mathfrak q}$ is a closed point of $F$ and $\dim(S_{\mathfrak q}/\mathfrak pS_{\mathfrak q}) = 0$, and \item the field extension $\kappa(\mathfrak q)/\kappa(\mathfrak p)$ is finite and $\dim(S_{\mathfrak q}/\mathfrak pS_{\mathfrak q}) = 0$. \end{enumerate}",Equivalent conditions for isolated points in fibres,lemma-isolated-point-fibre,00PK,https://stacks.math.columbia.edu/tag/00PK
"Let $k$ be a field. Let $S$ be a finite type $k$-algebra. Suppose there is a quasi-finite $k$-algebra map $k[t_1, \ldots, t_n] \subset S$. Then $\dim(S) \leq n$.",A quasi-finite cover of affine n-space has dimension at most n.,lemma-dimension-quasi-finite-over-polynomial-algebra,00QG,https://stacks.math.columbia.edu/tag/00QG
"Let $R \to S$ be a local homomorphism of Noetherian local rings. Assume \begin{enumerate} \item $R$ is regular, \item $S$ Cohen-Macaulay, \item $\dim(S) = \dim(R) + \dim(S/\mathfrak m_R S)$. \end{enumerate} Then $R \to S$ is flat.",Miracle flatness,lemma-CM-over-regular-flat,00R4,https://stacks.math.columbia.edu/tag/00R4
"The module of differentials of $S$ over $R$ has the following universal property. The map $$ \mathop{\mathrm{Hom}}\nolimits_S(\Omega_{S/R}, M) \longrightarrow \text{Der}_R(S, M), \quad \alpha \longmapsto \alpha \circ \text{d} $$ is an isomorphism of functors.",Maps out of the module of differentials are the same as derivations.,lemma-universal-omega,00RO,https://stacks.math.columbia.edu/tag/00RO
"Let $A \to B$ be a ring map. Let $g \in B$. Suppose $\alpha : P \to B$ is a presentation with kernel $I$. Then a presentation of $B_g$ over $A$ is the map $$ \beta : P[x] \longrightarrow B_g $$ extending $\alpha$ and sending $x$ to $1/g$. The kernel $J$ of $\beta$ is generated by $I$ and the element $f x - 1$ where $f \in P$ is an element mapped to $g \in B$ by $\alpha$. In this situation we have \begin{enumerate} \item $J/J^2 = (I/I^2)_g \oplus B_g (f x - 1)$, \item $\Omega_{P[x]/A} \otimes_{P[x]} B_g = \Omega_{P/A} \otimes_P B_g \oplus B_g \text{d}x$, \item $\mathop{N\!L}\nolimits(\beta) \cong \mathop{N\!L}\nolimits(\alpha) \otimes_B B_g \oplus (B_g \xrightarrow{g} B_g)$ \end{enumerate} Hence the canonical map $\mathop{N\!L}\nolimits_{B/A} \otimes_B B_g \to \mathop{N\!L}\nolimits_{B_g/A}$ is a homotopy equivalence.",The formation of the naive cotangent complex commutes with localization at an element.,lemma-principal-localization-NL,08JZ,https://stacks.math.columbia.edu/tag/08JZ
Let $R \to S$ be a ring map. Let $R \to R'$ be a faithfully flat ring map. Set $S' = R'\otimes_R S$. Then $R \to S$ is syntomic if and only if $R' \to S'$ is syntomic.,Being syntomic is fpqc local on the base.,lemma-syntomic-descends,00SM,https://stacks.math.columbia.edu/tag/00SM
The base change of a morphism which is smooth is smooth.,Smoothness is preserved under base change,lemma-base-change-smooth,01VB,https://stacks.math.columbia.edu/tag/01VB
Let $R \to S$ be a ring map. Then $R \to S$ is smooth if and only if $R \to S$ is smooth at every prime $\mathfrak q$ of $S$.,A ring map is smooth if and only if it is smooth at all primes of the target,lemma-locally-smooth,00TC,https://stacks.math.columbia.edu/tag/00TC
"Let $\varphi : R \to S$ be a smooth ring map. Let $\sigma : S \to R$ be a left inverse to $\varphi$. Set $I = \mathop{\mathrm{Ker}}(\sigma)$. Then \begin{enumerate} \item $I/I^2$ is a finite locally free $R$-module, and \item if $I/I^2$ is free, then $S^\wedge \cong R[[t_1, \ldots, t_d]]$ as $R$-algebras, where $S^\wedge$ is the $I$-adic completion of $S$. \end{enumerate}","If $R$ is a summand of $S$ and $S$ is smooth over $R$, then the $I$-adic completion of $S$ is often a power series over $R$ where $I$ is the kernel of the projection map from $S$ to $R$.",lemma-section-smooth,05D5,https://stacks.math.columbia.edu/tag/05D5
Let $R$ be a ring and let $I \subset R$ be an ideal. Let $R/I \to \overline{S}$ be an \'etale ring map. Then there exists an \'etale ring map $R \to S$ such that $\overline{S} \cong S/IS$ as $R/I$-algebras.,\'Etale ring maps lift along surjections of rings,lemma-lift-etale,04D1,https://stacks.math.columbia.edu/tag/04D1
"Let $R \to S$ be a ring map. Let $\mathfrak p$ be a prime of $R$. If $R \to S$ is unramified then there exist \begin{enumerate} \item an \'etale ring map $R \to R'$, \item a prime $\mathfrak p' \subset R'$ lying over $\mathfrak p$. \item a product decomposition $$ R' \otimes_R S = A_1 \times \ldots \times A_n \times B $$ \end{enumerate} with the following properties \begin{enumerate} \item $R' \to A_i$ is surjective, \item $\mathfrak p'A_i$ is a prime of $A_i$ lying over $\mathfrak p'$, and \item there is no prime of $B$ lying over $\mathfrak p'$. \end{enumerate}","In an unramified ring map, one can separate the points in a fiber by passing to an \'etale neighbourhood.",lemma-etale-makes-unramified-closed,00UY,https://stacks.math.columbia.edu/tag/00UY
"Let $(R, \mathfrak m, \kappa)$ be a local ring. The following are equivalent \begin{enumerate} \item $R$ is henselian, \item for every $f \in R[T]$ and every root $a_0 \in \kappa$ of $\overline{f}$ such that $\overline{f'}(a_0) \not = 0$ there exists an $a \in R$ such that $f(a) = 0$ and $a_0 = \overline{a}$, \item for any monic $f \in R[T]$ and any factorization $\overline{f} = g_0 h_0$ with $\gcd(g_0, h_0) = 1$ there exists a factorization $f = gh$ in $R[T]$ such that $g_0 = \overline{g}$ and $h_0 = \overline{h}$, \item for any monic $f \in R[T]$ and any factorization $\overline{f} = g_0 h_0$ with $\gcd(g_0, h_0) = 1$ there exists a factorization $f = gh$ in $R[T]$ such that $g_0 = \overline{g}$ and $h_0 = \overline{h}$ and moreover $\deg_T(g) = \deg_T(g_0)$, \item for any $f \in R[T]$ and any factorization $\overline{f} = g_0 h_0$ with $\gcd(g_0, h_0) = 1$ there exists a factorization $f = gh$ in $R[T]$ such that $g_0 = \overline{g}$ and $h_0 = \overline{h}$, \item for any $f \in R[T]$ and any factorization $\overline{f} = g_0 h_0$ with $\gcd(g_0, h_0) = 1$ there exists a factorization $f = gh$ in $R[T]$ such that $g_0 = \overline{g}$ and $h_0 = \overline{h}$ and moreover $\deg_T(g) = \deg_T(g_0)$, \item for any \'etale ring map $R \to S$ and prime $\mathfrak q$ of $S$ lying over $\mathfrak m$ with $\kappa = \kappa(\mathfrak q)$ there exists a retraction $\tau : S \to R$ of $R \to S$, \item for any \'etale ring map $R \to S$ and prime $\mathfrak q$ of $S$ lying over $\mathfrak m$ with $\kappa = \kappa(\mathfrak q)$ there exists a unique retraction $\tau : S \to R$ of $R \to S$ such that $\mathfrak q = \tau^{-1}(\mathfrak m)$, \item any finite $R$-algebra is a product of local rings, \item any finite $R$-algebra is a finite product of local rings, \item any finite type $R$-algebra $S$ can be written as $A \times B$ with $R \to A$ finite and $R \to B$ not quasi-finite at any prime lying over $\mathfrak m$, \item any finite type $R$-algebra $S$ can be written as $A \times B$ with $R \to A$ finite such that each irreducible component of $\mathop{\mathrm{Spec}}(B \otimes_R \kappa)$ has dimension $\geq 1$, and \item any quasi-finite $R$-algebra $S$ can be written as $S = A \times B$ with $R \to A$ finite such that $B \otimes_R \kappa = 0$. \end{enumerate}",Characterizations of henselian local rings,lemma-characterize-henselian,04GG,https://stacks.math.columbia.edu/tag/04GG
"Let $(R, \mathfrak m, \kappa)$ be a complete local ring, see Definition \ref{definition-complete-local-ring}. Then $R$ is henselian.",Complete local rings are Henselian by Newton's method,lemma-complete-henselian,04GM,https://stacks.math.columbia.edu/tag/04GM
"Let $(R, \mathfrak m)$ be a local ring of dimension $0$. Then $R$ is henselian.",Local rings of dimension zero are henselian.,lemma-local-dimension-zero-henselian,06RS,https://stacks.math.columbia.edu/tag/06RS
Let $R$ be a local ring with henselization $R^h$. Let $I \subset \mathfrak m_R$. Then $R^h/IR^h$ is the henselization of $R/I$.,Henselization is compatible with quotients.,lemma-quotient-henselization,05WQ,https://stacks.math.columbia.edu/tag/05WQ
Let $X$ be a locally Noetherian scheme. Then $X$ is reduced if and only if $X$ has properties $(S_1)$ and $(R_0)$.,Reduced equals R0 plus S1.,lemma-criterion-reduced,0344,https://stacks.math.columbia.edu/tag/0344
Let $X$ be a locally Noetherian scheme. Then $X$ is normal if and only if $X$ has properties $(S_2)$ and $(R_1)$.,Normal equals R1 plus S2.,lemma-criterion-normal,0345,https://stacks.math.columbia.edu/tag/0345
"Let $k$ be a field. \begin{enumerate} \item If the characteristic of $k$ is zero, then any extension field of $k$ is formally smooth over $k$. \item If the characteristic of $k$ is $p > 0$, then $K/k$ is formally smooth if and only if it is a separable field extension. \end{enumerate}",Formally smooth equals separable for field extensions.,lemma-fields-are-formally-smooth,0321,https://stacks.math.columbia.edu/tag/0321
"Let $\varphi : R \to S$ be a ring map. Assume \begin{enumerate} \item $\varphi$ is regular, \item $S$ is Noetherian, and \item $R$ is Noetherian and regular. \end{enumerate} Then $S$ is regular.",Regularity ascends along smooth maps of rings.,lemma-regular-goes-up,0H7S,https://stacks.math.columbia.edu/tag/0H7S
Let $k$ be a field. A localization of a geometrically normal $k$-algebra is geometrically normal.,Localization preserves geometric normality.,lemma-localization-geometrically-normal-algebra,06DE,https://stacks.math.columbia.edu/tag/06DE
"Let $k$ be a field. Let $A \to B$ be a faithfully flat $k$-algebra map. If $B$ is geometrically regular over $k$, so is $A$.",Geometric regularity descends through faithfully flat maps of algebras,lemma-geometrically-regular-descent,07NH,https://stacks.math.columbia.edu/tag/07NH
"Let $S$ be a scheme. Let $$ \xymatrix{ X \ar[r] \ar[d] & X' \ar[d] \\ Y \ar[r] & Y' } $$ be a pushout in the category of schemes over $S$ where $X \to X'$ is a thickening and $X \to Y$ is affine, see More on Morphisms, Lemma \ref{more-morphisms-lemma-pushout-along-thickening}. Let $\mathcal{Z}$ be an algebraic stack over $S$. Then the functor of fibre categories $$ \mathcal{Z}_{Y'} \longrightarrow \mathcal{Z}_Y \times_{\mathcal{Z}_X} \mathcal{Z}_{X'} $$ is an equivalence of categories.",Algebraic stacks satisfy the (strong) Rim-Schlessinger condition,lemma-pushout,07WN,https://stacks.math.columbia.edu/tag/07WN
Let $S$ be a scheme. Let $$ \xymatrix{ G' \times_G F \ar[r] \ar[d]^{a'} & F \ar[d]^a \\ G' \ar[r] & G } $$ be a fibre square of presheaves on $(\mathit{Sch}/S)_{fppf}$. If $a$ is representable by algebraic spaces so is $a'$.,A base change of a representable by algebraic spaces morphism of presheaves is representable by algebraic spaces.,lemma-base-change-transformation,03Y0,https://stacks.math.columbia.edu/tag/03Y0
"Let $S$ be a scheme contained in $\mathit{Sch}_{fppf}$. Let $F$ be a presheaf of sets on $(\mathit{Sch}/S)_{fppf}$. The following are equivalent: \begin{enumerate} \item the diagonal $F \to F \times F$ is representable, \item for $U \in \mathop{\mathrm{Ob}}\nolimits((\mathit{Sch}/S)_{fppf})$ and any $a \in F(U)$ the map $a : h_U \to F$ is representable, \item for every pair $U, V \in \mathop{\mathrm{Ob}}\nolimits((\mathit{Sch}/S)_{fppf})$ and any $a \in F(U)$, $b \in F(V)$ the fibre product $h_U \times_{a, F, b} h_V$ is representable. \end{enumerate}",The diagonal of a presheaf is representable by algebraic spaces if and only if every map from a scheme to the presheaf is representable by algebraic spaces.,lemma-representable-diagonal,025W,https://stacks.math.columbia.edu/tag/025W
"Let $S$ be a scheme. Let $F : (\mathit{Sch}/S)_{fppf}^{opp} \to \textit{Sets}$ be a functor. Let $\{S_i \to S\}_{i \in I}$ be a covering of $(\mathit{Sch}/S)_{fppf}$. Assume that \begin{enumerate} \item $F$ is a sheaf, \item each $F_i = h_{S_i} \times F$ is an algebraic space, and \item $\coprod_{i \in I} F_i$ is an algebraic space (see Spaces, Lemma \ref{spaces-lemma-coproduct-algebraic-spaces}). \end{enumerate} Then $F$ is an algebraic space.",The definition of an algebraic space is fppf local.,lemma-locally-algebraic-space,04SK,https://stacks.math.columbia.edu/tag/04SK
