category,pair_id,query,intent,score,best_rank,judgement,top_1,top_2,top_3
possessive,picard,picard theorem,Picard's theorem in complex analysis or Picard-Lindelöf in ODE,2,1,"Top-1 directly addresses Picard's theorem in complex analysis, clearly matching the search intent.",A non-constant entire function can omit at most one complex value. Every other complex number is attained by the function. This holds over the entire complex plane. The result is known as Picard's theorem.,Picard's theorem states that an entire function omitting two distinct complex values must be constant. This result is also known as Picard's little theorem. It is a fundamental result in complex analysis. The theorem highlights the rigidity of entire functions.,"Picard's Theorem states that a meromorphic function from the complex plane to the extended complex plane must be constant if it avoids three distinct values. This means if the function never takes on three specific different extended complex numbers, it cannot vary and is fixed. "
possessive,picard,picard's theorem,Picard's theorem,2,1,"Top-1 directly defines Picard's theorem, clearly addressing the search intent.",A non-constant entire function can omit at most one complex value. Every other complex number is attained by the function. This holds over the entire complex plane. The result is known as Picard's theorem.,Picard's theorem states that an entire function omitting two distinct complex values must be constant. This result is also known as Picard's little theorem. It is a fundamental result in complex analysis. The theorem highlights the rigidity of entire functions.,"Picard's Theorem states that a meromorphic function from the complex plane to the extended complex plane must be constant if it avoids three distinct values. This means if the function never takes on three specific different extended complex numbers, it cannot vary and is fixed. "
possessive,tychonoff,tychonoff theorem,Tychonoff's theorem: product of compacts is compact,2,1,"Top-1 is a clear, on-target match for Tychonoff's theorem.",A product of compact spaces is compact. This holds for any collection of compact topological spaces. The result is known as Tychonoff's theorem. It is a fundamental result in topology.,The Tychonoff Theorem states that the product of any family of quasi-compact topological spaces is quasi-compact under the product topology.,The Cartesian product of any collection of compact topological spaces is itself compact when equipped with the product topology. This result holds regardless of the size of the collection. It is a fundamental theorem in topology with broad applications. The statement is known as 
possessive,tychonoff,tychonoff's theorem,Tychonoff's theorem,2,1,"Top-1 is a clear, on-target match for Tychonoff's theorem.",A product of compact spaces is compact. This holds for any collection of compact topological spaces. The result is known as Tychonoff's theorem. It is a fundamental result in topology.,The Tychonoff Theorem states that the product of any family of quasi-compact topological spaces is quasi-compact under the product topology.,The Cartesian product of any collection of compact topological spaces is itself compact when equipped with the product topology. This result holds regardless of the size of the collection. It is a fundamental theorem in topology with broad applications. The statement is known as 
possessive,burnside,burnside lemma,Burnside's lemma for counting orbits,2,1,Top-1 directly explains Burnside's lemma for counting orbits clearly and accurately.,Burnside's lemma states that the number of orbits of a finite group acting on a finite set equals the average number of fixed points of the group elements. The formula sums the number of fixed points for each group element and divides by the group's order. This result is a fundam,"Burnside's lemma states that for a finite group acting on a finite set, the number of orbits equals the average number of fixed points across all group elements. The formula sums the fixed points of each group element and divides by the group's order. This provides a method to co","Burnside's lemma states that for a finite group acting on a set, the number of orbits equals the average number of fixed points of the group elements. Each element's fixed points are summed over all group elements. This sum is then divided by the order of the group. The result gi"
possessive,burnside,burnside's lemma,Burnside's lemma,2,1,"Top-1 is a clear, on-target match for Burnside's lemma.",Burnside's lemma states that the number of orbits of a finite group acting on a finite set equals the average number of fixed points of the group elements. The formula sums the number of fixed points for each group element and divides by the group's order. This result is a fundam,"Burnside's lemma states that for a finite group acting on a finite set, the number of orbits equals the average number of fixed points across all group elements. The formula sums the fixed points of each group element and divides by the group's order. This provides a method to co","Burnside's lemma states that for a finite group acting on a set, the number of orbits equals the average number of fixed points of the group elements. Each element's fixed points are summed over all group elements. This sum is then divided by the order of the group. The result gi"
possessive,zorn,zorn lemma,Zorn's lemma: every chain has upper bound implies maximal element,2,1,"Top-1 is a clear, on-target match explaining Zorn's lemma and its implications.",Zorn's Lemma is valid under the given assumption.,Every chain in a partially ordered set has an upper bound in the set. The set must contain at least one maximal element. This is known as Zorn's Lemma. It is equivalent to the axiom of choice.,A semi-ordered set where every totally ordered subset has an upper bound must contain a maximal element. This is known as Zorn's lemma. It is equivalent to the axiom of choice. The result is fundamental in set theory and algebra.
possessive,zorn,zorn's lemma,Zorn's lemma,2,1,Top-1 provides a clear and accurate definition of Zorn's lemma.,Zorn's Lemma is valid under the given assumption.,A semi-ordered set where every totally ordered subset has an upper bound must contain a maximal element. This is known as Zorn's lemma. It is equivalent to the axiom of choice. The result is fundamental in set theory and algebra.,Every chain in a partially ordered set has an upper bound in the set. The set must contain at least one maximal element. This is known as Zorn's Lemma. It is equivalent to the axiom of choice.
abbreviation,flt_abbr,FLT,Fermat's Last Theorem,1,3,"A clear match appears in top-3, specifically about Fermat's Last Theorem.",A theorem is stated with a specific number and a formal name.,The theorem presents a mathematical statement with a formal designation.,Fermat's Last Theorem holds for all odd integers greater than two.
abbreviation,flt_abbr,Fermat's Last Theorem,Fermat's Last Theorem,2,1,"Top-1 is a clear, on-target match for Fermat's Last Theorem.","Fermat's Last Theorem states that for any integer n greater than or equal to three, there are no nonzero integer solutions to the equation X to the n plus Y to the n equals Z to the n. The only exceptions occur when at least one of the variables X, Y, or Z is zero. This result wa","Fermat's Last Theorem states that for natural numbers n greater than two, there are no solutions to the equation x raised to the n plus y raised to the n equals z raised to the n. This holds for all positive integers x, y, and z. The theorem was famously proven by Andrew Wiles in","For any natural number n greater than two, the equation X to the n plus Y to the n equals Z to the n has no solutions in nonzero integers."
abbreviation,rh_abbr,RH,Riemann hypothesis,2,1,"Top-1 directly addresses the Riemann hypothesis, clearly matching the searcher's intent.",The Riemann hypothesis is true.,The conjecture is equivalent to the Riemann hypothesis.,The conjecture is equivalent to the Riemann hypothesis.
abbreviation,rh_abbr,Riemann hypothesis,Riemann hypothesis,1,2,A clear match appears in top-3 but not at rank 1.,The Riemann hypothesis is true.,The conjecture is equivalent to the Riemann hypothesis.,The conjecture is equivalent to the Riemann hypothesis.
abbreviation,clt_abbr,CLT,Central limit theorem,2,1,Top-1 directly addresses the central limit theorem clearly and accurately.,The integral central limit theorem holds under the stated conditions.,"Under certain assumptions, the central limit theorem holds as the sample size increases.",The central limit theorem holds under the stated conditions. The result involves the sequences defined in the given notation. The distribution converges to a standard normal.
abbreviation,clt_abbr,central limit theorem,Central limit theorem,2,1,"Top-1 provides a clear, accurate definition of the central limit theorem.",The integral central limit theorem holds under the stated conditions.,"Under certain assumptions, the central limit theorem holds as the sample size increases.","The central limit theorem states that the sum of independent and identically distributed random variables with finite mean and variance, when standardized, converges in distribution to the standard normal distribution. Specifically, the probability that the sum is less than the m"
abbreviation,lln_abbr,LLN,Law of large numbers,2,1,"Top-1 directly defines the Law of Large Numbers, clearly addressing the searcher's intent.","Under the given assumptions, the conclusions of the law of large numbers hold.",The law of large numbers states that the strong operator limit of the average of a sequence of operators equals a specific operator. This average is taken over the first n terms as n approaches infinity. The result holds under the conditions specified in a prior proposition. The ,"Under certain assumptions, the average of a sequence converges almost surely to a limit as the sample size goes to infinity."
abbreviation,lln_abbr,law of large numbers,Law of large numbers,2,1,"Top-1 directly defines the law of large numbers, clearly addressing the searcher's intent.","Under the given assumptions, the conclusions of the law of large numbers hold.",The strong law of large numbers states that the sample average of independent and identically distributed random variables with finite mean converges almost surely to the expected value.,The strong law of large numbers states that the sample average converges almost surely to the expected value as the sample size increases. This holds for a sequence of independent and identically distributed random variables with finite mean. The convergence is with probability o
abbreviation,pnt_abbr,PNT,Prime number theorem,2,1,"Top-1 is a clear, on-target match for the prime number theorem.",The prime number theorem is equivalent to the statement that the remainder term in the prime-counting function is zero.,"The theorem gives an upper bound for the count of primes in an arithmetic progression within an interval. It applies when the modulus and integer are coprime, and the interval length is sufficiently large relative to the modulus. The bound is expressed in terms of the Euler totie",The Prime Number Theorem states that the ratio of the prime-counting function to the logarithmic integral approaches one as x tends to infinity. The prime-counting function counts the number of primes less than or equal to x. The logarithmic integral is defined as the integral fr
abbreviation,pnt_abbr,prime number theorem,Prime number theorem,2,1,"Top-1 is a clear, on-target match for the prime number theorem.","The prime number theorem states that the ratio of the prime-counting function pi of x to x divided by the natural logarithm of x tends to 1 as x goes to infinity. This means that for large x, the number of primes less than or equal to x is approximately x over log x. The converge",The prime number theorem states that the number of primes less than or equal to x is approximately x divided by the natural logarithm of x. The ratio of the prime counting function pi of x to x over log x approaches 1 as x goes to infinity. This is known as the asymptotic law of ,The prime number theorem is equivalent to the statement that the remainder term in the prime-counting function is zero.
abbreviation,fta_abbr,FTA,Fundamental theorem of algebra,-1,,Top-3 results are off-topic and do not address the fundamental theorem of algebra.,Theorem 1 implies Theorem FPT.,This theorem states a fundamental result.,The theorem presents a mathematical statement with a formal designation.
abbreviation,fta_abbr,fundamental theorem of algebra,Fundamental theorem of algebra,2,1,"Top-1 is a clear, on-target match for the fundamental theorem of algebra.",Every complex polynomial of degree at least one has at least one complex root.,Every complex polynomial of degree at least one has at least one complex root.,The field of complex numbers is algebraically closed. Every non-constant polynomial with complex coefficients has at least one complex root. This result holds for polynomials of any positive degree. It is a foundational statement in algebra.
abbreviation,ftc_abbr,FTC,Fundamental theorem of calculus,2,1,"Top-1 directly addresses the fundamental theorem of calculus, providing a clear and relevant explanation.","Under certain conditions, the integral of a function with respect to a measure is well defined. The result expresses this integral as the difference of a function evaluated at the endpoints minus an integral of a partial derivative. The function F is defined as the integral of f ",A function f with an integrable derivative on an interval is absolutely continuous on that interval. The difference in the function's values at any two points equals the integral of its derivative between those points. This result connects differentiation and integration for func,A real-valued differentiable function with an integrable derivative equals its starting value plus the integral of its derivative from the starting point to any point in the interval. This holds for all points within the closed interval. The function's value at any point is deter
abbreviation,ftc_abbr,fundamental theorem of calculus,Fundamental theorem of calculus,2,1,"Top-1 is a clear, on-target match for the fundamental theorem of calculus.",A continuous function on a closed interval has a definite integral equal to the difference of its antiderivative evaluated at the endpoints. This result connects integration with differentiation. It is known as the fundamental theorem of calculus. The formula holds for any antide,The integral of the derivative of a function over an interval equals the difference in the function's values at the endpoints. This result holds under appropriate conditions on the function and its derivative. It connects differentiation and integration as inverse processes. This,"A continuous real function on a closed interval has a primitive function. If F is any primitive of f on that interval, then the definite integral of f from a to b equals F evaluated at b minus F evaluated at a. This result connects integration with differentiation. It is known as"
abbreviation,ac_abbr,AC,Axiom of choice,-1,,"Top-3 results are off-topic, discussing lemmas and theorems unrelated to the Axiom of Choice.",The ACC Lemma and the Upper Bounds Lemma together imply the Local Finiteness Theorem. This result is derived directly from the proof of a referenced theorem.,The ACC lemma implies the irreducible factorization theorem. This result follows from abstract order theory.,The lemma states a specific mathematical result.
abbreviation,ac_abbr,axiom of choice,Axiom of choice,2,1,Top-1 provides a clear and accurate definition of the Axiom of Choice.,"The axiom of choice is equivalent to the statement that for every regular cardinal, the forcing axiom for the class of forcing notions with the kappa chain condition holds. This equivalence is established within the framework of Zermelo-Fraenkel set theory without the axiom of ch","The Axiom of Choice states that for any collection of non-empty sets, there exists a function that selects one element from each set. This function is called a choice function. The axiom is independent of the standard axioms of set theory. It is equivalent to several other import","The Axiom of Choice is equivalent to the principle that for every cardinal kappa, the axiom of dependent choice for sequences of length kappa holds. This equivalence is established within the framework of Zermelo-Fraenkel set theory without the Axiom of Choice."
abbreviation,zfc_abbr,ZFC,Zermelo-Fraenkel set theory with choice,1,2,"Top-3 includes relevant information about ZFC, but top-1 is not a clear match.","In ZFC set theory, several statements are equivalent. One such statement involves a specific property of sets. The equivalence holds under the axioms of ZFC. The theorem lists these equivalent conditions.",Such a space and logic exist within the ZFC framework.,Lemma follows from a given equation. It is consistent with ZFC.
abbreviation,zfc_abbr,Zermelo-Fraenkel set theory with choice,ZFC,1,3,"A clear match appears in top-3, specifically about models of ZFC.",C of aa is a model of Zermelo-Fraenkel set theory with the axiom of choice.,The axioms are consistent with Zermelo-Fraenkel set theory with the axiom of choice. This means no contradictions arise from these axioms within that system.,N is a model of Zermelo-Fraenkel set theory with the axiom of choice. This means that all axioms of ZFC hold within the set N. The structure N satisfies the principles of set theory including choice.
abbreviation,pmi_abbr,PMI,Principle of mathematical induction,0,,Slogans are tangentially related to mathematical induction but do not directly address the principle itself.,"The theorem states that if P of n and m holds, then P prime of n and m also holds.",Proposition implies the main theorem.,"The theorem states that for a fixed n greater than or equal to two, if a property P holds for all j from one to n and for all nonnegative m, then P also holds for n plus one and all nonnegative m."
abbreviation,pmi_abbr,principle of mathematical induction,Principle of mathematical induction,2,1,Top-1 provides a clear and accurate definition of the principle of mathematical induction.,"The principle of mathematical induction states that if a proposition is true for the number one, and if whenever it is true for a natural number k it is also true for k plus one, then the proposition is true for every positive natural number.","The principle of mathematical induction states that if a proposition holds for zero, and if whenever it holds for a natural number k it also holds for k plus one, then the proposition is true for every natural number. This method relies on establishing a base case and an inductiv",The second principle of induction holds for all positive integers n.
abbreviation,mvt_abbr,MVT,Mean value theorem,2,1,"Top-1 provides a clear, accurate definition of the Mean Value Theorem.",A continuous function on a closed interval that is differentiable on the open interval has at least one point where the derivative equals the average rate of change over the interval. The derivative at that point is exactly the slope of the secant line connecting the endpoints. T,A continuous and differentiable function on a closed interval has at least one point inside the interval where the derivative equals the average slope between the endpoints. This point is where the instantaneous rate of change matches the overall change over the interval. The res,A function continuous on a closed interval and differentiable on the open interval has at least one point inside the interval where the derivative equals the average rate of change over the entire interval. This point's derivative is exactly the slope of the secant line connectin
abbreviation,mvt_abbr,mean value theorem,Mean value theorem,2,1,"Top-1 provides a clear, accurate definition of the mean value theorem.",A continuous function on a closed interval that is differentiable on the open interval has at least one point where the derivative equals the average rate of change over the interval. The derivative at that point is exactly the slope of the secant line connecting the endpoints. T,A continuous and differentiable function on a closed interval has at least one point inside the interval where the derivative equals the average slope between the endpoints. This point is where the instantaneous rate of change matches the overall change over the interval. The res,"The mean value theorem states that for a continuous function on a closed interval that is differentiable on the open interval, there exists a point in the open interval where the derivative equals the average rate of change over the entire interval."
abbreviation,ivt_abbr,IVT,Intermediate value theorem,2,1,"Top-1 is a clear, on-target match for the Intermediate Value Theorem.","The theorem establishes an inverse function result for continuous functions on a closed interval. If a function is continuous and takes on two distinct values, it must also take on every value between them. This is known as the intermediate value property for continuous functions",The Intermediate Value Theorem is strongly Weihrauch equivalent to the constant function on the unit interval.,"A continuous real function on a closed interval takes on every value between its values at the endpoints. If the function at the left endpoint is less than a number, and at the right endpoint is greater, then the function equals that number at some interior point. This holds for "
abbreviation,ivt_abbr,intermediate value theorem,Intermediate value theorem,2,1,"Top-1 is a clear, on-target match for the intermediate value theorem.","A continuous function on a closed interval takes every value between its values at the endpoints. For any value between the function's values at the endpoints, there is some point in the interval where the function equals that value. This holds for continuous functions defined on","The theorem establishes an inverse function result for continuous functions on a closed interval. If a function is continuous and takes on two distinct values, it must also take on every value between them. This is known as the intermediate value property for continuous functions","A continuous real function on a closed interval takes on every value between its values at the endpoints. If the function at the left endpoint is less than a number, and at the right endpoint is greater, then the function equals that number at some interior point. This holds for "
hyphen,cauchy_schwarz,Cauchy-Schwarz inequality,Cauchy-Schwarz inequality,2,1,"Top-1 is a clear, on-target match for the Cauchy-Schwarz inequality.","The Cauchy-Schwarz inequality states that for any two vectors in an inner product space, the absolute value of their inner product is at most the product of their norms. This inequality holds for all vectors in the space. It provides a fundamental bound on the inner product in te","The Cauchy-Schwarz inequality states that for any two vectors in a real inner product space, the square of their inner product is at most the product of their inner products with themselves. This inequality provides an upper bound on the absolute value of the inner product. It im","The Cauchy-Schwarz inequality states that for any two vectors x and y in an inner product space, the square of the inner product of x and y is less than or equal to the product of the squared norms of x and y. This implies that the absolute value of the inner product is at most t"
hyphen,cauchy_schwarz,Cauchy Schwarz inequality,Cauchy-Schwarz inequality,2,1,Top-1 provides a clear and accurate explanation of the Cauchy-Schwarz inequality.,"The Cauchy-Schwarz inequality states that for any two vectors in an inner product space, the absolute value of their inner product is at most the product of their norms. This inequality holds for all vectors in the space. It provides a fundamental bound on the inner product in te","The Cauchy-Schwarz inequality states that for any two vectors in a real inner product space, the square of their inner product is at most the product of their inner products with themselves. This inequality provides an upper bound on the absolute value of the inner product. It im","The Cauchy-Schwarz inequality states that for any two vectors x and y in an inner product space, the square of the inner product of x and y is less than or equal to the product of the squared norms of x and y. This implies that the absolute value of the inner product is at most t"
hyphen,cauchy_schwarz,CauchySchwarz inequality,Cauchy-Schwarz inequality,2,1,"Top-1 is a clear, on-target match for the Cauchy-Schwarz inequality.","The Cauchy-Schwarz inequality states that for any two vectors in an inner product space, the absolute value of their inner product is at most the product of their norms. This inequality holds for all vectors in the space. It provides a fundamental bound on the inner product in te","The Cauchy-Schwarz inequality states that for any two vectors in a real inner product space, the square of their inner product is at most the product of their inner products with themselves. This inequality provides an upper bound on the absolute value of the inner product. It im","The Cauchy-Schwarz inequality states that for any two vectors x and y in an inner product space, the square of the inner product of x and y is less than or equal to the product of the squared norms of x and y. This implies that the absolute value of the inner product is at most t"
word_order,cauchy_schwarz_order,Schwarz Cauchy inequality,Cauchy-Schwarz inequality (reversed names),2,1,"Top-1 directly defines the Cauchy-Schwarz inequality, matching the search intent perfectly.","The Cauchy-Schwarz inequality states that for any two vectors in an inner product space, the absolute value of their inner product is at most the product of their norms. This inequality holds for all vectors in the space. It provides a fundamental bound on the inner product in te","The Cauchy-Schwarz inequality states that for any two vectors in a real inner product space, the square of their inner product is at most the product of their inner products with themselves. This inequality provides an upper bound on the absolute value of the inner product. It im",Cauchy-Schwarz inequality states that the squared magnitude of the inner product of two nonzero vectors is at most the product of their inner products with themselves. Equality occurs exactly when one vector is a scalar multiple of the other. This holds for complex inner product 
word_order,cauchy_schwarz_order,Cauchy Schwarz inequality,Cauchy-Schwarz inequality,2,1,Top-1 provides a clear and accurate definition of the Cauchy-Schwarz inequality.,"The Cauchy-Schwarz inequality states that for any two vectors in an inner product space, the absolute value of their inner product is at most the product of their norms. This inequality holds for all vectors in the space. It provides a fundamental bound on the inner product in te","The Cauchy-Schwarz inequality states that for any two vectors in a real inner product space, the square of their inner product is at most the product of their inner products with themselves. This inequality provides an upper bound on the absolute value of the inner product. It im","The Cauchy-Schwarz inequality states that for any two vectors x and y in an inner product space, the square of the inner product of x and y is less than or equal to the product of the squared norms of x and y. This implies that the absolute value of the inner product is at most t"
hyphen,bolzano_weierstrass,Bolzano-Weierstrass theorem,Bolzano-Weierstrass theorem,2,1,"Top-1 is a clear, on-target match for the Bolzano-Weierstrass theorem.",A sequence has a convergent subsequence. This holds in any metric space where closed and bounded sets are compact. The result is known as the Bolzano-Weierstrass theorem. It applies specifically to the real numbers with the usual metric.,Every bounded sequence contains a convergent subsequence. This holds in the real numbers and other complete metric spaces. The subsequence converges to a limit point within the bounds of the original sequence. This result is known as the Bolzano-Weierstrass theorem.,Every bounded sequence of real numbers contains a subsequence that converges to a limit. This holds regardless of whether the original sequence itself converges. The result is a fundamental property of the real numbers. It is known as the Bolzano-Weierstrass theorem.
hyphen,bolzano_weierstrass,Bolzano Weierstrass theorem,Bolzano-Weierstrass theorem,2,1,"Top-1 is a clear, on-target match for the Bolzano-Weierstrass theorem.",A sequence has a convergent subsequence. This holds in any metric space where closed and bounded sets are compact. The result is known as the Bolzano-Weierstrass theorem. It applies specifically to the real numbers with the usual metric.,Every bounded sequence contains a convergent subsequence. This holds in the real numbers and other complete metric spaces. The subsequence converges to a limit point within the bounds of the original sequence. This result is known as the Bolzano-Weierstrass theorem.,Every bounded sequence of real numbers contains a subsequence that converges to a limit. This holds regardless of whether the original sequence itself converges. The result is a fundamental property of the real numbers. It is known as the Bolzano-Weierstrass theorem.
hyphen,fokker_planck,Fokker-Planck equation,Fokker-Planck PDE for probability density,2,1,Top-1 directly describes the Fokker-Planck equation for probability density functions.,The Fokker-Planck equation matches the given stochastic differential equation.,A function phi from d-dimensional to n-dimensional real space has continuous partial time and second partial space derivatives. The density of phi that satisfies a given condition leads to the Fokker-Planck equation. This equation describes the time evolution of the probability d,A function with continuous time and second-order space derivatives leads to the Fokker-Planck equation. This equation describes the time evolution of a probability density. It includes a drift term involving first partial derivatives. It also includes a diffusion term with second
hyphen,fokker_planck,Fokker Planck equation,Fokker-Planck equation,2,1,Top-1 provides a clear and direct explanation of the Fokker-Planck equation.,The Fokker-Planck equation matches the given stochastic differential equation.,A function phi from d-dimensional to n-dimensional real space has continuous partial time and second partial space derivatives. The density of phi that satisfies a given condition leads to the Fokker-Planck equation. This equation describes the time evolution of the probability d,A function with continuous time and second-order space derivatives leads to the Fokker-Planck equation. This equation describes the time evolution of a probability density. It includes a drift term involving first partial derivatives. It also includes a diffusion term with second
hyphen,fokker_planck,FokkerPlanck equation,Fokker-Planck equation,2,1,"Top-1 directly addresses the Fokker-Planck equation, providing a clear and relevant match.",The Fokker-Planck equation matches the given stochastic differential equation.,A function with continuous time and second-order space derivatives leads to the Fokker-Planck equation. This equation describes the time evolution of a probability density. It includes a drift term involving first partial derivatives. It also includes a diffusion term with second,A function phi from d-dimensional to n-dimensional real space has continuous partial time and second partial space derivatives. The density of phi that satisfies a given condition leads to the Fokker-Planck equation. This equation describes the time evolution of the probability d
