paper,theorem_label,theorem_type,mode,query,target_title,ts_paper_rank,matlas_paper_rank,ts_theorem_rank,matlas_theorem_rank,ts_top1_title,matlas_top1_title
0705.3779,decomposition over polydisc,proposition,precise,Every irreducible component of the pulled-back Calabi-Yau type variation on a polydisc is a tensor product of pullbacks of L with exponents 0 or 1 and a unitary factor.,Polarized Variation of Hodge Structures of Calabi-Yau Type and Characteristic Subvarieties Over Bounded Symmetric Domains,1,1,1,1,Polarized Variation of Hodge Structures of Calabi-Yau Type and Characteristic Su,Polarized variation of Hodge structures of Calabi-Yau type and characteristic su
0806.4598,lem:stokes,lemma,vague,positivity condition for nonempty Delta regions,Rational Symplectic Field Theory for Legendrian knots,,,,,An Optimization Problem in Heat Conduction With Volume Constraint and Double Obs,A comparison theorem for self-adjoint differential equations of second order
0705.3779,identification,theorem,vague,characteristic subvarieties on bounded symmetric domains,Polarized Variation of Hodge Structures of Calabi-Yau Type and Characteristic Subvarieties Over Bounded Symmetric Domains,1,1,1,1,Polarized Variation of Hodge Structures of Calabi-Yau Type and Characteristic Su,Polarized variation of Hodge structures of Calabi-Yau type and characteristic su
0902.3557,lemSta,lem,precise,A simplex radius R reaches V(A) exactly when some translate has no interior lattice points but every translated facet interior still contains one.,The asymptotic distribution of Frobenius numbers,1,1,1,1,The asymptotic distribution of Frobenius numbers,The asymptotic distribution of Frobenius numbers
0902.3557,lemSta,lem,vague,lattice-point criterion for simplex covering radius,The asymptotic distribution of Frobenius numbers,1,2,10,2,The asymptotic distribution of Frobenius numbers,The covering radius and a discrete surface area for non-hollow simplices
0902.3557,,thm,vague,covering radius of a simplex and Frobenius,The asymptotic distribution of Frobenius numbers,1,10,1,10,The asymptotic distribution of Frobenius numbers,Lattice translates of a polytope and the Frobenius problem
0902.3557,lamel,lem,precise,"The normalized Frobenius number is approximated by the normalized function W_delta on the associated lattice orbit, with error bounded by a constant times T^(-1/(d-1)).",The asymptotic distribution of Frobenius numbers,2,6,2,6,Geometry-of-numbers methods over global fields I: Prehomogeneous vector spaces,Effective limit distribution of the Frobenius numbers
0904.0398,,cor,precise,Every maximal subalgebra of the finitary classical Lie algebras is either parabolic or a direct sum of simple subalgebras.,Parabolic and Levi subalgebras of finitary Lie algebras,1,1,,,Parabolic and Levi subalgebras of finitary Lie algebras,Parabolic and Levi subalgebras of finitary Lie algebras
0902.3557,WThm,thm,vague,dynamical formula for the Frobenius number,The asymptotic distribution of Frobenius numbers,,,,,Commutative Algebra of Generalised Frobenius Numbers,An Invitation to Abstract Mathematics
0806.4598,prop:front,proposition,precise,"If two Legendrian knots are isotopic, their resolved front diagrams can be connected through restricted Reidemeister moves.",Rational Symplectic Field Theory for Legendrian knots,1,1,1,1,Rational Symplectic Field Theory for Legendrian knots,Rational symplectic field theory for Legendrian knots
0904.0398,,prop,precise,"For k equal to the negative part of St_F intersect St_G, the closed k-stable subspaces of V are totally ordered by inclusion.",Parabolic and Levi subalgebras of finitary Lie algebras,7,1,7,1,Bounds on Hilbert functions with application to convexity,Parabolic and Levi subalgebras of finitary Lie algebras
0904.0398,,cor,vague,classification of maximal subalgebras in finitary Lie algebras,Parabolic and Levi subalgebras of finitary Lie algebras,1,,,,Parabolic and Levi subalgebras of finitary Lie algebras,Maximal subalgebras of simple modular Lie algebras
0904.0398,,prop,vague,when invariant subspaces form a chain,Parabolic and Levi subalgebras of finitary Lie algebras,,,,,Remarks on Derivations on Maximal Triangular Operator Algebras,Hereditarily antisymmetric operator algebras
0904.0398,locsemisimple,thm,precise,"Any locally semisimple subalgebra of gl_infinity splits as finite-dimensional simple pieces together with copies of sl_infinity, so_infinity, and sp_infinity.",Parabolic and Levi subalgebras of finitary Lie algebras,1,3,1,3,Parabolic and Levi subalgebras of finitary Lie algebras,Locally semisimple and maximal subalgebras of the finitary Lie algebras ${\rm gl
0902.3557,,thm,precise,"For the simplex Delta relative to the lattice Z^(d-1)A, the covering radius rho(A) is exactly the quantity V(A).",The asymptotic distribution of Frobenius numbers,1,1,1,1,The asymptotic distribution of Frobenius numbers,The asymptotic distribution of Frobenius numbers
0904.0398,locsemisimple,thm,vague,structure of locally semisimple subalgebras of gl infinity,Parabolic and Levi subalgebras of finitary Lie algebras,1,3,1,3,Parabolic and Levi subalgebras of finitary Lie algebras,Locally semisimple and maximal subalgebras of the finitary Lie algebras ${\rm gl
0904.0398,irreducible,thm,precise,"An irreducible subalgebra of gl(V,V*) must be one of the standard classical types: gl(V,W), sl(V,W), so(V), or sp(V).",Parabolic and Levi subalgebras of finitary Lie algebras,1,1,1,1,Parabolic and Levi subalgebras of finitary Lie algebras,Parabolic and Levi subalgebras of finitary Lie algebras
0902.3557,lamel,lem,vague,asymptotic formula for normalized Frobenius numbers,The asymptotic distribution of Frobenius numbers,,,,,Sperner's problem for G-independent families,Integer knapsacks: average behavior of the Frobenius numbers
0906.3487,thm:weak-compatible,theorem,vague,lower bounds for tightness radius in contact geometry,Tightness in contact metric 3-manifolds,1,1,1,1,Tightness in contact metric 3-manifolds,Tightness in contact metric 3-manifolds
0906.3487,thm:weak-compatible,theorem,precise,"For a contact 3-manifold weakly compatible with g, the tightness radius is at least the minimum of the curvature-convexity scale and the injectivity radius.",Tightness in contact metric 3-manifolds,1,1,1,1,Tightness in contact metric 3-manifolds,Tightness in contact metric 3-manifolds
0906.3487,prop:charac_wc,proposition,precise,"For a contact form and metric on a 3-manifold, Reeb orthogonality, the equation star d alpha equals theta-prime alpha, and an adapted contact metric are equivalent.",Tightness in contact metric 3-manifolds,2,1,2,1,Equivariant cohomology of K-contact manifolds,Tightness in contact metric 3-manifolds
0906.3487,prop:charac_wc,proposition,vague,equivalent definitions of a contact metric structure,Tightness in contact metric 3-manifolds,,,,,The Real Jacobi Group Revisited,Homogeneous contact manifolds and resolutions of Calabi-Yau cones
0902.3557,WThm,thm,precise,"Under the bound a_d at most e^((d-1)t), the Frobenius number equals e^t times W_delta on a horospherical flow, minus the coordinate sum.",The asymptotic distribution of Frobenius numbers,,8,,8,Effective non-vanishing for weighted complete intersections of low codimension,Effective limit distribution of the Frobenius numbers
0906.3487,lem:covariant-n_n-H,lemma,vague,when Reeb flow lines are geodesics,Tightness in contact metric 3-manifolds,5,,5,,Examples of integrable sub-Riemannian geodesic flows,The foliated Weinstein conjecture
0906.3487,,lemma,precise,"In the symplectization of a weakly compatible contact 3-manifold, R_+ times a metric ball has strictly pseudoconvex boundary below the curvature or injectivity threshold.",Tightness in contact metric 3-manifolds,1,1,1,1,Tightness in contact metric 3-manifolds,Tightness in contact metric 3-manifolds
0906.5057,brcov2invo,lemma,precise,A smooth branched double cover along a codimension-two submanifold carries an involution whose fixed set is the branch locus and whose quotient is the base manifold.,Conjugation spaces and 4-manifolds,1,1,1,1,Conjugation spaces and 4-manifolds,Conjugation spaces and 4-manifolds
0906.5057,brcov2invo,lemma,vague,involutions arising from branched double covers,Conjugation spaces and 4-manifolds,,,,,Exotic definite four-manifolds with non-trivial fundamental group,Coverings of Dehn fillings of surface bundles. II
0906.5057,smoothquoUNI,lemma,precise,Equivariantly diffeomorphic smooth G-manifolds with codimension-two fixed sets induce diffeomorphic smooth structures on their orbit spaces.,Conjugation spaces and 4-manifolds,1,1,1,1,Conjugation spaces and 4-manifolds,Conjugation spaces and 4-manifolds
0904.0398,irreducible,thm,vague,irreducible subalgebras of infinite matrix algebras,Parabolic and Levi subalgebras of finitary Lie algebras,,,,,On the codimension of subalgebras of the algebra of matrices over a field,On model reduction for quantum dynamics: symmetries and invariant subspaces
0906.5057,P.WuSW,proposition,vague,characteristic classes of conjugation manifolds,Conjugation spaces and 4-manifolds,9,2,9,2,Realizing doubles: a conjugation zoo,Conjugations on 6-manifolds with free integral cohomology
0906.5057,con2knot,lemma,precise,"For any connected oriented four-dimensional conjugation manifold, the quotient together with its fixed surface forms a Z2-knot pair.",Conjugation spaces and 4-manifolds,1,1,1,1,Conjugation spaces and 4-manifolds,Conjugation spaces and 4-manifolds
0906.5057,smoothquoUNI,lemma,vague,smooth structure on quotients of involutive manifolds,Conjugation spaces and 4-manifolds,,,,,Reduction of Generalized Complex Structures,Differential invariants of immersions of manifolds with metric fields
0906.3487,lem:covariant-n_n-H,lemma,precise,"In a weakly compatible contact metric, normalized Reeb acceleration is minus the contact-plane gradient of log rho, and constant rho makes Reeb orbits geodesics.",Tightness in contact metric 3-manifolds,1,2,1,2,Tightness in contact metric 3-manifolds,Quantitative Darboux theorems in contact geometry
0906.5057,con2knot,lemma,vague,quotients of conjugation 4-manifolds as knots,Conjugation spaces and 4-manifolds,1,1,5,1,Conjugation spaces and 4-manifolds,Conjugation spaces and 4-manifolds
1006.3125,variousmapsdescend,lemma,precise,"On the big de Rham-Witt complexes, derivation, restriction, and Frobenius are well defined; restriction and Frobenius are graded ring maps and dF_n equals nF_nd.",The big de Rham-Witt complex,,1,,,Generalised representations as q-connections in integral $p$-adic Hodge theory,The big de Rham-Witt complex
0906.3487,,lemma,vague,when metric balls in symplectizations are pseudoconvex,Tightness in contact metric 3-manifolds,,,,,On the definition and examples of Finsler metrics,Packing stability for symplectic 4-manifolds
1006.3125,adjunctionlemma1,lemma,vague,equivalence of categories over a ring,The big de Rham-Witt complex,,,,,"Categorical representations, KLR algebras and Koszul duality",Rings and Categories of Modules
1006.3125,adjunctionlemma1,lemma,precise,"For any ring A, the functors F and G with unit and counit give an adjoint equivalence between abelian group objects over A and the category M(A).",The big de Rham-Witt complex,,1,,1,On Deformation Theory in Higher Logarithmic Geometry,The big de Rham-Witt complex
0906.5057,P.WuSW,proposition,precise,"For a smooth conjugation manifold, the cohomology isomorphism kappa sends even Wu and Stiefel-Whitney classes of X to the corresponding classes of the fixed set.",Conjugation spaces and 4-manifolds,1,2,1,2,Conjugation spaces and 4-manifolds,Conjugations on 6-manifolds with free integral cohomology
1006.3125,wittcomplexrelations,lemma,precise,"In any Witt complex, Frobenius, Verschiebung, the differential, and the logarithmic class of minus one satisfy the standard commutation, decomposition, and nilpotence identities.",The big de Rham-Witt complex,,2,,2,On the p-typical de Rham-Witt complex over W(k),On the De Rham-Witt complex in mixed characteristic
1006.3125,wittcomplexrelations,lemma,vague,Frobenius and Verschiebung identities in Witt complexes,The big de Rham-Witt complex,,3,,3,Graded loopspaces in mixed characteristics and de Rham-Witt algebra,On the De Rham-Witt complex in mixed characteristic
1006.3125,derivationslemma,prop,vague,derivations and square-zero extensions of lambda-rings,The big de Rham-Witt complex,,1,,1,The cohomology of lambda-rings and K-theory,The big de Rham-Witt complex
1008.5007,local model,lemma,precise,"A neighborhood of the zero level of the moment map is G x K equivariantly symplectomorphic to the local cotangent model, and the prequantum line bundle matches as well.",Torus fibrations and localization of index III,1,1,1,1,Torus fibrations and localization of index III,Torus fibrations and localization of index III: equivariant version and its appl
1008.5007,local model-acyclic system,lemma,vague,acyclic compatible systems under local symplectomorphism,Torus fibrations and localization of index III,1,1,1,5,Torus fibrations and localization of index III,Torus fibrations and localization of index III: equivariant version and its appl
1008.5007,local model-acyclic system,lemma,precise,The local symplectomorphism from the zero-level model induces an isomorphism between the corresponding G x K equivariant acyclic compatible systems.,Torus fibrations and localization of index III,1,1,,1,Torus fibrations and localization of index III,Torus fibrations and localization of index III: equivariant version and its appl
1006.3125,variousmapsdescend,lemma,vague,Frobenius and differential in de Rham-Witt complexes,The big de Rham-Witt complex,,1,,,Bloch's cycle complex and coherent dualizing complexes in positive characteristi,The big de Rham-Witt complex
1008.5007,localization,lemma,precise,The equivariant local index of M with line bundle L equals the relative local index computed on a neighborhood of the zero level set of the moment map.,Torus fibrations and localization of index III,,,,,Equivariant local index,Canonical bases for the equivariant cohomology and K-theory rings of symplectic 
1008.5007,rem good open covering,proposition,vague,equivariant compatible fibrations on good open covers,Torus fibrations and localization of index III,,1,,1,Equivariant vector bundles on toric schemes over semirings,Torus fibrations and localization of index III: equivariant version and its appl
1010.1972,spherefamily,lemma,precise,"Along such a sphere-surgery family, if all transverse intersection curves with F are inessential, a genus-g component inside S_0 persists inside S_1.",On the distortion of knots on embedded surfaces,1,1,1,1,On the distortion of knots on embedded surfaces,On the distortion of knots on embedded surfaces
1008.5007,localization,lemma,vague,localization of equivariant Riemann-Roch index,Torus fibrations and localization of index III,2,7,2,,Stability property of multiplicities of group representations,Symplectic surgery and the ${\rm Spin}^c$-Dirac operator
1006.3125,derivationslemma,prop,precise,"For a lambda-ring A and lambda-module M, derivations from A to M are in bijection with lambda-ring morphisms splitting the projection from the semidirect product A semidirect M to A.",The big de Rham-Witt complex,,1,,1,The cohomology of lambda-rings and Psi-rings,The big de Rham-Witt complex
1010.1972,doublebubble,lemma,precise,"If a double bubble meets beta fewer times than the geometric intersection threshold, any genus-g component inside the whole bubble already lies inside one half.",On the distortion of knots on embedded surfaces,1,1,1,1,On the distortion of knots on embedded surfaces,On the distortion of knots on embedded surfaces
1010.1972,spherefamily,lemma,vague,genus persistence under sphere surgeries,On the distortion of knots on embedded surfaces,1,3,1,3,On the distortion of knots on embedded surfaces,Genus bounds for minimal surfaces arising from min-max constructions
1010.1972,mustbeinessential,lemma,precise,A sphere intersecting beta fewer times than the geometric intersection number can meet the surface F only in curves inessential in F.,On the distortion of knots on embedded surfaces,1,1,1,1,On the distortion of knots on embedded surfaces,On the distortion of knots on embedded surfaces
1010.1972,mustbeinessential,lemma,vague,inessential intersection curves from low sphere crossings,On the distortion of knots on embedded surfaces,1,1,1,1,On the distortion of knots on embedded surfaces,On the distortion of knots on embedded surfaces
1008.5007,local model,lemma,vague,equivariant local normal form for Hamiltonian actions,Torus fibrations and localization of index III,,,,,Classification of Hamiltonian $S^1$-actions on compact symplectic orbifolds with,Proof of Nishida's conjecture on anharmonic lattices
1010.1972,doublebubble2,lemma,vague,double bubble neighborhoods preserving genus,On the distortion of knots on embedded surfaces,1,1,1,1,On the distortion of knots on embedded surfaces,On the distortion of knots on embedded surfaces
1010.1972,doublebubble2,lemma,precise,"Under the same intersection bound, a genus-g component inside a double bubble remains inside every epsilon-neighborhood of one of its halves.",On the distortion of knots on embedded surfaces,1,1,1,1,On the distortion of knots on embedded surfaces,On the distortion of knots on embedded surfaces
1008.5007,rem good open covering,proposition,precise,The good open cover by the sets V_H admits a G x K equivariant compatible fibration structure for the localization argument.,Torus fibrations and localization of index III,,1,,1,The equivariant covering homotopy property,Torus fibrations and localization of index III: equivariant version and its appl
1101.1594,thm homotopy invariance,theorem,vague,homotopy invariance of membrane iterated integrals,Multiple Dedekind Zeta Functions,,1,,1,Non-commutative Two Dimensional Modular Symbol,Multiple Dedekind zeta functions
1101.1594,lemma f0 convergence,lemma,precise,"For a unimodular simple cone, the function f_0 converges uniformly on every compact subset of its dual cone.",Multiple Dedekind Zeta Functions,7,1,7,1,Laws of the iterated logarithm for occupation times of Markov processes,Multiple Dedekind zeta functions
1101.1594,lemma positive cone,lemma,vague,rescaling unimodular simple cones to positive ones,Multiple Dedekind Zeta Functions,9,1,,1,Chopped and sliced cones and representations of Kac-Moody algebras,Multiple Dedekind zeta functions
1101.1594,lemma positive cone,lemma,precise,Every unimodular simple cone can be rescaled by some algebraic integer so that it becomes a positive unimodular simple cone.,Multiple Dedekind Zeta Functions,,1,,1,Chopped and sliced cones and representations of Kac-Moody algebras,Multiple Dedekind zeta functions
1010.1972,doublebubble,lemma,vague,double bubbles and genus splitting on surfaces,On the distortion of knots on embedded surfaces,1,1,1,1,On the distortion of knots on embedded surfaces,On the distortion of knots on embedded surfaces
1208.2297,proposition_rigidity_of_spheres,proposition,precise,"For a compact semisimple Lie algebra, the linear Poisson structure near the unit sphere is C^p-C^1 rigid and determined up to isomorphism by its first jet.",Rigidity around Poisson Submanifolds,2,1,2,1,Formal equivalence of Poisson structures around Poisson submanifolds,Rigidity around Poisson submanifolds
1101.1594,,lemma,vague,double-sum formula for cone zeta kernels,Multiple Dedekind Zeta Functions,,,,,Weighted sum formula of multiple $L$-values and its applications,"Values of zeta functions at negative integers, Dedekind sums and toric geometry"
1208.2297,proposition_rigidity_of_spheres,proposition,vague,rigidity of linear Poisson structures near spheres,Rigidity around Poisson Submanifolds,3,2,8,2,Formal equivalence of Poisson structures around Poisson submanifolds,Déformation par quantification et rigidité des algèbres enveloppantes
1208.2297,Tame_Vanishing_Lemma,lemma,precise,"If a Hausdorff Lie groupoid has compact s-fibers with vanishing degree-p de Rham cohomology, then H^p of the Lie algebroid vanishes and tame local homotopy operators exist.",Rigidity around Poisson Submanifolds,1,1,1,1,Rigidity around Poisson Submanifolds,Rigidity around Poisson submanifolds
1101.1594,thm homotopy invariance,theorem,precise,Iterated integrals on membranes are unchanged under homotopies that keep the entire membrane boundary fixed.,Multiple Dedekind Zeta Functions,,1,,1,Non-commutative Two Dimensional Modular Symbol,Multiple Dedekind zeta functions
1208.2297,L_trivial_foliation,lemma,precise,"For compact S, integrability by a compact principal bundle with vanishing H^2, vanishing H^2 of A_S, and specific variation-map conditions are all equivalent.",Rigidity around Poisson Submanifolds,1,1,1,1,Rigidity around Poisson Submanifolds,Rigidity around Poisson submanifolds
1208.2297,Tame_Vanishing_Lemma,lemma,vague,vanishing Lie algebroid cohomology from compact groupoids,Rigidity around Poisson Submanifolds,4,,4,,Cohomology of Lie Groupoid Modules and the Generalized van Est Map,Cohomology of Lie groupoid modules and the generalized van Est map
1208.2297,,lemma,vague,adapted metrics for proper Lie groupoids,Rigidity around Poisson Submanifolds,1,1,1,1,Rigidity around Poisson Submanifolds,Rigidity around Poisson submanifolds
1208.2297,,lemma,precise,The base of any proper Lie groupoid admits an adapted Riemannian metric whose geodesics starting orthogonally to one orbit stay orthogonal to every orbit they meet.,Rigidity around Poisson Submanifolds,1,1,1,1,Rigidity around Poisson Submanifolds,Rigidity around Poisson submanifolds
1101.1594,lemma f0 convergence,lemma,vague,uniform convergence on dual cones,Multiple Dedekind Zeta Functions,,,,,On the Born-Infeld equation for electrostatic fields with a superposition of poi,Uniform convergence of convex optimization problems
1101.1594,,lemma,precise,"The function f_1,1 for a cone equals a double sum over alpha and beta in the cone with exponential weights divided by two norm factors.",Multiple Dedekind Zeta Functions,,1,,,Residue formulae for vector partitions and Euler-MacLaurin sums,Multiple Dedekind zeta functions
1208.4114,lem:affine-Hecke-rel,lem,precise,"In the formal Hecke setting, T_i commutes with multiplication by psi up to the formal Demazure difference term, so the commutator preserves the completed coefficient ring.",Formal Hecke algebras and algebraic oriented cohomology theories,,2,,2,Macdonald-Koornwinder polynomials,Hecke operator and $S$-duality of $\scr N=4$ super Yang-Mills for $ADE$ gauge gr
1208.4114,lem:affine-Hecke-rel,lem,vague,commutation relations in formal Hecke algebras,Formal Hecke algebras and algebraic oriented cohomology theories,4,2,,2,An example of higher-dimensional Heegaard Floer homology,Geometric representations of the formal affine Hecke algebra
1208.4114,prop:Hecke-alg-embedding,prop,vague,faithful action of a formal Hecke algebra,Formal Hecke algebras and algebraic oriented cohomology theories,3,9,3,,Quiver Hecke algebras and 2-Lie algebras,Lectures on affine Hecke algebras and Macdonald's conjectures
1208.4114,prop:FDA-add-mult,prop,precise,"For additive formal groups, the formal Demazure algebras recover completed nil Hecke rings, while for the multiplicative formal group with beta equal to one they recover the completed 0-Hecke algebra.",Formal Hecke algebras and algebraic oriented cohomology theories,1,1,1,1,Formal Hecke algebras and algebraic oriented cohomology theories,Formal Hecke algebras and algebraic oriented cohomology theories
1208.4114,prop:push-pull-ops,prop,vague,push-pull formula for formal characteristic classes,Formal Hecke algebras and algebraic oriented cohomology theories,2,,2,,Morava K-theory of twisted flag varieties,Chern-Schwartz-MacPherson classes for Schubert cells in flag manifolds
1304.5861,R3limits2,theorem,precise,"As the sphere radius tends to infinity, the genus-g helicoidal surfaces subconverge to properly embedded minimal surfaces in R^3 asymptotic to a helicoid, with controlled genus and sign.","Helicoidal minimal surfaces of prescribed genus, I",1,1,1,1,"Helicoidal minimal surfaces of prescribed genus, I",Helicoidal minimal surfaces of prescribed genus
1208.2297,L_trivial_foliation,lemma,vague,equivalent cohomological criteria for Poisson integrability,Rigidity around Poisson Submanifolds,,,,,Bicategories of operator algebras and Poisson manifolds,Quantization of Planck's constant
1304.5861,R3limits2,theorem,vague,helicoidal minimal surface limits in Euclidean space,"Helicoidal minimal surfaces of prescribed genus, I",4,1,4,1,Compactness of the space of genus-one helicoids,Helicoidal minimal surfaces of prescribed genus
1304.5861,stable-spheres-corollary,corollary,precise,Any connected stable properly embedded minimal surface in S^2 x R must be a horizontal sphere.,"Helicoidal minimal surfaces of prescribed genus, I",1,1,1,1,"Helicoidal minimal surfaces of prescribed genus, I",Helicoidal minimal surfaces of prescribed genus
1304.5861,stable-spheres-corollary,corollary,vague,classification of stable minimal surfaces in S2 x R,"Helicoidal minimal surfaces of prescribed genus, I",2,1,2,1,"On a conjecture of Meeks, Pérez and Ros",Helicoidal minimal surfaces of prescribed genus
1304.5861,second-compactness-theorem,theorem,precise,"A sequence of rotated helicoidal minimal surfaces with vanishing pitch and unbounded screw angle, graphical in some open cylinder, converges smoothly with multiplicity one to the horizontal plane.","Helicoidal minimal surfaces of prescribed genus, I",1,1,1,1,"Helicoidal minimal surfaces of prescribed genus, I",Helicoidal minimal surfaces of prescribed genus
1304.5861,second-compactness-theorem,theorem,vague,degeneration of helicoidal minimal surfaces,"Helicoidal minimal surfaces of prescribed genus, I",9,,9,,The Geometry of Genus-One Helicoids,Minimal translation surfaces in Euclidean space
1304.5861,parity-sign-lemma,lemma,vague,parity of intersections on Y-surfaces,"Helicoidal minimal surfaces of prescribed genus, I",1,2,1,2,Helicoidal minimal surfaces of prescribed genus,Parity criterion for unstabilized Heegaard splittings
1208.4114,prop:Hecke-alg-embedding,prop,precise,"When a_11 is invertible, the natural action of the formal Hecke algebra on the completed formal group algebra is faithful.",Formal Hecke algebras and algebraic oriented cohomology theories,1,4,1,4,Formal Hecke algebras and algebraic oriented cohomology theories,Lectures on affine Hecke algebras and Macdonald's conjectures
1208.4114,prop:FDA-add-mult,prop,vague,Demazure algebras versus nil and 0-Hecke algebras,Formal Hecke algebras and algebraic oriented cohomology theories,1,1,1,1,Formal Hecke algebras and algebraic oriented cohomology theories,Formal Hecke algebras and algebraic oriented cohomology theories
1309.1459,Lp.bound,proposition,vague,integral inequalities under mean curvature flow,A sharp bound for the inscribed radius under mean curvature flow,,,,,Sobolev stability of the PMT and RPI using IMCF,Mean curvature flow with surgeries of two-convex hypersurfaces
1309.1459,Lp.bound,proposition,precise,"Under mean curvature flow, the positive part of the auxiliary function f sigma satisfies an Lp differential inequality when p is large and sigma is sufficiently small.",A sharp bound for the inscribed radius under mean curvature flow,,4,,,Contracting convex surfaces by mean curvature flow with free boundary on convex ,A fully nonlinear flow for two-convex hypersurfaces in Riemannian manifolds
1208.4114,prop:push-pull-ops,prop,precise,Pull-push along p sends the formal characteristic class of chi to the characteristic class obtained by applying the Demazure operator C_alpha to chi.,Formal Hecke algebras and algebraic oriented cohomology theories,1,2,1,,Formal Hecke algebras and algebraic oriented cohomology theories,On torsion in the intersection cohomology of Schubert varieties
1309.1459,regularity.2,corollary,vague,regularity of inscribed radius function,A sharp bound for the inscribed radius under mean curvature flow,,,,,Bloch's Theorem in the Context of Quaternion Analysis,A fully nonlinear flow for two-convex hypersurfaces in Riemannian manifolds
1309.1459,regularity.2,corollary,precise,"Away from a measure-zero exceptional set, the inscribed-radius function mu has a second-order Taylor expansion wherever it strictly exceeds the largest principal curvature.",A sharp bound for the inscribed radius under mean curvature flow,1,1,1,1,A sharp bound for the inscribed radius under mean curvature flow,A sharp bound for the inscribed radius under mean curvature flow
1309.1459,aux.2,proposition,vague,viscosity inequality for outer radius flow,A sharp bound for the inscribed radius under mean curvature flow,,,,,Equivalence between radial solutions of different parabolic gradient-diffusion e,A proof of Einstein's effective viscosity for a dilute suspension of spheres
1309.1459,aux,proposition,vague,elliptic estimates for inscribed radius,A sharp bound for the inscribed radius under mean curvature flow,,2,,,Decay of solutions of Maxwell-Klein-Gordon equations with large Maxwell field,A fully nonlinear flow for two-convex hypersurfaces in Riemannian manifolds
