========================================================================
Q4 — Unconstrained discovery (full pool, sampled)
========================================================================

For a stratified sample of query statements (some informal, some
formal), find the top-K nearest neighbours in the full sloganed pool —
no formality restriction, self-excluded. Approximates what
`/graph/statement?return=representations` would actually surface in
production.

Nearest-neighbour search runs server-side via the binary-Hamming
HNSW shortlist (`<~>` on `binary_quantize(embedding)::bit(4096)`)
followed by a full-precision cosine rerank — same two-phase pattern
as the production /search endpoint.

Each top result is annotated with the candidate's formality + paper_id
so you can eyeball:

  (a) The known ground-truth partner showing up at rank 1 (sanity check)
  (b) Cross-paper restatements / equivalent results
  (c) Same-formality near-duplicates from another paper
  (d) Noise

Sampled 15 informal + 15 formal queries (seed=0); top-5 neighbours each.


Informal queries → top neighbours across the full pool
------------------------------------------------------
query_id  query_formality  rank  neighbour_id  neigh_formality  neigh_paper_id  similarity  slogan_preview                                                                            
c24af68f  informal         5     9c8f8916      informal         db5ecb00        0.740       The map Indt is surjective and its kernel is the group G, meaning the sequence starting f…
                                                                                                                                                                                      
909d0894  informal         1     5b4ac7d2      formal           315f867e        0.861       The function E2 at a point z in the upper half-plane equals a sum over natural numbers n,…
909d0894  informal         2     25e54d59      informal         7c502602        0.837       E2 of tau is defined as 1 minus 24 times the sum over n greater than or equal to 1 of sig…
909d0894  informal         3     a95b2569      formal           288cd1da        0.831       The function E2 at a point z in the upper half-plane equals 1 minus 24 times the sum over…
909d0894  informal         4     7e74c709      formal           315f867e        0.821       The function E2 at a point z in the upper half of the complex plane equals 1 minus 24 tim…
909d0894  informal         5     08470f2f      informal         d941c65b        0.820       e is a specific mathematical function in number theory, called a normalized Eisenstein se…
                                                                                                                                                                                      
ea8985a1  informal         1     0207775e      formal           49c1b835        0.745       If a point p belongs to the set 𝔓pos, then the density-like quantity dens' at level k for…
ea8985a1  informal         2     b54df85b      informal         cad99d96        0.737       The density of the set P_K is at least 1 divided by twice the degree of the field extensi…
ea8985a1  informal         3     27f9bf17      informal         113dffbe        0.728       For a nonempty subset K of a space X and any positive integer k, the upper and lower dens…
ea8985a1  informal         4     d28ebb73      informal         c6d397f3        0.721       For any subset X of the natural numbers and any natural number k, the set of conditions (…
ea8985a1  informal         5     c4ae24de      informal         a6ab4be6        0.720       If a family of k-element subsets from an n-element set has matching number s and is an in…
                                                                                                                                                                                      
55dfa50b  informal         1     f87d7acf      informal         041aaab7        0.758       A collection of tri-tiles is a set where the time intervals form a grid, the frequency in…
55dfa50b  informal         2     ba8335b4      informal         44e87e06        0.750       A tri-tile is a rectangle containing three non-overlapping tiles that share the same hori…
55dfa50b  informal         3     c2004abc      informal         72cb50e1        0.749       A collection of tri-tiles is defined such that the set of their time intervals forms a gr…
55dfa50b  informal         4     6b626b30      formal           49c1b835        0.741       A TileStructure is a type of mathematical object built on a space with a distance functio…
55dfa50b  informal         5     58137727      formal           49c1b835        0.736       A TileLike structure on a pseudometric space X provides a way to build a grid of dyadic c…
                                                                                                                                                                                      
cd29da73  informal         1     34a4f00e      informal         8c36bb6f        0.954       For a complex-valued function f with average zero and absolute value at most 2, the expec…
cd29da73  informal         2     524a7023      formal           a4a171b9        0.829       For a finite collection of functions taking values in a real-like space, the average of t…
cd29da73  informal         3     10044532      informal         6ea4efb3        0.816       For every natural number m, the expected value of the 2m-th power of the sum of f applied…
cd29da73  informal         4     2e893471      formal           a4a171b9        0.805       For a finite set of functions a from a finite domain to real numbers f, if the sum of f o…
cd29da73  informal         5     7300a577      informal         04c540e2        0.798       For a sum of independent random variables with zero mean, the expected value of the absol…
                                                                                                                                                                                      
34467ee3  informal         1     e9df50cd      formal           c82bacc0        0.864       For a submartingale, the conditional expectation of the difference between later and earl…
34467ee3  informal         2     e8de64b7      formal           c82bacc0        0.813       A sequence of functions is a submartingale if and only if it is adapted to a filtration, …
34467ee3  informal         3     4d620862      formal           c82bacc0        0.798       If a sequence of integrable functions is adapted to a filtration and the conditional expe…
34467ee3  informal         4     b933c502      formal           c82bacc0        0.795       If a stochastic process is a submartingale, then at any earlier time i, the value of the …
34467ee3  informal         5     61a7f6b5      formal           c82bacc0        0.791       If f is a submartingale and g is a martingale with respect to the same filtration and mea…
                                                                                                                                                                                      
7276db0a  informal         1     37492166      formal           7edc8d68        0.875       If a map φ from X to Y is a topological open embedding and μ is a regular measure on Y, t…
7276db0a  informal         2     4b8902b1      formal           7edc8d68        0.852       If a function φ from X to Y is an open embedding and the measure μ on Y is inner regular …
7276db0a  informal         3     9629e73f      formal           c82bacc0        0.830       If a measure is inner regular with respect to compact sets and you pull it back by a cont…
7276db0a  informal         4     990f54a0      formal           7edc8d68        0.824       If a function embeds one topological space into another as an open subset and the target …
7276db0a  informal         5     9289e78e      formal           c82bacc0        0.818       If a measure assigns positive value to every nonempty open set in a space, and you have a…
                                                                                                                                                                                      


Formal queries → top neighbours across the full pool
----------------------------------------------------
query_id  query_formality  rank  neighbour_id  neigh_formality  neigh_paper_id  similarity  slogan_preview                                                                            
--------  ---------------  ----  ------------  ---------------  --------------  ----------  ------------------------------------------------------------------------------------------
2dbaccd3  formal           1     555bdfeb      formal           49c1b835        0.818       For a complex-valued function f with bounded support on a doubling metric measure space, …
2dbaccd3  formal           2     23e64e30      formal           49c1b835        0.793       The value of czApproximation at a point x is equal to the average of the function f over …
2dbaccd3  formal           3     6bdd3d17      informal         f6fd5af4        0.755       For a smooth function f on a space H, the value of f at a point g can be approximated by …
2dbaccd3  formal           4     e145f774      formal           49c1b835        0.749       For a complex-valued function f with bounded support and a given threshold alpha, the siz…
2dbaccd3  formal           5     2c00b3ed      formal           49c1b835        0.743       For a bounded complex-valued function f with finite support on a doubling metric measure …
                                                                                                                                                                                      
fb249a30  formal           1     fc5cc32d      formal           8b17b1f1        0.909       If each set in a sequence of sets is analytic with respect to a given paving, then their …
fb249a30  formal           2     db248b36      formal           8b17b1f1        0.902       If two sets are analytic for a given paving with respect to their respective types, then …
fb249a30  formal           3     5cd41320      formal           8b17b1f1        0.873       If each set in a sequence is analytic for a given paving p with its corresponding index t…
fb249a30  formal           4     dcbabdaf      formal           8b17b1f1        0.864       If two sets are analytic with respect to the same paving, then their intersection is also…
fb249a30  formal           5     76014417      formal           8b17b1f1        0.844       If a set s is analytic with respect to a paving p, and p is contained in a larger paving …
                                                                                                                                                                                      
21acf989  formal           1     aa5bd1e6      formal           8b17b1f1        0.865       If a stochastic process satisfies a moment condition on its increments (the Kolmogorov co…
21acf989  formal           2     fc692263      formal           8b17b1f1        0.863       If a stochastic process satisfies a moment condition bounding the distance between its va…
21acf989  formal           3     c87925c6      formal           8b17b1f1        0.843       If a stochastic process satisfies a moment condition on its increments (Kolmogorov criter…
21acf989  formal           4     2b840550      informal         c4dccb55        0.841       If a stochastic process satisfies a certain smoothness condition (Kolmogorov condition) o…
21acf989  formal           5     72356685      informal         56a76339        0.820       If a stochastic process indexed by a metric space with a pseudo-distance has sub-Gaussian…
                                                                                                                                                                                      
ca138232  formal           1     1312d881      informal         cac1747c        0.784       Two elements u and s are equivalent under the relation i,j if and only if the i-th compon…
ca138232  formal           2     9169f7dd      informal         8ffbd65b        0.761       If two indices i and j are between 1 and K, and the values u sub i and u sub j are equal,…
ca138232  formal           3     41599ea6      informal         7472e5b3        0.748       If two values r_i and r_k are equal for given indices i and k, then the corresponding val…
ca138232  formal           4     cfd4e2d3      informal         2db83c44        0.733       There is a value k between i and j inclusive where both u and u' are in A sub k, or both …
ca138232  formal           5     f5a921b5      informal         1b551ad5        0.733       If X sub u is equivalent to X sub v, then I sub u equals I sub v.                         
                                                                                                                                                                                      
511e1653  formal           1     55c80d32      formal           c82bacc0        0.929       The covariance of two continuous linear functionals with respect to a finite measure on a…
511e1653  formal           2     2f266449      formal           c82bacc0        0.909       This defines a function that takes two continuous linear functionals and returns the cova…
511e1653  formal           3     a7858c1b      formal           c82bacc0        0.893       The covariance of two continuous linear functionals on a normed space, when computed usin…
511e1653  formal           4     f348ba94      formal           c82bacc0        0.877       The covariance between two continuous linear functionals with respect to a given measure …
511e1653  formal           5     9cd8645f      formal           c82bacc0        0.867       The covariance of a continuous linear functional with itself, relative to a finite measur…
                                                                                                                                                                                      
ae658f25  formal           1     371b66ba      formal           c82bacc0        0.919       If a function f from the real numbers to a normed vector space is periodic with period T …
ae658f25  formal           2     430d830c      informal         d38ffc49        0.886       If a function f is periodic on a time scale that repeats at regular intervals, and f is w…
ae658f25  formal           3     39df7023      formal           c82bacc0        0.881       If a function is periodic with period T, then the integral of the function over any inter…
ae658f25  formal           4     9f5d7ffa      informal         c3682104        0.880       For any bounded function that repeats every 2π, the integral over one full period remains…
ae658f25  formal           5     d1e25fc4      formal           c82bacc0        0.861       If a function repeats its values at regular intervals (i.e., is periodic) and is integrab…
                                                                                                                                                                                      
ea9ef992  formal           1     cd4aeb51      formal           49c1b835        0.861       The difference in the changes of two functions f and g between two points y and z inside …
ea9ef992  formal           2     6725fad3      formal           49c1b835        0.801       The local oscillation measures how much two continuous functions f and g differ over a se…
ea9ef992  formal           3     bfa13dda      informal         41475f2a        0.785       The absolute value of the function f at a point z is bounded by a constant times the squa…
ea9ef992  formal           4     52818732      informal         33bc0a0f        0.771       The r-oscillation of a function f at a point X is the largest difference between values o…
ea9ef992  formal           5     34758e92      informal         b64638c7        0.768       The absolute value of the local energy term for two functions f and g on a domain is at m…
                                                                                                                                                                                      
c53b550f  formal           1     d403fe4f      informal         0fd8f44f        0.819       A premodifier is a collection of non-negative measurable functions indexed by sets, such …
c53b550f  formal           2     a0e03136      formal           64443894        0.743       A specification γ has a modifier ρ if and only if every function ρ Λ is measurable and fo…
c53b550f  formal           3     7cac5d5c      informal         0fd8f44f        0.723       A family of measurable densities rho is a modifier of a proper specification gamma if and…
c53b550f  formal           4     013a4216      informal         0fd8f44f        0.712       If a function rho modifies a certain structure based on a measure nu over a space E, then…
c53b550f  formal           5     4aeeb7f9      formal           64443894        0.711       A modifier of a specification γ is a family of non-negative real-valued density functions…
                                                                                                                                                                                      
2f1a37b3  formal           1     ed63137d      formal           3820de41        0.913       If a function φ is convex and lower semicontinuous on a closed set s in a Banach space, a…
2f1a37b3  formal           2     b30edd12      formal           8b17b1f1        0.883       If a function φ is convex and lower semicontinuous, and f is an integrable function takin…
2f1a37b3  formal           3     206fceac      formal           3820de41        0.859       If a function φ is concave and upper semicontinuous, and f is an integrable function on a…
2f1a37b3  formal           4     8e57b622      informal         4f6f405f        0.859       For a lower semicontinuous convex function defined on a Banach space, the function value …
2f1a37b3  formal           5     468dc806      formal           3820de41        0.854       If a function φ is concave and defined on a finite-dimensional real vector space, and f i…
                                                                                                                                                                                      
670855a2  formal           1     2c035156      formal           8b17b1f1        0.967       If two sets s and t are analytic for certain paving structures p and r over types 𝓚 and 𝓚…
670855a2  formal           2     0a86b252      formal           8b17b1f1        0.960       If a set s is analytic with respect to a paving p, and a set t satisfies a predicate r, t…
670855a2  formal           3     58e3d362      formal           8b17b1f1        0.926       If a set s is analytic with respect to a paving p and a type K, and a set t satisfies a p…
670855a2  formal           4     c64d2304      formal           8b17b1f1        0.925       If a set s is analytic with respect to a paving p, and a set t satisfies a property r, th…
670855a2  formal           5     8d20750c      formal           8b17b1f1        0.902       If a set s is analytic for a paving p and type K, and a set t is in the countable sup clo…
                                                                                                                                                                                      
22fc1010  formal           1     b8fb4cca      formal           a4a171b9        0.800       For a finite abelian group G with a discrete measure, given a nonzero integer p, a small …
22fc1010  formal           2     f9f38017      formal           a4a171b9        0.782       For functions f and g defined on a finite additive group G and taking values in a real-li…
22fc1010  formal           3     58853e11      informal         fe97af15        0.771       For a finite group G, the absolute value of the inner product of a complex-valued functio…
22fc1010  formal           4     422fa35f      informal         af98ddb6        0.759       For any function f on a finite group G with complex coefficients that is positive and bou…
22fc1010  formal           5     5a641622      informal         1f3c8f87        0.755       For any function f and subset S of an additive group B, and for any small error tolerance…
                                                                                                                                                                                      
f1b2a917  formal           1     210fa3cc      formal           7edc8d68        0.950       For a number field K and a finite-dimensional central division algebra D over K, if β is …
f1b2a917  formal           2     787a0f8d      formal           7edc8d68        0.876       For a number field K and a finite-dimensional central division algebra D over K, if an in…
f1b2a917  formal           3     e1a2adc3      informal         78289687        0.802       If beta is in D_A^(1), then the set X times beta inverse has a non-empty intersection wit…
f1b2a917  formal           4     56e78752      formal           7edc8d68        0.753       For any number field K and a finite-dimensional division algebra D over K, the set X, def…
f1b2a917  formal           5     d8188cd8      formal           7edc8d68        0.742       For a number field K and a finite-dimensional central division algebra D over K, when you…
                                                                                                                                                                                      
188dd9cc  formal           1     06a45b4c      formal           c82bacc0        0.927       An additive monoid is finitely generated if there exists a finite set of elements such th…
188dd9cc  formal           2     9115a3bb      formal           c82bacc0        0.899       An additive monoid is finitely generated if and only if it can be expressed as the additi…
188dd9cc  formal           3     26b03d10      formal           c82bacc0        0.897       An AddGroup.FG is an additive group that is finitely generated, meaning there is a finite…
188dd9cc  formal           4     c0cef8e3      formal           c82bacc0        0.869       If an additive group is finitely generated as a group, then it is also finitely generated…
188dd9cc  formal           5     b1d2f9f8      formal           c82bacc0        0.862       If an additive monoid has only finitely many elements, then it can be generated by a fini…
                                                                                                                                                                                      
e2a201e6  formal           1     3ea0f55f      formal           8b17b1f1        0.925       If a stochastic process is a martingale and you stop it at a sequence of discrete stoppin…
e2a201e6  formal           2     76f1e5cb      informal         c4dccb55        0.919       If a stopping time is bounded and approximated by a sequence of discrete stopping times, …
e2a201e6  formal           3     0902bb49      formal           8b17b1f1        0.910       If a stochastic process is a martingale and you stop it at a sequence of stopping times t…
e2a201e6  formal           4     ec4e9e76      informal         c4dccb55        0.887       If a martingale is indexed discretely and a sequence of stopping times is bounded by some…
e2a201e6  formal           5     a8007f89      informal         c4dccb55        0.859       If a submartingale is indexed discretely and a sequence of stopping times is uniformly bo…
                                                                                                                                                                                      
6ebb1ed7  formal           1     c0f31276      formal           1e8155c9        0.935       For any element g of an additive group G, the algebra element corresponding to g in the a…
6ebb1ed7  formal           2     7a839740      formal           1e8155c9        0.886       An element in the additive monoid algebra over a commutative ring R and an additive group…
6ebb1ed7  formal           3     41e4e9cb      formal           1e8155c9        0.876       In a bialgebra over a commutative semiring, the element corresponding to a single group e…
6ebb1ed7  formal           4     d3ce2835      informal         27b49d9d        0.864       If R is a commutative semiring, A is a Hopf algebra over R, and G is a group, then each e…
6ebb1ed7  formal           5     09b26a38      formal           1e8155c9        0.859       There is a natural algebra map from the group algebra of group-like elements in a bialgeb…
