"i","informal_sid","formal_sid","informal_ref","informal_paper","formal_decl_name","primary_label","primary_reason","secondary_label","secondary_reason"
"11","872dbfb0-e308-45f4-9c8e-b054c43767ce","f9510a46-50ec-4968-8613-8814c8619e2b","36","kbuzzard/ClassFieldTheory","Rep.dimensionShift.δUpIso","wrong","The formal declaration states an isomorphism between H^(n+1)(up(M)) and H^(n+2)(M), but the informal statement claims the connecting map gives an isomorphism between H^n(S, up(M)) and H^(n+1)(S, M), which differs by one degree in both cohomology groups.","wrong","The formal declaration states an isomorphism between H^(n+1)(up(M)) and H^(n+2)(M), but the informal statement claims the connecting map gives an isomorphism between H^n(up(M)) and H^(n+1)(M) for n ≥ 1, which are different degree shifts."
"12","de2bcdd4-2328-480a-a370-a95411b2fa5e","bf1941aa-329e-4a31-b6ce-87a01acda0b9","4.1.8","fpvandoorn/carleson","smaller_boundary","correct","The formal Lean declaration faithfully captures the informal statement: it sums over points y' at scale k - n*K that satisfy a closeness property (corresponding to the informal notation (y',k-nK|y,k)), bounds this sum by 2^(-n) times the measure of I3(y,k), and includes the necessary hypothesis that k is in the valid range [-S, S] via the conditions hk and hk_mnK.","partial","The formal declaration correctly captures the main mathematical content (bounding the sum of measures at a finer scale by 2^-n times the measure at the original scale), but uses `2⁻¹ ^ n` (which equals (1/2)^n) instead of `2^(-n)` (which are mathematically equivalent but the formal version is more restrictive in its generality by working in a specific pseudometric space setting rather than the abstract measure-theoretic framework suggested by the informal statement)."
"13","5e79b126-b0ff-42cc-8791-a6dd11c7eaa6","77c73fb1-f7e4-44bf-822d-53014e71a8b1","1.5.58","RemyDegenne/brownian-motion","ProbabilityTheory.lintegral_sup_rpow_edist_le_sum_rpow","partial","The formal declaration includes an additional hypothesis `hX : ProbabilityTheory.IsAEKolmogorovProcess X P p q M` that is not mentioned in the informal statement, making it more restrictive than the general chaining bound described in the blueprint.","partial","The formal declaration uses a Kolmogorov-type condition (IsAEKolmogorovProcess) rather than explicit finite covers with epsilon-nets as stated informally, and uses a chainingSequence function instead of explicit reference points, making it more general but requiring additional assumptions not mentioned in the informal statement."
"14","6bea918e-e0fb-4f5a-a2a6-c47ed4ab4b1b","0749f9f9-0004-4f06-a121-ccffdc5a75da","8.5","ImperialCollegeLondon/FLT","Algebra.IsInvariant.charpoly_mem_lifts","ambiguous","The informal statement is too vague to determine if it matches the formal declaration - it mentions 'F_b' and 'M_b' without defining them, and the formal declaration's signature/body is not provided, making it impossible to verify if the formalization correctly captures the intended meaning about lifting monic polynomials.","wrong","The formal declaration is about characteristic polynomials and group invariance in Mathlib, whereas the informal statement is about lifting a monic polynomial F_b to a polynomial M_b in A[X] from a specific paper (FLT reference 8.5), which are entirely different mathematical contexts."
"15","245ad251-821b-4a51-9ca3-d886dc694113","ad9c695f-703c-4123-b0eb-41e64c6c6b6d","5.3.3","fpvandoorn/carleson","wiggle_order_100","correct","The formal declaration faithfully captures the second implication from the informal statement: if 10𝔮 ≲ 𝔮' and 𝓘(𝔮) ≠ 𝓘(𝔮'), then 100𝔮 ≲ 100𝔮', with the appropriate type class assumptions for the tile structure.","partial","The formal declaration correctly formalizes the second equation (10𝔮 ≲ 𝔮' ∧ 𝓘(𝔮) ≠ 𝓘(𝔮') ⟹ 100𝔮 ≲ 100𝔮'), but the informal statement contains three separate implications, while the formal declaration only captures one of them, and uses ≤ instead of ≲ (wiggle order)."
"16","e4143156-67bc-4df7-9a1b-04b2fd0d9f38","bc04342d-6fc0-49de-8ab3-6bf6c1430467","11.2.2","fpvandoorn/carleson","hasSum_fourier_series_of_summable","partial","The formal declaration is more general (works for any positive period T and continuous functions on AddCircle T) than the informal statement (which specifically concerns functions on ℝ with period 2π), and uses HasSum convergence rather than explicitly stating uniform convergence of partial sums, though these are equivalent for the conclusion.","partial","The formal declaration proves pointwise convergence of the Fourier series (HasSum) rather than uniform convergence of partial sums to f on [0,2π], and uses a general period T instead of specifically 2π, though the core mathematical content about absolute summability of Fourier coefficients implying convergence is preserved."
"17","49e70b25-f538-495c-9f24-1d9c619a4a55","5ba33137-07f5-496c-a272-6952d5ce6a23","2.1.18","RemyDegenne/brownian-motion","MeasureTheory.IsStoppingTime","correct","The formal declaration matches the informal statement: both define a stopping time as a function from Ω to extended time values (WithTop ι corresponds to T ∪ {∞}) with respect to a filtration, where the measurability condition on preimages of {j | j ≤ i} is captured in the definition (though not shown in the signature, this is the standard definition of IsStoppingTime in Lean).","ambiguous","secondary_err: bedrock failed after 4 retries: Expecting ',' delimiter: line 1 column 383 (char 382)"
"18","df6edcfb-973e-4ca3-b232-55234287ecff","8d5c1187-091a-481c-abb7-49b10b5dbd10","2.3.3","RemyDegenne/brownian-motion","ProbabilityTheory.isLocalizingSequence_const_top","correct","The formal declaration faithfully captures that the constant sequence τ_n = ⊤ (top/infinity) is a localizing sequence, with appropriate generality for a filtered probability space indexed by a preordered topological space with order topology.","correct","The formal declaration correctly formalizes that the constant sequence with value ⊤ (top/infinity) is a localizing sequence, matching the informal statement that τ_n = ∞ is a localizing sequence."
"19","475e920c-53e6-4728-940e-c1f0814a856f","33074f5a-98fa-4ce0-bb1a-a630165899c4","12.48","teorth/pfr","torsion_PFR_conjecture_aux","correct","The formal Lean declaration faithfully captures the informal statement: it states that for a finite abelian group G with m-torsion, if A is nonempty and has doubling constant K, then A can be covered by at most K^(128m³+1)|A|^(1/2)|H|^(-1/2) translates of a subgroup H where |H|/|A| is bounded by K^(±256m³), matching all the key quantitative bounds in the informal statement.","correct","The formal declaration faithfully captures all key elements: the torsion condition (∀ x, m • x = 0), the doubling condition (|A+A| ≤ K|A|), the existence of a subgroup H with size comparable to A (within K^(256m³) factors), and the covering by at most K^(128m³+1)|A|^(1/2)/|H|^(1/2) translates, with the bound on c.ncard matching the LaTeX formula exactly."
"20","167438b3-bd6c-4348-808c-75e6b18969e1","5c862a8a-b072-4f6a-b032-4909ff1dc86a","2.9","teorth/pfr","ProbabilityTheory.entropy_comm","partial","The formal declaration only proves the first part of the informal statement (H[X,Y] = H[Y,X]) but omits the second part about associativity (H[X,(Y,Z)] = H[(X,Y),Z]).","partial","The formal declaration only formalizes the first part of the informal statement (H[X,Y] = H[Y,X]) and omits the second part about associativity of joint entropy (H[X,(Y,Z)] = H[(X,Y),Z]), making it incomplete relative to the full informal statement despite being a correct formalization of what it does cover."
"21","d237cecd-095e-4699-8757-9844eee3468e","9cd8645f-b873-42ae-99db-91edcbd960d5","1.1.8","RemyDegenne/brownian-motion","ProbabilityTheory.covarianceBilinDual_self_eq_variance","correct","The formal declaration faithfully captures the informal statement that the covariance bilinear form applied to a continuous linear functional L with itself equals the variance of L under measure μ, with the appropriate finite second moment condition (MemLp id 2 μ).","partial","The formal declaration adds an explicit integrability hypothesis `h : MeasureTheory.MemLp id 2 μ` (square-integrability of the identity), whereas the informal statement only requires that the measure has finite second moment, which is a weaker/different condition that should be implicit in the setup rather than explicitly required as a hypothesis."
"22","16ac6d43-2402-477c-848f-986fa1eeaa20","376bd503-62f8-4fe4-817b-c8208e086e30","3.4","thefundamentaltheor3m/Sphere-Packing-Lean","span_E8Matrix_eq_top","partial","The informal statement claims B8 is a basis of ℝ^8 (which requires both spanning and linear independence), but the formal declaration only proves the spanning property (span = ⊤) without asserting linear independence, and is generalized to arbitrary fields R with NeZero 2 rather than specifically ℝ.","partial","The formal declaration proves that the E8 matrix rows span the full space over any field R with NeZero 2, which is more general than the informal statement's claim about a specific basis of ℝ^8, and it only establishes spanning (not linear independence, which is needed for a basis)."
"23","c0b5970b-44a6-42ca-bc61-8ed8a9c46248","a7b1f63a-bc1d-41d6-b229-3222ea04dc41","1.2","leanprover-community/sphere-eversion","exist_loops","correct","The formal declaration faithfully captures all key components of the informal statement: the compact set K, open set Ω, smooth maps g and β (named b in Lean), the condition that g(x) equals b(x) near K, the convex hull condition for g(x) in the connected component of Ω_x containing b(x), and the existence of a smooth family of loops with the specified properties (encoded in the NiceLoop predicate).","partial","The formal declaration correctly captures the main theorem structure but abstracts away the detailed properties of γ into a `NiceLoop` predicate, which is not fully expanded in the signature, making it impossible to verify that all four bullet points from the informal statement are faithfully encoded without seeing the definition of `NiceLoop`."
"24","23d7728a-66dd-4550-974c-e93a3875c854","d4c10054-4ffd-4c81-b66c-45c9d7f0d490","2.6.11","RemyDegenne/brownian-motion","MeasureTheory.predictablePart","correct","The formal declaration matches the informal statement: both define a function that takes a process indexed by ℕ with values in a Banach space (E with NormedAddCommGroup, NormedSpace ℝ, and CompleteSpace), a filtration, and a measure, returning the predictable part as described in the informal definition.","partial","The formal declaration correctly captures the type signature and general concept of the predictable part, but the informal statement provides an explicit formula (A_n = sum of conditional expectations) while the formal declaration only provides the type signature without showing the actual definition or formula implementation."
"25","ace823d4-30ed-4df6-8e40-779ef8504334","13fcd3aa-c659-46ec-bbc5-172adeac1ddd","1.1","leanprover-community/sphere-eversion","Loop.support","partial","The formal declaration defines the support for loops taking values in any type X' without requiring it to be a finite-dimensional vector space as specified in the informal statement, making it more general than the blueprint description.","partial","The formal declaration correctly captures the support of a loop family as a set in X, but it generalizes to arbitrary topological spaces X' rather than restricting to finite-dimensional vector spaces as stated in the informal definition, and the signature doesn't explicitly show the closure operation or the characterization of support as the closure of non-constant points."
"26","cc2a8f6f-9689-4944-bb00-05a04ff05f0c","559955a3-f25a-4181-bf29-724f7532edad","7.5.9","fpvandoorn/carleson","TileStructure.Forest.global_tree_control1_supbound","partial","The formal declaration proves only the first inequality (supremum bound) from the informal statement, but omits the second inequality about the phase-adjusted difference between two points in B'(J), making it an incomplete formalization of the full theorem.","partial","The formal declaration captures the first inequality (supremum bound) from the informal statement but omits the second inequality about the phase-adjusted Hölder continuity condition, making it incomplete relative to the full informal statement."
"27","cf0c8db4-4fad-4c74-814f-c8e511b7d3c3","bad962f9-69ce-4093-86b3-4d128b414d40","3.7","thefundamentaltheor3m/Sphere-Packing-Lean","instDiscreteE8Lattice","correct","The formal declaration establishes that E8Lattice has discrete topology (as a subspace of ℝ⁸), which directly matches the informal statement that cΛ₈ (the E8 lattice) is discrete with the subspace topology induced by its inclusion into ℝ⁸.","partial","The formal declaration correctly formalizes that E8Lattice has discrete topology, but uses E8Lattice (a specific lattice with integer/half-integer coordinates) rather than the scaled lattice cΛ₈ mentioned in the informal statement, representing a difference in scope/generality."
"28","05486031-c140-46d8-8232-4b920050d294","422d31de-c68b-4035-ba44-10f171747d81","2.9","YaelDillies/apap","boringEnergy_eq","correct","The formal declaration correctly formalizes the informal statement that energy of order 2m equals the sum of squares of the m-fold convolution of the indicator function, with the additive group notation being equivalent to the multiplicative group notation in the informal statement.","correct","The formal declaration correctly formalizes the informal statement: boringEnergy (the energy of order 2n) equals the sum over all elements x of the squared n-fold convolution of the indicator function, with appropriate formalization choices (additive group, finite sets via Finset, decidable equality for computability)."
"29","1b523743-7963-4f78-b97c-8c287fa132ce","0e2b1fd1-4006-4984-9dd1-418985212b13","62","kbuzzard/ClassFieldTheory","Rep.dimensionShift.down_trivialCohomology","partial","The formal declaration only covers the 'down(M)' case of trivial cohomology preservation, while the informal statement claims both 'up(M)' and 'down(M)' have trivial cohomology.","partial","The formal declaration only proves the result for the `down` functor, while the informal statement claims the result holds for both `up(M)` and `down(M)`, and the formal declaration is missing the corresponding `up_trivialCohomology` theorem."
"30","e61c8f5b-9639-46b0-8f61-93f6b496657e","1698f94d-36a3-488f-bc93-2c49d6e05470","12.17","teorth/pfr","multidist_ruzsa_I","partial","The formal declaration requires m ≥ 1 instead of m ≥ 2 as stated in the informal statement, and uses a different summation structure (nested sums with conditional) rather than the explicit j ≠ k constraint, though these are mathematically equivalent.","partial","The formal declaration requires m ≥ 1 and additional finiteness/measurability conditions not mentioned in the informal statement, and uses a different indexing scheme (Fin m with explicit measure spaces) rather than the abstract tuple notation, making it more restrictive in scope despite formalizing the same core inequality."
"31","cfb2ab68-2a65-4ed9-9777-52acb8e2e67b","437008a0-a674-4b32-89af-c7708cb565f9","61","kbuzzard/ClassFieldTheory","groupCohomology.trivialCohomology_of_even_of_odd","partial","The formal declaration requires specific fixed degrees (2*n+2 and 2*m+1) to be zero for all subgroups via injective homomorphisms, while the informal statement requires arbitrary even degree e and odd degree o to be zero for all subgroups, which is a stronger condition that should quantify over all even/odd degrees rather than fixing specific ones.","partial","The formal declaration requires the hypotheses to hold for all subgroups H with injective homomorphisms φ : H →* G (a stronger condition than just all subgroups), and it only assumes triviality in one specific even degree (2*n+2) and one specific odd degree (2*m+1) rather than all even and odd degrees as stated informally."
"32","04f63caf-436c-4305-aed7-2be4f397c9bd","4b738e41-76b9-4679-b948-9eba298da7c4","1.2.4","YaelDillies/toric","CategoryTheory.Functor.FullyFaithful.homMulEquiv","partial","The formal declaration uses MonObj (monoid object) instead of group object as stated in the informal statement, and produces a MulEquiv instead of a group isomorphism, making it less general than what the informal statement claims.","partial","The formal declaration requires F to be monoidal (via [F.Monoidal]) in addition to fully faithful, while the informal statement only requires F to be fully faithful and to preserve products (which is implied by being a functor between cartesian-monoidal categories), making the formal version stronger/more restrictive than stated informally."
"33","09638709-50d1-4f32-ab88-d47857962640","480afac0-7e8a-41d9-876f-d66de6809678","10.20","ImperialCollegeLondon/FLT","IsSimpleRing.mulLeft_det_eq_mulRight_det","partial","The formal declaration uses `IsSimpleRing` instead of the more specific `IsCentralSimpleAlgebra` from the informal statement, and applies to all elements `d : D` rather than just invertible elements `u ∈ B×`, making it more general than stated.","partial","The formal declaration generalizes from central simple algebras (which require the algebra to be simple) to any simple ring with a central field action, removing the explicit requirement that D be a central simple algebra, though the central algebra typeclass and simple ring typeclass together capture this structure."
"34","b3205137-2cfa-4977-86eb-fa3b3ea1aa99","a9714080-8239-4f82-8d5d-a69e85118f9f","12.14","teorth/pfr","multiDist_indep","correct","The formal Lean declaration faithfully captures the informal statement: it states that for independent random variables X indexed by Fin m, the multidistance D[X] equals the entropy of their sum H[∑ i, X i] minus the average of individual entropies (∑ i, H[X i]) / m, with appropriate measurability and probability measure conditions.","correct","The formal declaration faithfully formalizes the informal statement: it declares that for jointly independent random variables X indexed by Fin m, the multi-distance D[X] equals the entropy of their sum minus the average of their individual entropies, with appropriate technical assumptions (measurability, countability, probability measure) needed for the formal setting."
"35","5dc66e40-0353-4eec-8402-29bfc4654e8e","a901a9ca-3de6-4bde-bcd5-8e6e6b9fc3e4","4.1.4","YaelDillies/toric","bialgSpec.fullyFaithful","wrong","The informal statement claims the functor maps to monoid schemes, but the formal declaration `bialgSpec.fullyFaithful` is about group schemes (as indicated by the module name `Toric.GroupScheme.HopfAffine` and the slogan mentioning 'group schemes'), which is a stronger/different structure than monoid schemes.","partial","The formal declaration correctly captures that Spec is fully faithful, but it specializes to group schemes (affine group schemes) over Spec R rather than the more general monoid schemes stated in the informal statement, representing a narrower scope than what the blueprint claims."
"36","ef636974-ba49-4a4c-8631-a0d8237b7613","b37e7e0b-1b91-4744-af08-d5c467297b88","2.2.15","RemyDegenne/brownian-motion","IsCompactSystem.image2_prod","correct","The formal declaration faithfully captures that if p and q are compact systems, then the collection of all products (using Set.image2 with the product operation ×ˢ) forms a compact system, which matches the informal statement that the product of two compact systems is a compact system.","ambiguous","secondary_err: bedrock failed after 4 retries: Expecting ',' delimiter: line 1 column 342 (char 341)"
"37","e3d48deb-e32b-4ff2-ad59-6a79fa318c3e","c22df155-4383-42c9-a7bf-e61655a24cf1","2.1.52","RemyDegenne/brownian-motion","MeasureTheory.Martingale.uniformIntegrable_stoppedValue_of_countable_range","correct","The formal declaration faithfully captures the informal statement: it states that for a martingale X and a sequence of stopping times τ_k that are bounded by n and have countable range, the family of stopped values is uniformly integrable, with appropriate technical conditions (complete normed space, finite measure, sigma-finite filtration) that are standard for this result.","partial","The formal declaration generalizes the informal statement by working over an arbitrary countable linear order with finite measure rather than just ℕ, and requires additional technical conditions (SigmaFiniteFiltration, FirstCountableTopology, CompleteSpace) that are not mentioned in the informal statement, making it more general but not a direct formalization of the stated result."
"38","5fd4a4e5-c21c-423d-b635-3b9e68c9388f","d8544b82-a14d-4ecf-92f1-c79802ec3778","38","kbuzzard/ClassFieldTheory","Representation.ind₁'_lequiv","partial","The formal declaration provides a linear equivalence between finitely supported functions and the induced representation space for a single representation ρ, but the informal statement claims an isomorphism of functors ind₁' and ind₁(G,-) ∘ forget, which is a stronger categorical statement about natural isomorphisms between functors rather than just a linear equivalence for individual objects.","partial","The formal declaration provides a linear equivalence between finitely supported functions and an induced representation, which captures the core isomorphism claim, but the informal statement emphasizes the functorial isomorphism between ind₁' and ind₁(G,-) ∘ forget, whereas the formal declaration only shows a single linear equivalence for a fixed representation ρ rather than a natural isomorphism of functors."
"39","908a968c-8318-4b35-8510-c365f9f296c0","64de1404-d52f-426a-a428-329b2dc74196","4.2","leanprover-community/sphere-eversion","loc_immersion_rel_ample","ambiguous","The informal statement refers to 'the relation $\mathcal{R}$ above' without providing sufficient context to determine what relation is being discussed, and while the formal declaration specifies `immersionSphereRel E F`, we cannot verify this matches the intended informal relation without seeing the surrounding blueprint context.","partial","The formal declaration proves that a specific relation (immersionSphereRel) is ample under concrete dimensional constraints, whereas the informal statement discusses a general relation R being ample due to abstract properties about dual pairs and update maps, making the formal version more specific and concrete than the informal statement's general characterization."
"40","4d1255e2-5eb9-4419-83e5-86339c24e8f4","b4adc56c-b15a-468a-82dc-ec385197d8fe","2.1.20","RemyDegenne/brownian-motion","MeasureTheory.IsStoppingTime.measurableSpace_mono","correct","The formal declaration faithfully captures the informal statement that if τ ≤ σ are stopping times, then the σ-algebra 𝓕_τ is contained in 𝓕_σ, expressed as measurableSpace inequality in Lean.","ambiguous","secondary_err: bedrock failed after 4 retries: Expecting ',' delimiter: line 1 column 296 (char 295)"
"41","f4f12193-9441-4ab3-ad20-a72883b7916c","05f99c8d-bdbd-4f61-a08a-3f1748d169ec","1.1","YaelDillies/gibbs-measure","juxt","correct","The formal declaration matches the informal statement: both define a function that takes a set (Λ/Δ), a background function (η/ω), a function on the set (ζ/ζ), and returns a combined function that uses ζ on the set and η/ω outside it.","correct","The formal declaration faithfully captures the informal statement: juxt takes a subset Λ of S, a function η on S, a function ζ on Λ, and an element x, returning E by selecting ζ(x) if x ∈ Λ and η(x) otherwise, which matches the juxtaposition operation described in the informal statement (with Λ for Δ, η for ω, and ζ for ζ)."
"42","9679c444-6303-4633-8f9c-ddcc3f5f7188","6030b5e5-103c-424b-8bee-a424ecebdd30","3.2","thefundamentaltheor3m/Sphere-Packing-Lean","E8Matrix","wrong","The informal statement defines E8 basis vectors as a set of 8 specific vectors in 8-dimensional space, but the formal declaration defines E8Matrix as an 8×8 matrix over a field, which is a different mathematical object (a matrix rather than a set of vectors).","wrong","The formal declaration defines E8Matrix as a generic 8×8 matrix type constructor over an arbitrary field, whereas the informal statement specifies the concrete E8 basis vectors with their exact numerical entries (1, -1, 0, -1/2), which should be a specific matrix instance, not a type constructor."
"43","15e26dbb-2f10-48fd-bb9f-66bb7b88b80b","b50d317e-b3a8-4f25-8de8-5373bfd6c9e4","2.2.38","RemyDegenne/brownian-motion","MeasureTheory.IsMeasurableAnalytic.isPavingAnalytic","correct","The formal declaration precisely captures the informal statement that a measurably analytic set s in 𝓧 is also M_𝓧-analytic (i.e., IsPavingAnalytic with respect to MeasurableSet), with matching type signatures and logical content.","ambiguous","secondary_err: bedrock failed after 4 retries: Expecting ',' delimiter: line 1 column 323 (char 322)"
"44","056bfc34-6cdd-4bd4-a318-0204529714bc","3deda862-e8d0-4ee1-bd12-f103d49fc847","7.4.7","fpvandoorn/carleson","TileStructure.Forest.𝔗_subset_𝔖₀","wrong","The informal statement claims that 𝔗(u₁) ⊆ 𝔖 (where 𝔖 is a general set satisfying certain conditions), while the formal declaration states 𝔗(u₁) ⊆ 𝔖₀(u₁, u₂) (where 𝔖₀ is a specific binary relation/set depending on both u₁ and u₂), which are different conclusions.","partial","The formal declaration captures the core logical structure but uses interval containment (𝓘 u₁ ≤ 𝓘 u₂) instead of strict containment (𝓘 u₁ ⊂ 𝓘 u₂) as stated in the informal version, and concludes with 𝔖₀ (a specific subset) rather than the general 𝔖 mentioned in the informal statement."
"45","c2222810-811f-4959-9ad5-bfc8a068ef96","a6f3f90d-7122-4833-b622-29e8fbea49fc","2.3.26","YaelDillies/toric","Bialgebra.isDiagonalisable_iff_span_isGroupLikeElem_eq_top","partial","The informal statement claims the result holds for bialgebras over a domain, but the formal declaration requires the stronger structure of a Hopf algebra (HopfAlgebra R A) along with additional assumptions like NoZeroSMulDivisors.","partial","The formal declaration uses HopfAlgebra instead of just Bialgebra as stated in the informal statement, which is a stronger assumption that goes beyond what the informal statement requires."
"46","2ac45bdb-bde2-4c1e-910e-f404d6d239a8","8108988d-c02c-4801-812d-1a8acb47cbec","4.4","leanprover-community/flt-regular","FltRegular.CaseI.exists_int_sum_eq_zero","wrong","The formal statement has the expression `↑x + ↑y * ↑(hζ.unit' ^ (-i))` in the second term, but the informal statement specifies `x + y*ζ^i - ζ^(2k)*x - ζ^(2k-i)*y`, which when factored should give `(x + y*ζ^i) - ζ^(2k)*(x + y*ζ^(-i))`, not `(x + y*ζ^i) - ζ^(2k)*(x + y*ζ^(-i))` as written; the informal statement's second parenthetical term should be `(x + y*ζ^(i-2k))` which doesn't match the formal's use of `-i`.","partial","The formal declaration uses a more general setup (cyclotomic extension K over ℚ with primitive root ζ) compared to the informal statement's specific use of ℤ[ζ_p], and the formal expression uses ζ^(-i) instead of ζ^(2k-i)y, which while algebraically related, represents a notational/structural difference in how the divisibility condition is expressed."
