"case","row_type","direction","rank","sid","similarity","formality","kind","paper_title","decl_name_or_ref","slogan","body_short"
"0","topk_candidate","i2f","4","b0a503ac-0a44-4f39-99b2-58c4fc3ab2bd","0.6804","formal","definition","sphere-packing-math-inc","SpherePacking.Dim24.AppendixA.BleadingCoeffs.H₄Z","H₄Z takes a natural number M and returns a list of M+1 integers representing the coefficients of the r-series expansion of H₄, which is defined as the fourth power of the function θ₀₁, computed using…","SpherePacking.Dim24.AppendixA.BleadingCoeffs.H₄Z (M : ℕ) : List ℤ"
"0","topk_candidate","i2f","5","efdfef5d-9d1b-421a-a7d5-77b06fad7b29","0.6760","formal","theorem","sphere-packing-math-inc","SpherePacking.Dim24.Ineq2PsiSnum.powZ_fast_theta01_4","The theorem confirms that raising the list theta01Z_table to the fourth power using a fast exponentiation method produces the same result as the precomputed list H4Z_table, where both lists contain i…","SpherePacking.Dim24.Ineq2PsiSnum.powZ_fast_theta01_4 :   SpherePacking.Dim24.Ineq2PsiSnum.powZ_fast SpherePacking.Dim24.Ineq2PsiSnumTables.theta01Z_table 4 =     SpherePacking.Dim24.Ineq2PsiSnumTables.H4Z_table"
"1","gold_informal","","","c416e012-4e91-4508-805c-706fe2a599bf","","informal","lemma","Brownian motion project","2.1.29","If T is a linear order where every element has a successor, then the right continuation of the filtration F is the same as F itself.","\uses{def:rightLimitFiltration} \leanok \lean{MeasureTheory.Filtration.rightCont_eq_self} Assume that $T$ is a linear order with successor. This means that for any $t$, there is an element $succ(t) \ge t$ such that for any $u > t$, $u \ge …"
"1","gold_formal","","","7ca8cf33-df7c-4536-a76d-c2d46959d798","","formal","theorem","Mathlib_v427","MeasureTheory.Filtration.rightCont_eq_self","If the index type has a successor order, then the right-continuous version of a filtration is equal to the original filtration. This means that for such index types, no adjustment is needed to make t…","MeasureTheory.Filtration.rightCont_eq_self.{u_1, u_2} {Ω : Type u_1} {ι : Type u_2} {m : MeasurableSpace Ω}   [LinearOrder ι] [SuccOrder ι] (𝓕 : MeasureTheory.Filtration ι m) : 𝓕.rightCont = 𝓕"
"1","topk_candidate","f2i","1","dc19a613-38af-4992-908a-65341c7d2716","0.7857","informal","lemma","Brownian motion project","2.1.40","The right continuation of the filtration F is right-continuous.","\uses{def:rightLimitFiltration, def:rightContinuous} \mathlibok \lean{MeasureTheory.Filtration.instIsRightContinuousRightCont} The right continuation of $\mathcal{F}$ is right-continuous."
"1","topk_candidate","f2i","2","e77c08cd-7d74-4257-8752-577e6690a94d","0.7829","informal","lemma","Brownian motion project","2.1.26","The right continuation of a filtration F is itself a filtration. This means that extending the filtration to include its right-hand limits preserves the filtration property.","\uses{def:filtration, def:rightLimitFiltration} \leanok \lean{MeasureTheory.Filtration.rightCont} The right continuation of $\mathcal{F}$ is a filtration."
"1","topk_candidate","f2i","3","7d3288ac-2a7a-4a43-ae80-b930bcc7c8d2","0.7791","informal","lemma","Brownian motion project","2.1.35","The filtration F is a subset of its right continuous version. This means that F does not change when extended to be right continuous.","\uses{def:rightLimitFiltration} \leanok \lean{MeasureTheory.Filtration.le_rightCont} The filtration $\mathcal{F}$ is contained in its right continuation."
"1","topk_candidate","f2i","4","c416e012-4e91-4508-805c-706fe2a599bf","0.7749","informal","lemma","Brownian motion project","2.1.29","If T is a linear order where every element has a successor, then the right continuation of the filtration F is the same as F itself.","\uses{def:rightLimitFiltration} \leanok \lean{MeasureTheory.Filtration.rightCont_eq_self} Assume that $T$ is a linear order with successor. This means that for any $t$, there is an element $succ(t) \ge t$ such that for any $u > t$, $u \ge …"
"1","topk_candidate","f2i","5","3beaea23-115b-4362-9de7-d9f8fca40ebe","0.7736","informal","lemma","Minimizing the time to a decision","6.1","The filtration associated with a strategy is right-continuous, meaning that if an event belongs to the filtration at every time immediately after a given time, it also belongs at that time.","${\mathcal F}^\mathcal{C}$ is right continuous."
"1","topk_candidate","i2f","1","6e9f7367-8ac0-427d-bd5b-3e428244f9c5","0.6318","formal","theorem","formal-conjectures","Filter.cofinite_hasBasis_Ici","In a linearly ordered set with a minimum element, where every interval below any element is finite and every element has a successor, the cofinite filter consists of all sets that contain all element…","Filter.cofinite_hasBasis_Ici.{u_1} {α : Type u_1} [LinearOrder α] [LocallyFiniteOrder α] [OrderBot α] [SuccOrder α]   [NoMaxOrder α] : Filter.cofinite.HasBasis (fun x => True) fun x => Set.Ici x"
"1","topk_candidate","i2f","2","0865f866-160f-4b82-955d-8de74e7c4f02","0.6298","formal","class","brownian-motion","MeasureTheory.Filtration.HasUsualConditions","A filtration satisfies the usual conditions if it is right continuous and the sigma-algebra at time zero (and thus at every time) includes all null sets, meaning it is complete.","MeasureTheory.Filtration.HasUsualConditions.{u_1, u_2} {Ω : Type u_1} {ι : Type u_2} {m : MeasurableSpace Ω}   [PartialOrder ι] (𝓕 : MeasureTheory.Filtration ι m) (μ : MeasureTheory.Measure Ω := by volume_tac) : Prop"
"1","topk_candidate","i2f","3","b028c336-7f47-43a0-83f0-6efc7cc33b6b","0.6004","formal","theorem","HarderNarasimhan","HarderNarasimhan.impl.JHFil_anti_mono","If the value at step k in the filtration is not the smallest possible element, then the next value in the sequence is strictly smaller than the current one. This ensures the sequence decreases strict…","HarderNarasimhan.impl.JHFil_anti_mono.{u_1, u_2} {ℒ : Type u_1} [Nontrivial ℒ] [Lattice ℒ] [BoundedOrder ℒ]   [hacc : WellFoundedGT ℒ] {S : Type u_2} [CompleteLinearOrder S] (μ : { p // p.1 < p.2 } → S) (hμ : μ ⟨(⊥, ⊤), ⋯⟩ ≠ ⊤)   (hμsl : H…"
"1","topk_candidate","i2f","4","fd528b08-b958-4b20-966a-a76d3017d677","0.5974","formal","theorem","formal-conjectures","Filter.cofinite_eq_atTop","In a linearly ordered set with a least element, where every interval between two elements is finite, every element has a successor, and there is no maximum element, the collection of sets that contai…","Filter.cofinite_eq_atTop.{u_1} {α : Type u_1} [LinearOrder α] [LocallyFiniteOrder α] [OrderBot α] [SuccOrder α]   [NoMaxOrder α] : Filter.cofinite = Filter.atTop"
"1","topk_candidate","i2f","5","f2f4ff95-fd5a-4c89-8f2f-cbe3fdcb635b","0.5965","formal","definition","HarderNarasimhan","HarderNarasimhan.impl.HNlen","The length of the canonical filtration is the smallest natural number N such that the N-th term of the filtration reaches the top element (⊤) in the lattice. This number is determined by how many ste…","HarderNarasimhan.impl.HNlen.{u_1, u_2} {ℒ : Type u_1} [Nontrivial ℒ] [Lattice ℒ] [BoundedOrder ℒ] [WellFoundedGT ℒ]   {S : Type u_2} [CompleteLattice S] (μ : { p // p.1 < p.2 } → S) [hμ : HarderNarasimhan.μA_DescendingChainCondition μ]   […"
"2","gold_informal","","","76462ce7-771d-4ce3-9e1c-cd3e64749ba9","","informal","lemma","Toric varieties","2.3.17","If R is a commutative semiring, A is a Hopf algebra over R, and G is a group, then the group-like elements in the algebra A[G] generate the entire algebra as an A-module.","\uses{0-grp-like} If $R$ is a commutative semiring, $A$ is a Hopf algebra over $R$ and $G$ is a group, then the group-like elements in $A[G]$ span $A[G]$ as an $A$-module."
"2","gold_formal","","","edbd3338-a862-43ed-a385-360c08127778","","formal","theorem","toric","MonoidAlgebra.span_isGroupLikeElem","In a group algebra over a commutative semiring, every element can be expressed as a linear combination of elements that behave like group elements under the coalgebra structure—specifically, those th…","MonoidAlgebra.span_isGroupLikeElem.{u_1, u_3, u_4} {R : Type u_1} {A : Type u_3} {G : Type u_4} [CommSemiring R]   [Semiring A] [Bialgebra R A] [Group G] : Submodule.span A {a | IsGroupLikeElem R a} = ⊤"
"2","topk_candidate","f2i","1","d566350a-5d34-41cb-aac2-26b8f1ec3382","0.8006","informal","proposition","Properties of pointed and connected Hopf algebras of finite   Gelfand-Kirillov …","3.1","The group algebra of the free group generated by G(C) over a field k is equal to the algebra generated by the group-like elements of the coalgebra kG(C). This means the algebraic structure built from…","{T}}] $\mathcal{H}(kG(C))=k\langle G(C)\rangle$, where $\langle G(C)\rangle$ is the free group generated by the set $G(C)$."
"2","topk_candidate","f2i","2","d3ce2835-c23e-424a-bcf2-972f3faba054","0.7997","informal","lemma","Toric varieties","2.3.16","If R is a commutative semiring, A is a Hopf algebra over R, and G is a group, then each element in the image of G inside the group algebra A[G] satisfies the group-like property.","\uses{0-grp-like} If $R$ is a commutative semiring, $A$ is a Hopf algebra over $R$ and $G$ is a group, then every element of the image of $G$ in $A[G]$ is group-like."
"2","topk_candidate","f2i","3","0c348649-589c-4065-8c6a-d3f0d8236b98","0.7936","informal","definition","Toric varieties","2.3.13","An element a in a coalgebra A is called group-like if applying the counit to a gives 1 and the comultiplication of a equals a tensor a. The set of all such elements in A is denoted GrpLike A.","\uses{} An element $a$ of a coalgebra $A$ is \emph{group-like} if $\eta(a) = 1$ and $\Delta(a) = a \otimes a$, where $\eta$ is the counit and $\Delta$ is the comultiplication map. We write $\GrpLike A$ for the set of group-like elements of…"
"2","topk_candidate","f2i","4","691ba0a1-1527-436c-aafe-fb21857acbaf","0.7914","informal","definition","Action of Pontryagin dual of semilattices grading algebras","2.3","A group-like element in a coalgebra is an element that, when mapped by the comultiplication, gives the tensor product of the element with itself, and when mapped by the counit, gives 1. The set of al…","Let $(C,\Delta,\epsilon)$ be a $k$-coalgebra and $c\in C$. We say that $c$ is a group-like element if $\Delta(c) = c\otimes c$ and $\epsilon(c) = 1$. We shall denote by $G(C)$ the set of group-like elements of $C$."
"2","topk_candidate","f2i","5","76462ce7-771d-4ce3-9e1c-cd3e64749ba9","0.7911","informal","lemma","Toric varieties","2.3.17","If R is a commutative semiring, A is a Hopf algebra over R, and G is a group, then the group-like elements in the algebra A[G] generate the entire algebra as an A-module.","\uses{0-grp-like} If $R$ is a commutative semiring, $A$ is a Hopf algebra over $R$ and $G$ is a group, then the group-like elements in $A[G]$ span $A[G]$ as an $A$-module."
"2","topk_candidate","i2f","1","c0f31276-abd3-4a1c-83d4-f9d772362292","0.7923","formal","theorem","toric","AddMonoidAlgebra.isGroupLikeElem_of","For any element g of an additive group G, the algebra element corresponding to g in the additive monoid algebra over a bialgebra A with coefficients in a commutative semiring R is group-like, meaning…","AddMonoidAlgebra.isGroupLikeElem_of.{u_1, u_3, u_4} {R : Type u_1} {A : Type u_3} {G : Type u_4} [CommSemiring R]   [Semiring A] [Bialgebra R A] [AddGroup G] (g : G) : IsGroupLikeElem R ((AddMonoidAlgebra.of A G) g)"
"2","topk_candidate","i2f","2","edbd3338-a862-43ed-a385-360c08127778","0.7911","formal","theorem","toric","MonoidAlgebra.span_isGroupLikeElem","In a group algebra over a commutative semiring, every element can be expressed as a linear combination of elements that behave like group elements under the coalgebra structure—specifically, those th…","MonoidAlgebra.span_isGroupLikeElem.{u_1, u_3, u_4} {R : Type u_1} {A : Type u_3} {G : Type u_4} [CommSemiring R]   [Semiring A] [Bialgebra R A] [Group G] : Submodule.span A {a | IsGroupLikeElem R a} = ⊤"
"2","topk_candidate","i2f","3","5c72f1a5-5500-4af6-846f-2785e79c4f67","0.7903","formal","theorem","toric","AddMonoidAlgebra.span_isGroupLikeElem","In a group algebra over a commutative semiring, every element can be expressed as a linear combination of elements that behave like group elements under the coalgebra structure—specifically, those th…","AddMonoidAlgebra.span_isGroupLikeElem.{u_1, u_3, u_4} {R : Type u_1} {A : Type u_3} {G : Type u_4} [CommSemiring R]   [Semiring A] [Bialgebra R A] [AddGroup G] : Submodule.span A {a | IsGroupLikeElem R a} = ⊤"
"2","topk_candidate","i2f","4","377745f1-6bcc-4b5f-aead-3bfe4a63dde3","0.7826","formal","theorem","toric","commGrpAlg_obj","For a commutative ring R and a commutative group G, the group algebra of G over R is constructed as the monoid algebra of G with coefficients in R, equipped with its natural commutative ring and Hopf…","commGrpAlg_obj.{u_1, u_2} (R : Type u_1) [CommRing R] (G : CommGrpCat) :   (commGrpAlg R).obj G =     { X := MonoidAlgebra R ↑G, commRing := MonoidAlgebra.commRing, hopfAlgebra := MonoidAlgebra.instHopfAlgebra }"
"2","topk_candidate","i2f","5","6ebb1ed7-2ec7-40f2-9f37-4dd26d88553d","0.7790","formal","theorem","toric","MonoidAlgebra.isGroupLikeElem_of","For any element g of a group G and a commutative semiring R, the image of g under the map from G into the monoid algebra of G over a bialgebra A is a group-like element; this means it is sent to 1 by…","MonoidAlgebra.isGroupLikeElem_of.{u_1, u_3, u_4} {R : Type u_1} {A : Type u_3} {G : Type u_4} [CommSemiring R]   [Semiring A] [Bialgebra R A] [Group G] (g : G) : IsGroupLikeElem R ((MonoidAlgebra.of A G) g)"
"3","gold_informal","","","3246a8a9-6ab8-4e25-880f-fc854f75501d","","informal","definition","Gibbs Measures","1.8","A conditional expectation kernel for a measure mu is a function that gives the probability of an event A given a sub-sigma-algebra B, matching the conditional probability of A given B almost everywhe…","\uses{def:kernel} {} Let $\mu\in\mathfrak{M}(X,\mathcal X)$. Then, $\pi\in\text{Ker}_{\mathcal B,\mathcal X}$ is a \textbf{conditional expectation kernel for $\mu$} if $\mu(A\mid \mathcal B)=\pi(A\mid\cdot)$ $\mu$-a.e."
"3","gold_formal","","","97538a71-844c-4959-be5f-7bc2e964504d","","formal","class","gibbs-measure","ProbabilityTheory.Kernel.IsCondExp","A kernel π is a conditional expectation with respect to a measure μ if it assigns to each point in a measurable space a new measure such that integrating against π gives the conditional average of me…","ProbabilityTheory.Kernel.IsCondExp.{u_1} {X : Type u_1} {𝓑 𝓧 : MeasurableSpace X} (π : ProbabilityTheory.Kernel X X)   (μ : MeasureTheory.Measure X) : Prop"
"3","topk_candidate","f2i","1","ac798dfe-8910-483f-bb7c-a838e181b761","0.8811","informal","lemma","Gibbs Measures","1.11","A kernel pi is a conditional expectation kernel for a finite measure mu if and only if applying pi to mu leaves mu unchanged, meaning the measure after transformation equals the original measure. Thi…","\uses{def:cond-exp-ker} Let $\mu\in\mathfrak{M}(X,\mathcal X)$ be a finite measure and let $\pi\in\text{Ker}_{\mathcal B,\mathcal X}$ be a proper kernel. Then, $$\pi \text{ is a conditional expectation kernel for }\mu \iff \mu\pi = \mu$$"
"3","topk_candidate","f2i","2","554a33b1-a9dc-4a6a-83b8-f33a36232063","0.8530","informal","lemma","Gibbs Measures","1.10","If a kernel pi is a conditional expectation kernel for a measure mu, then the conditional expectation of any bounded measurable function f given a sigma-algebra B equals the integral of f with respec…","\uses{def:cond-exp-ker, def:proper-ker} If $\pi \in \text{Ker}_{\mathcal B, \mathcal X}$ is a conditional expectation kernel for $\mu$, then $$\mu(f\mid \mathcal B) = \int f(x)\ \pi(\partial x\mid\cdot)\ \mu\text{-a.e.}$$ for all bounded $…"
"3","topk_candidate","f2i","3","1508e9b5-03cb-41c2-bc6f-06f933f23f37","0.8418","informal","lemma","Gibbs Measures","1.9","If a kernel pi is a conditional expectation kernel for a measure mu, then the conditional expectation of any non-negative measurable function f given a sigma-algebra B equals the integral of f with r…","\uses{def:cond-exp-ker, def:proper-ker} If $\pi \in \text{Ker}_{\mathcal B, \mathcal X}$ is a conditional expectation kernel for $\mu$, then \[\mu[f\mid \mathcal B] = \int f(x)\ \pi(\partial x\mid\cdot)\ \mu\text{-a.e.}\] for all $\mathcal…"
"3","topk_candidate","f2i","4","3246a8a9-6ab8-4e25-880f-fc854f75501d","0.8147","informal","definition","Gibbs Measures","1.8","A conditional expectation kernel for a measure mu is a function that gives the probability of an event A given a sub-sigma-algebra B, matching the conditional probability of A given B almost everywhe…","\uses{def:kernel} {} Let $\mu\in\mathfrak{M}(X,\mathcal X)$. Then, $\pi\in\text{Ker}_{\mathcal B,\mathcal X}$ is a \textbf{conditional expectation kernel for $\mu$} if $\mu(A\mid \mathcal B)=\pi(A\mid\cdot)$ $\mu$-a.e."
"3","topk_candidate","f2i","5","0ab3597e-cadd-4f9d-abee-e294dce8c272","0.8123","informal","definition","Some properties of path measures","4.7","A regular conditional probability kernel is a function that assigns, for almost every point, a probability measure to outcomes, and it correctly computes conditional expectations by integrating funct…","The kernel $R(\cdot\mid\mathcal{A})$ is a regular conditional probability if \begin{enumerate}[(a)] \item for any $f\in L^1(R),$ $E_R(f\mid\mathcal{A})(\eta)=\IO f\,R(d\omega\mid\mathcal{A})(\eta)$ for $R_\mathcal{A}$-almost every $\eta;$ …"
"3","topk_candidate","i2f","1","90113778-cf90-4a8c-aedf-7939f180dfe0","0.8442","formal","theorem","gibbs-measure","ProbabilityTheory.Kernel.isCondExp_iff","A kernel π is the conditional expectation of a measure μ with respect to a sub-sigma-algebra 𝓑 if and only if, for every measurable set A, the conditional expectation of the indicator function of A g…","ProbabilityTheory.Kernel.isCondExp_iff.{u_1} {X : Type u_1} {𝓑 𝓧 : MeasurableSpace X} (π : ProbabilityTheory.Kernel X X)   (μ : MeasureTheory.Measure X) :   π.IsCondExp μ ↔ ∀ ⦃A : Set X⦄, MeasurableSet A → μ[A.indicator 1 | 𝓑] =ᵐ[μ] fun a …"
"3","topk_candidate","i2f","2","fe872253-1434-4e9a-8ea0-93f3d1538f72","0.8322","formal","theorem","gibbs-measure","ProbabilityTheory.Kernel.condExp_ae_eq_integral_kernel","The conditional expectation of a function f with respect to a measure μ and a sigma-algebra is almost everywhere equal to the integral of f with respect to a kernel π, when the kernel satisfies certa…","ProbabilityTheory.Kernel.condExp_ae_eq_integral_kernel.{u_1} {X : Type u_1} {𝓑 𝓧 : MeasurableSpace X}   {π : ProbabilityTheory.Kernel X X} {μ : MeasureTheory.Measure X} [π.IsCondExp μ] [MeasureTheory.IsFiniteMeasure μ]   [ProbabilityTheory…"
"3","topk_candidate","i2f","3","97538a71-844c-4959-be5f-7bc2e964504d","0.8147","formal","class","gibbs-measure","ProbabilityTheory.Kernel.IsCondExp","A kernel π is a conditional expectation with respect to a measure μ if it assigns to each point in a measurable space a new measure such that integrating against π gives the conditional average of me…","ProbabilityTheory.Kernel.IsCondExp.{u_1} {X : Type u_1} {𝓑 𝓧 : MeasurableSpace X} (π : ProbabilityTheory.Kernel X X)   (μ : MeasureTheory.Measure X) : Prop"
"3","topk_candidate","i2f","4","78f2bf2f-2d9b-4f01-943d-4230e25f9bd1","0.8042","formal","theorem","gibbs-measure","ProbabilityTheory.Kernel.condExp_ae_eq_kernel_apply","If a kernel π represents the conditional expectation of bounded measurable functions almost everywhere with respect to a measure μ, then the conditional expectation of the indicator function of a mea…","ProbabilityTheory.Kernel.condExp_ae_eq_kernel_apply.{u_1} {X : Type u_1} {𝓑 𝓧 : MeasurableSpace X}   {π : ProbabilityTheory.Kernel X X} {μ : MeasureTheory.Measure X}   (h : ∀ (f : X → ℝ), Bornology.IsBounded (Set.range f) → Measurable f → …"
"3","topk_candidate","i2f","5","0243abb5-637f-4b3d-ae50-1c839097a81a","0.7810","formal","theorem","gibbs-measure","ProbabilityTheory.Kernel.isCondExp_iff_bind_eq_left","A kernel π is a conditional expectation with respect to a measure μ if and only if the measure obtained by integrating π against μ equals μ itself, assuming π is proper and the underlying sigma-algeb…","ProbabilityTheory.Kernel.isCondExp_iff_bind_eq_left.{u_1} {X : Type u_1} {𝓑 𝓧 : MeasurableSpace X}   {π : ProbabilityTheory.Kernel X X} {μ : MeasureTheory.Measure X} (hπ : π.IsProper) (h𝓑𝓧 : 𝓑 ≤ 𝓧)   [MeasureTheory.IsFiniteMeasure μ] : π.I…"
"4","gold_informal","","","71bc4982-0213-4385-b977-3993c73948df","","informal","definition","Sphere Packing in Dimension 8","3.1","The E8 lattice is a special arrangement of points in 8-dimensional space where each coordinate is either an integer or a half-integer, and the sum of all coordinates is an even number.","{($E_8$-lattice, Definition 1)} We define the \emph{$E_8$-lattice} (as a subset of $\mathbb{R}^8$) to be $$\Lambda_8=\{(x_i)\in\mathbb{Z}^8\cup(\mathbb{Z}+\textstyle\frac12\displaystyle )^8|\;\sum_{i=1}^8x_i\equiv 0\;(\mathrm{mod\;2})\}.$$"
"4","gold_formal","","","6156c9ef-d306-406a-871e-e2e71c526e94","","formal","definition","sphere-packing-math-inc","Submodule.E8","Submodule.E8 defines a specific subset of 8-dimensional vectors with integer coordinates, where each vector's components are in a field R (with 2 not equal to zero), and the subset is closed under ad…","Submodule.E8.{u_2} (R : Type u_2) [Field R] [NeZero 2] : Submodule ℤ (Fin 8 → R)"
"4","topk_candidate","f2i","1","10269e03-fdf8-4118-8f29-7de5feae6251","0.7686","informal","lemma","Vertex operator superalgebra/sigma model correspondences: The four-torus   case","5","The eight-dimensional lattice made of vectors (a|b) scaled by 1 over square root of 2, with integer entries a i and b i, even sum of b components, and all a i minus b i congruent modulo 2, is equival…","The eight-dimensional lattice defined by \begin{equation} \Gamma^8_{\text{w-m}}=\left\lbrace \frac{1}{\sqrt{2}}(a|b)~|~a_i,b_i\in\mathbb{Z},~\sum_{i=1}^4 b_i\in 2\mathbb{Z},~ a_i-b_i\equiv a_j-b_j\mod2~~\forall~~i,j\in\lbrace1,2,3,4\rbrace…"
"4","topk_candidate","f2i","2","b70f3946-65f2-4681-a2a6-9d1686e296c1","0.7581","informal","notation","Diagonal lattices and rootless $EE_8$ pairs","4.14","The lattice E8 is generated by eight specified vectors and four additional half-integer combinations, ensuring its structure is closed under integer linear combinations.","Let $\{\alpha_1, \alpha_2, \alpha_3,\alpha_4\}\subset J$ such that $h(\alpha_1)=\alpha_2, h(\alpha_2)=-\alpha_1, h(\alpha_3)=\alpha_4, h(\alpha_4)=-\alpha_3$ (cf. Lemma \refpp{order4h}). Let $\{\alpha_5, \alpha_6, \alpha_7, \alpha_8\}\subs…"
"4","topk_candidate","f2i","3","71bc4982-0213-4385-b977-3993c73948df","0.7448","informal","definition","Sphere Packing in Dimension 8","3.1","The E8 lattice is a special arrangement of points in 8-dimensional space where each coordinate is either an integer or a half-integer, and the sum of all coordinates is an even number.","{($E_8$-lattice, Definition 1)} We define the \emph{$E_8$-lattice} (as a subset of $\mathbb{R}^8$) to be $$\Lambda_8=\{(x_i)\in\mathbb{Z}^8\cup(\mathbb{Z}+\textstyle\frac12\displaystyle )^8|\;\sum_{i=1}^8x_i\equiv 0\;(\mathrm{mod\;2})\}.$$"
"4","topk_candidate","f2i","4","b749ecaa-2a90-449e-8d4a-538f3bdda3d5","0.7435","informal","definition","More basic hypergeometric limits of the elliptic hypergeometric beta   integral","9.1","The set R(E8) consists of all vectors in 8-dimensional space with integer or half-integer entries, squared length 2, and integer dot product with the vector (1/2,1/2,1/2,1/2,1/2,1/2,1/2,1/2). The set…","Let $e_r$ denote the $r$'th standard unit vector in $\mathbb{R}^8$ and set \[ \rho = \frac12 \sum_{r=1}^8 e_r = (\frac12,\frac12,\frac12,\frac12,\frac12,\frac12,\frac12,\frac12) \in \mathbb{R}^8. \] The root systems of type $E_8$, $E_7$ an…"
