"i","informal_sid","formal_sid","informal_ref","informal_paper","formal_decl_name","primary_label","primary_reason","secondary_label","secondary_reason"
"11","0c352df7-2b04-458d-ad9f-0d55256674da","d336acaf-ec8a-46a8-8326-70657816c5f7","2.1.45","RemyDegenne/brownian-motion","ProbabilityTheory.SimpleProcess.isPredictable","wrong","The informal statement is a definition of what it means for a general process to be predictable, while the formal declaration is a theorem stating that every simple process is predictable, which is a derived property rather than the definition itself.","wrong","The informal statement defines what it means for a general process to be predictable (measurable w.r.t. predictable σ-algebra), while the formal declaration is a theorem asserting that every SimpleProcess is predictable, which is a different claim (a property of SimpleProcess rather than a definition of predictability)."
"12","e3d48deb-e32b-4ff2-ad59-6a79fa318c3e","0902bb49-e86d-4eef-bc21-7896b67d3c04","2.1.52","RemyDegenne/brownian-motion","MeasureTheory.Martingale.uniformIntegrable_stoppedValue","partial","The formal declaration is more general than the informal statement (it works for any countable linearly ordered index type ι, not just ℕ), but critically it is missing the requirement that each stopping time takes values in a countable set, which is explicitly stated in the informal statement and appears in the referenced Lean theorem name `uniformIntegrable_stoppedValue_of_countable_range`.","partial","The formal declaration omits the key hypothesis that each stopping time τ_i takes values in a countable set (which is present in the informal statement), instead only requiring the index type ι to be countable; this is a weaker and different condition than what the informal statement specifies."
"13","f43545cd-e25e-46ee-a9cb-bfc228176c9c","f4558e48-60e6-48c1-8e00-04eabbffda05","1.5.51","RemyDegenne/brownian-motion","ProbabilityTheory.lintegral_sup_rpow_edist_le_card_mul_rpow_of_dist_le","wrong","The formal declaration involves parameters `a`, `c`, `n` and a bound `hJ_card : ↑J.card ≤ a ^ n` that are not present in the informal statement, and the right-hand side formula `2 ^ p * a * ↑J.card * ↑M * (c * ↑n) ^ q` does not match the informal statement's `|C| M ε^q`.","wrong","The formal declaration uses a different bound formula (2^p * a * card(J) * M * (c*n)^q) with additional parameters a, n, c and a factor 2^p, whereas the informal statement specifies a simpler bound (|C| * M * ε^q) without these extra parameters, and the formal version also uses a supremum over all pairs from a finset J rather than a finite set C of specific pairs with bounded distances."
"14","ab5fb57b-3d32-4c79-af0d-d5be83466c3d","74ec8dfe-1dc2-4399-b2ed-2bbf83c22460","1.5.60","RemyDegenne/brownian-motion","ProbabilityTheory.lintegral_sup_rpow_edist_cover_of_dist_le","wrong","The formal declaration is about a bound involving covering numbers and logarithmic factors without the internal covering number hypothesis or the sum over covers, while the informal statement requires bounded internal covering number with exponent d and involves a specific sum over minimal covers from index m to k-1 with terms involving ε_{j+1}^{-d/p} ε_j^{q/p}.","wrong","The formal declaration uses a single scale ε and covering number at that scale, whereas the informal statement describes a sequence (ε_n) with a sum over multiple scales from m to k-1, which are fundamentally different bounds with different dependencies on the covering structure."
"15","7ea4571e-a71d-4613-99be-aba4546dfe8f","6b0db362-d9cb-423c-86ef-4fc9fca0ce39","1.5.12","RemyDegenne/brownian-motion","volume_le_externalCoveringNumber_mul","correct","The formal declaration faithfully captures the informal statement: it states that the volume of a set A is bounded by the external covering number (which counts the minimum number of ε-balls needed to cover A) multiplied by the volume of a single closed ball of radius ε, matching the informal claim that V(A) ≤ |C| V(B_ε) for a finite ε-cover C.","correct","The formal declaration faithfully formalizes the informal statement: it states that the volume of set A is at most the external covering number (minimum number of balls needed to cover A) times the volume of a closed ball of radius ε, which directly corresponds to the informal statement's claim that V(A) ≤ |C| V(B_ε)."
"16","4da71ae2-ecc6-48fe-a63e-a8d21f8cdcb7","28128b7b-0f62-4926-bc96-41300c78a96a","9.15","ImperialCollegeLondon/FLT","IsDedekindDomain.FiniteAdeleRing.baseChangeContinuousAlgEquiv","correct","The formal declaration establishes an isomorphism (≃A[L]) between the tensor product L ⊗_K 𝔸_{A,K}^∞ and 𝔸_{B,L}^∞, which matches the informal statement's claim that the natural map is an isomorphism, with appropriate generality for Dedekind domains A, B and their fraction fields K, L.","partial","The formal declaration is more general (works for arbitrary Dedekind domains A and B with appropriate algebraic structures) whereas the informal statement appears to assume specific rings (implicitly A and B are the rings of integers), and the formal uses a continuous L-algebra equivalence (≃A[L]) while the informal only claims an isomorphism without explicitly specifying the algebraic structure or continuity."
"17","76ef37e1-b4c6-40b2-a51c-bb322ab2b532","352011c6-d71c-4ef3-8139-777bc541fbe4","9.41","ImperialCollegeLondon/FLT","IsDedekindDomain.HeightOneSpectrum.adicCompletion.baseChangeContinuousAlgEquiv","partial","The formal declaration works in the generality of Dedekind domains with fraction fields K and L, while the informal statement specifically discusses number fields K and L with infinite places, which is a more specialized setting than the general Dedekind domain framework.","partial","The formal declaration generalizes from number fields K and L to Dedekind domains A and B with fraction fields K and L, and uses continuous algebra equivalences (≃A[L]) rather than homeomorphisms, which is a stronger and more general setting than the informal statement about infinite places of number fields."
"18","e9499d03-1491-497c-8ea4-46aad57fe422","08fe14bb-87f6-445b-80a9-3078179440b7","2.3.53","RemyDegenne/brownian-motion","ProbabilityTheory.locally_classD_iff_locally_classDL","partial","The informal statement claims a one-directional implication (locally DL implies locally D under right-continuity), while the formal declaration proves a biconditional (locally D if and only if locally DL), which is a stronger result than what was stated.","wrong","The informal statement claims a one-directional implication (DL implies D under right-continuity), but the formal declaration states a bidirectional equivalence (iff), which is a stronger claim than what the informal statement asserts."
"19","ca35acb3-14b7-4b1b-8b9e-8c27c0bca01e","3591fac8-d8d2-41f5-a168-f0bce10df2d4","6.46","thefundamentaltheor3m/Sphere-Packing-Lean","serre_D_slash_invariant","wrong","The informal statement claims the Serre derivative satisfies ∂_k(F|_k γ) = (∂_k F)|_{k+2} γ for all γ (an equivariance property), but the formal statement assumes F is already invariant under the slash action (F|_k γ = F) and then proves the derivative is also invariant, which is a much weaker statement about preserving invariance rather than equivariance.","wrong","The formal declaration assumes F is already invariant under the slash action (hypothesis h : SlashAction.map k γ F = F), whereas the informal statement claims the equivariance property holds for all functions F and all matrices γ, without requiring F to be invariant beforehand."
"20","e16d2aad-6409-4fae-b23a-8eb7262a08ab","8f0a9010-efd6-4f29-89fd-ee870e17e1f7","13.35","teorth/pfr","condRho_sum_le'","wrong","The informal statement involves only two conditional rho terms (ρ(T₁|T₂,S) + ρ(T₂|T₁,S)) and four pairwise dependencies on the right-hand side, while the formal declaration has six conditional rho terms (involving T₃ as well) and six pairwise dependencies, making it a different and more general inequality.","wrong","The formal declaration includes three pairwise sums (T₁, T₂, T₃) and six conditional rho terms with all their combinations, whereas the informal statement only defines two pairwise sums (T₁, T₂) and includes only two conditional rho terms ρ(T₁|T₂,S)+ρ(T₂|T₁,S), making them fundamentally different inequalities."
"21","4eed8e77-a6a5-4bd0-ad11-ea5216d753dc","c201fe25-9778-486f-919c-d8f431a02344","2.8","YaelDillies/apap","general_hoelder","wrong","The formal statement bounds the energy of the Fourier transform of ν (an auxiliary function with hfν constraint) rather than the energy of Δ itself as stated in the informal statement, and introduces an extra parameter ν not present in the informal version.","wrong","The formal declaration introduces an auxiliary function ν (a non-negative real-valued function) and bounds the energy of its Fourier transform, whereas the informal statement directly bounds the energy of Δ itself without any auxiliary function, making these fundamentally different theorems."
"22","0f5263bf-8a7f-49aa-b133-1ed9894bff57","10fa244f-8050-435b-90ed-f2b1563fefd3","2.4","ImperialCollegeLondon/FLT","FreyPackage.of_not_FermatLastTheorem_p_ge_5","correct","The formal declaration correctly states that given nonzero integers a, b, c and a prime p ≥ 5 satisfying a^p + b^p = c^p, there exists a Frey package, which matches the informal definition that describes what constitutes a Frey package (the existence statement is the natural formalization of the definition when applied to a counterexample to Fermat's Last Theorem).","partial","The formal declaration constructs a Frey package from a Fermat equation solution (existential), whereas the informal statement defines what a Frey package IS (a structure with specific properties); the formal is a theorem about existence rather than a definition of the structure itself."
"23","beff80a3-96aa-41ed-b524-ddc4ee27ebe4","37628d49-7a43-4e22-a3d2-e0e48a630511","2.1.44","RemyDegenne/brownian-motion","MeasureTheory.Filtration.predictable_le_prod","wrong","The informal statement defines the predictable sigma-algebra itself, while the formal declaration states that the predictable sigma-algebra is contained in the product sigma-algebra, which is a property about the predictable sigma-algebra rather than its definition.","wrong","The informal statement defines the predictable sigma-algebra as a specific construction (generated by sets of the form (t,∞]×A and initial information), while the formal declaration only states a containment property (predictable ≤ prod) without defining or characterizing the predictable sigma-algebra itself."
"24","7cac5d5c-7734-41e8-84fc-48512722bbfc","a0e03136-c382-4b5b-a202-a62a9c69ab19","1.29","YaelDillies/gibbs-measure","Specification.isModifier_iff_ae_comm","wrong","The formal statement expresses a commutativity condition (ρ Λ₂ ζ.1 * ρ Λ₁ ζ.2 = ρ Λ₂ ζ.2 * ρ Λ₁ ζ.1) on product measures, while the informal statement requires an equality ρ_Λ₂ = ρ_Λ₁ · (γ_Λ₁ ρ_Λ₂) almost everywhere, which are fundamentally different conditions.","wrong","The formal declaration uses a commutativity condition (ρ Λ₂ ζ.1 * ρ Λ₁ ζ.2 = ρ Λ₂ ζ.2 * ρ Λ₁ ζ.1) rather than the multiplicative decomposition stated informally (ρ Λ₂ = ρ Λ₁ · (γ Λ₁ ρ Λ₂)), which are fundamentally different conditions."
"25","23b0874b-83fa-4531-8bbe-1b6c9d63d7d0","a4ae5c86-16dc-4fcf-a2ec-32d780d4b449","13.33","teorth/pfr","dist_le_of_sum_zero'","wrong","The informal statement bounds d[X₁;X₂] by 3I[T₁:T₂] plus entropy terms and conditional rho terms involving only T₃, while the formal declaration bounds it by the sum of all three pairwise mutual informations I[T₁:T₂] + I[T₁:T₃] + I[T₂:T₃] plus conditional rho terms involving all three pairs, which is a fundamentally different inequality.","wrong","The formal declaration includes three mutual information terms I[T₁:T₂] + I[T₁:T₃] + I[T₂:T₃], whereas the informal statement only includes I[T₁:T₂], and the entropy term structure differs significantly from what is stated in the LaTeX formula."
"26","6e25ad0e-f5e2-4a51-95e8-196d87fce1a2","32e4567c-ddd7-48ec-b0ff-1d65d79a2e34","13.34","teorth/pfr","construct_good_prelim","wrong","The informal statement is about bounding d[X_1;X_2] in terms of mutual informations and conditional entropies of T_i variables, while the formal statement introduces additional reference variables X₀₁, X₀₂ and a refPackage structure with distance terms d[p.X₀₁ # T₁] - d[p.X₀₁ # X₁] that do not appear in the informal statement, and uses a different formula structure.","wrong","The formal declaration bounds d[X₁ # X₂] (distance between reference variables) rather than d[X₁; X₂] (dependence between T₁ and T₂), and the right-hand side structure differs significantly from the informal statement's sum of pairwise mutual informations and weighted conditional entropies."
"27","49488d02-62b7-4eba-85f7-ca7b01b16f2b","b758a0a7-0567-413f-a1a4-a7a421e9c4fa","1.1.10","RemyDegenne/brownian-motion","ProbabilityTheory.covMatrix_map","wrong","The informal statement describes `covarianceBilin_map` relating covariance bilinear forms via the adjoint, but the formal declaration is `covMatrix_map` which relates covariance matrix entries using basis representations, which is a different (though related) theorem.","partial","The formal declaration specializes to finite-dimensional spaces (both E and F) and uses covariance matrices instead of the general covariance bilinear form, whereas the informal statement allows E to be an arbitrary Hilbert space and uses the covariance bilinear form C'_μ directly."
"28","cd29da73-0d65-437e-ac2f-8ad9d080eea8","524a7023-01cf-4800-a569-b4523d718c78","1.1","YaelDillies/apap","RCLike.marcinkiewicz_zygmund","wrong","The informal statement is about a single function f with bounded absolute values (≤2) and zero expectation, while the formal declaration is about a collection of functions indexed by ι with a different zero-mean condition and no boundedness assumption, and produces a bound involving the sum of individual norms rather than a simple (4mn)^m bound.","wrong","The informal statement bounds the expected value of |∑f(x_i)|^(2m) by (4mn)^m for n independent copies of a single function f, while the formal declaration bounds a sum over all n-tuples of a different quantity with a different bound (8m)^m * n^(m-1), and uses a zero-mean condition on sums rather than on individual function values."
"29","4021479c-031d-41bc-896e-5a6c06fac641","84842885-c881-4ef9-92bb-bf9e1d323e2d","10.0.3","fpvandoorn/carleson","distribution_czOperatorBound","wrong","The informal statement describes a weak-type (1,1) estimate for an operator T_r assuming an L2 bound, but the formal declaration has a completely different structure involving a Calderón-Zygmund decomposition with specific sets Ω and czOperatorBound, an average norm condition instead of an L2 bound assumption, and measures a different set than the informal statement describes.","wrong","The formal declaration uses a different setup (doubling metric measure space with compactly supported functions and average norm condition) compared to the informal statement (bounded functions on finite measure sets with L2 operator bounds), and the conclusion involves different thresholds (α/8 vs α) and different constant dependencies."
"30","018842dc-5937-47c5-b20e-5e32be19e4c7","0f8c05d3-c66a-45cf-9f49-6296aff28a43","71","kbuzzard/ClassFieldTheory","groupCohomology.instIsIso_shortExact_downSES","partial","The formal declaration only establishes that the connecting homomorphism δ is an isomorphism for all degrees n, which is part of the informal statement, but it does not formalize the complete reciprocity isomorphism in degree -1 or the explicit description of the maps involving G^ab ⊗ R and the augmentation ideal that are central to the informal statement.","partial","The formal declaration proves that the connecting map δ is an isomorphism for all degrees n, which is the core content, but it omits the explicit isomorphisms between Tate cohomology groups (the main statement H^n_Tate(G,aug(R,G)) ≅ H^{n+1}_Tate(G,M)) and the reciprocity map in degree -1, focusing instead on just the isomorphism property of the connecting homomorphism itself."
"31","cd1623c9-09d5-4bbf-a65b-54f4193e9652","5e870007-f0db-4928-ad4e-03b57be9819c","13.28","teorth/pfr","phi_min_exists","partial","The formal declaration proves existence of a phi-minimizer (which matches the informal definition), but the informal statement defines phi for general G-valued random variables while the formal version is specifically for finite abelian groups with discrete measurable structure and requires a nonempty finite subset A, making it more restrictive than the informal presentation suggests.","partial","The formal declaration proves existence of a probability measure minimizing phi over a finite subset A of a discrete abelian group, whereas the informal statement defines phi for arbitrary G-valued random variables without restricting to finite support or a specific finite subset, making the formal version more restrictive in scope."
"32","9895defe-2ca2-455e-846c-8f8bb900fae6","edd40db6-ffa0-4ad0-9163-2cbfb3fe704a","3.0.4","fpvandoorn/carleson","rcarleson","wrong","The informal statement describes a bound for an operator T_{2,σ₁,σ₂} involving a sum over integers between two measurable functions σ₁ and σ₂ with a kernel K_s and phase function Q, while the formal declaration is about the Carleson operator on the real line without these σ functions and has a different structure (square root exponents vs general q parameter).","wrong","The formal declaration uses exponents of 1/2 (square roots) for both measures, while the informal statement specifies exponents of (1-1/q) for μ(G) and 1/q for μ(F), which are different unless q=2, and the formal version also lacks the sum over integers s between σ1 and σ2 that is central to the informal operator definition."
"33","e505d3a3-1fde-4732-a187-67e340b7e9bf","b978afc6-ae02-4675-8fd1-4e86477bb1e9","1.6","YaelDillies/gibbs-measure","ProbabilityTheory.Kernel.IsProper.integral_bdd_mul","partial","The formal declaration requires additional conditions (finite kernel, integrability of f, boundedness of g, and works with real-valued functions) that are not present in the informal statement which claims the result holds for all nonnegative extended-real-valued measurable functions without these restrictions.","partial","The formal declaration requires f to be integrable and g to be bounded and strongly measurable (real-valued), whereas the informal statement allows f and g to be arbitrary nonnegative measurable functions with values in [0,∞], which is a weaker requirement that doesn't need integrability or boundedness assumptions."
"34","62f407b5-dc15-4637-ac88-1d9bdfef2f99","76614a40-1d55-48dc-a51f-53ab39e7e413","6.10","teorth/pfr","sum_dist_diff_le","wrong","The informal statement describes a lower bound on conditional distance d[X₁|X₁+X̃₂; X₂|X₂+X̃₁] ≥ k - η(...), while the formal declaration `sum_dist_diff_le` establishes an upper bound (≤) on a sum of differences involving mutual information terms d[X₀₁ # ...] and d[X₀₂ # ...], which are fundamentally different quantities and inequality directions.","wrong","The informal statement is a lower bound inequality on conditional distances d[X₁|X₁+X̃₂; X₂|X₂+X̃₁] ≥ k - η(...), but the formal declaration is an upper bound inequality on a sum of mutual information differences ≤ (6-3η)d[X₁#X₂] + ..., which are fundamentally different statements with opposite inequality directions and different mathematical structures."
"35","e1a2adc3-71e7-4f7e-841b-76bdec441df9","f1b2a917-9db9-46be-b455-77600fb56049","11.9","ImperialCollegeLondon/FLT","NumberField.AdeleRing.DivisionAlgebra.Aux.X_meets_kernel","wrong","The informal statement claims that for β in D_A^(1), the set Xβ^(-1) intersects D^× non-trivially, but the formal statement has β multiplied on the left (β * x = d) rather than on the right (x * β^(-1) = d), which is a different mathematical claim in a non-commutative division algebra.","partial","The formal declaration correctly captures the core mathematical content (existence of x in X and d in the image such that βx = d), but the informal statement emphasizes the intersection X·β⁻¹ ∩ D× ≠ ∅ which is logically equivalent but expressed differently, and the formal version adds technical details about Haar measure kernels and unit groups that go beyond the simple intersection statement in the informal version."
"36","e1217a0a-9c22-44bf-9e7f-f3a11c2f6382","105b68a4-9ff6-4e5d-9afb-5b07eee9ff32","2.1.80","RemyDegenne/brownian-motion","ProbabilityTheory.IsSquareIntegrable.ae_tendsto_limitProcess","wrong","The informal statement defines what it means for a process to have a limit (X_infinity) and when such a limit exists, while the formal declaration is a theorem stating that square integrable processes always converge almost surely to their limitProcess, which is a different mathematical claim.","partial","The formal declaration is a specialized instance (for square integrable processes) of the general definition stated informally, which describes the limit process concept without requiring square integrability; the formal theorem proves convergence for a specific class of processes rather than formalizing the general definition of limitProcess itself."
"37","937084a5-42bb-43ea-8ad0-a83bd602634a","80ecec02-065c-42d1-8c6c-42ae9a5dfb61","1.5.30","RemyDegenne/brownian-motion","edist_chainingSequence_le_sum","wrong","The formal declaration bounds the distance between a single point x and its chaining sequence approximation, while the informal statement bounds the distance between the projections of two different points x and y from potentially different cover levels k and ℓ.","wrong","The formal declaration compares a single point x with its chaining sequence approximation at level m, whereas the informal statement compares projections of two different points x ∈ C_k and y ∈ C_ℓ at level m, requiring both summation terms from the informal statement."
"38","94bdf4bc-71a2-4588-91ba-9194b8b4e1d0","57a803ab-6e27-481e-a541-d385521fd357","11.12","ImperialCollegeLondon/FLT","NumberField.AdeleRing.DivisionAlgebra.Aux.C_compact","wrong","The informal statement is about defining the set C as a product (T^{-1}.X) × X, while the formal declaration is about proving that C is compact, which is a theorem about C rather than its definition.","partial","The informal statement defines the set C as a subset of the adele ring product, while the formal declaration proves C is compact; the formal statement is a theorem about C rather than its definition, and uses a finite-dimensional division algebra over K instead of the more general setup suggested by the informal statement's reference to T being finite."
"39","c024eb12-47ec-4e88-aa3a-7f09e3e0b720","3963ecd8-9ba0-4ccc-ba2f-5298315c9aa0","2.1","YaelDillies/chandra-furst-lipton","NOF.Protocol.broadcast","wrong","The informal statement describes the definition of a NOF protocol as consisting of two maps (strategy and guess), while the formal declaration is for a broadcast function that uses a protocol to produce a sequence of boolean values, which is a derived operation rather than the protocol definition itself.","wrong","The informal statement defines a NOF protocol as consisting of two maps (strat and guess) with specific signatures, but the formal declaration is for a broadcast function that takes a protocol and produces a sequence, which is a derived construction rather than the protocol definition itself."
"40","d9c5e81f-5fca-4e9e-aea3-6e5500acc00e","660ee42f-14b2-45c2-9e81-3de0d50ea2d4","10.2.1","fpvandoorn/carleson","volume_univ_le","wrong","The informal statement describes the Hardy-Littlewood maximal inequality bounding the measure of the set where the maximal function exceeds α, while the formal statement bounds the total volume of the entire space under a condition where a 'GeneralCase' does not hold, which are fundamentally different results.","wrong","The formal declaration bounds the volume of the entire space (Set.univ) rather than the volume of the set where the maximal function exceeds α, and uses 2^(4*a) instead of 2^(2*a) as the constant, fundamentally changing the statement from the Hardy-Littlewood maximal inequality to something different."
"41","2aab1293-80c8-445e-8ad3-90073cfe660b","59d54d1d-3b19-4c5c-901b-28d913a2101c","10.12","ImperialCollegeLondon/FLT","MeasureTheory.ringHaarChar_real","correct","The formal declaration states that the Haar character on ℝ evaluated at a unit x equals the norm of x, which is equivalent to the informal statement that μ(rX) = δ_R(r)μ(X) since the Haar character δ_R is defined to be the scaling factor of the measure under multiplication, and ‖x‖ is the absolute value for real numbers.","wrong","The formal declaration is about the Haar character function (ringHaarChar) being equal to the absolute value norm, not about the measure of scaled sets μ(rX) = |r|μ(X), which are related but distinct statements—one characterizes a function while the other states a measure scaling property."
"42","5d9090cf-08c0-41dc-b035-c9dada444127","04c1b9a5-190d-4d18-abb0-0451b6730af1","5.5","ImperialCollegeLondon/FLT","ZHat.e_def","correct","The formal declaration correctly defines e_n as the sum of factorials from 0! to (n-1)! in the ring ℤ/nℤ (via ZHat), matching the informal statement's definition of e_N as the finite sum 0! + 1! + ⋯ + (N-1)! modulo N.","correct","The formal declaration correctly defines e_N as the sum of factorials from 0! to (N-1)! modulo N, where ZHat represents integers modulo n, Finset.range n gives {0,1,...,n-1}, and the sum computes factorials of these values cast into the modular arithmetic ring."
"43","f2eeb251-0c76-4d5b-aee3-1f3f21212b4d","042551b1-1c79-4515-b655-5e4b7d460ba3","13.30","teorth/pfr","I_two_le","wrong","The informal statement claims I₁ ≤ 2ηd[X₁;X₂] as a simple inequality, but the formal declaration proves a more complex inequality for I[X₁ + X₂ : X₁ + X₁'|X₁ + X₂ + X₁' + X₂'] with an additional adjustment term η/(1-η)*(2ηd[X₁#X₂] - I[X₁ + X₂ : X₁' + X₂|X₁ + X₂ + X₁' + X₂']), which is a substantially different statement.","partial","The formal declaration proves a more complex inequality with an additional adjustment term involving η/(1-η), whereas the informal statement claims a simpler bound of 2ηd[X₁;X₂], suggesting the formal version is a refinement or different result than what the informal slogan describes."
"44","0949d6e1-29c2-4949-8703-fea08eb22b72","6e879293-7948-443a-b23a-a7eadebe91dc","5.3.2","fpvandoorn/carleson","wiggle_order_11_10","wrong","The informal statement describes a relationship between two elements with different index sets where `(n + 2^{-95 a} m) p ≤ m p'` follows from `n p ≤ k p'`, but the formal declaration states that `n p ≤ n p'` follows from `p ≤ p'`, which is a completely different theorem about scaling preserving order rather than the wiggle room result described informally.","wrong","The formal declaration states a simple monotonicity property (if p ≤ p' then n·p ≤ n·p'), whereas the informal statement requires different index sets (𝒾(𝔭) ≠ 𝒾(𝔭')), involves a specific coefficient adjustment (n + 2^(-95a)m), and relates n·𝔭 ≲ k·𝔭' to (n + 2^(-95a)m)·𝔭 ≲ m·𝔭', which is fundamentally different from the formal declaration's content."
