"i","informal_sid","formal_sid","informal_ref","informal_paper","formal_decl_name","primary_label","primary_reason","secondary_label","secondary_reason"
"14","557c8585-d007-4f04-b415-8a9fff54c06f","e394c6fc-16a8-4918-891d-af877094e829","7.12","thefundamentaltheor3m/Sphere-Packing-Lean","MagicFunction.a.Fourier.eig_a","sibling_lemma_adjacency","The i→f rank 3 result is `SpherePacking.Dim24.eig_a` (the 24-dimensional version of the same eigenfunction property) and rank 5 is `MagicFunction.FourierEigenfunctions.a` (the definition of function a), both very close siblings to the gold `MagicFunction.a.Fourier.eig_a` which states the eigenfunction property for the 8-dimensional case.","multiple_correct_formalizations","The gold formal (MagicFunction.a.Fourier.eig_a) and rank-5 formal (MagicFunction.FourierEigenfunctions.a) both formalize the same mathematical fact about function a being a Schwartz eigenfunction of the Fourier transform with eigenvalue 1, but the embedding ranked a different (equally valid) formalization higher."
"15","46263bd3-b722-4e67-a9de-2d5c9a63660d","3700d7ab-3f12-46bb-9fad-523ddc76baf1","1.5.67","RemyDegenne/brownian-motion","ProbabilityTheory.second_term_bound","sibling_lemma_adjacency","The gold formal `second_term_bound` and the rank-1 results (e.g., `lintegral_sup_rpow_edist_le_of_minimal_cover_of_le_one`) are all closely related lemmas about bounding expected maximum distances for stochastic processes satisfying Kolmogorov conditions with covering numbers, differing only in technical details like whether they handle chaining sequences or grid-level comparisons.","sibling_lemma_adjacency","The gold formal `second_term_bound` is a specific intermediate result in a multi-step Kolmogorov continuity proof, while the top-ranked formal results (`lintegral_sup_rpow_edist_le_of_minimal_cover_of_le_one`, etc.) are closely related sibling lemmas from the same theoretical development that handle nearly identical bounds with minor variations in setup or scaling."
"16","2360231e-afac-47a2-a9bc-402c6796c214","506e02a2-9d43-4768-a1f9-13fd99935bc6","7.3.1","fpvandoorn/carleson","TileStructure.Forest.density_tree_bound1","sibling_lemma_adjacency","The rank-1 i→f result `adjoint_density_tree_bound1` is nearly identical to the gold `density_tree_bound1` except for the adjoint operator, and both are density bounds in the same TileStructure.Forest module with the same structure and constants.","sibling_lemma_adjacency","The gold formal `density_tree_bound1` and the rank-1 formal result `adjoint_density_tree_bound1` are sibling lemmas in the same paper with nearly identical structure (same forest/density/L2 norm bounds), differing only in whether they involve the Carleson sum or its adjoint."
"17","7b3bba56-da68-4fba-8a81-6b06bafc58b4","1d9ef8a6-9432-4bcc-a7de-a8c7234121b5","1.4.7","RemyDegenne/brownian-motion","ProbabilityTheory.posSemidef_brownianCovMatrix","sibling_lemma_adjacency","The rank-1 results in both directions are extremely similar positive-semidefinite covariance matrix statements from what appears to be the same mathematical context, differing only in whether they refer to a generic covariance matrix or the specific Brownian covariance matrix.","multiple_correct_formalizations","The gold formal is ranked at position 2 in the i→f direction, indicating that the embedding corpus contains multiple valid formalizations of the same theorem and the retriever is favoring a different one (the more general `posSemidef_covMatrix` at rank 1) over the specific Brownian motion variant."
"18","8d08b903-976e-48d8-8135-746fea681fd2","8431495f-36b2-4af0-be4b-6d25ddec7455","11","kbuzzard/ClassFieldTheory","groupHomology","multiple_correct_formalizations","The gold formal defines group homology using inhomogeneous chains, but the retriever found several other valid formalizations of group homology (ranks 1-5 in both directions describe the same concept using projective resolutions, tensor products, and chain complexes), all of which are mathematically equivalent definitions of the same object.","multiple_correct_formalizations","The gold formal `groupHomology` is the canonical definition, but the retriever is ranking related homology computations (via chain complexes, resolutions, and induced representations) that formalize equivalent or closely-related characterizations of the same mathematical object, suggesting the embedding corpus contains multiple valid formalizations of group homology that compete for relevance."
"19","c3ce2bba-44ab-4cc0-a6c3-9c2d737da9e3","a1491394-89bc-41e3-b9b5-c192e9106fe4","1.2","YaelDillies/chandra-furst-lipton","NOF.IsForbiddenPattern","equation_vs_definition","The gold formal is the bare definition `NOF.IsForbiddenPattern`, but the retriever ranked higher several `*_iff` and `*_of` lemmas that characterize forbidden patterns with tips (ranks 1-4 in i→f), which are property statements about the definition rather than the definition itself.","sibling_lemma_adjacency","The gold formal NOF.IsForbiddenPattern is closely related to the rank-1 results NOF.IsForbiddenPatternWithTip and its variants, which are sibling lemmas in the same paper that define a more specific version of the same concept with an explicit tip element."
"20","8bdec393-9290-4704-b3e8-3aa7aa5e3a10","9cf090bc-0032-4270-81ab-4dde7854202c","3.4","leanprover-community/flt-regular","IsCyclotomicExtension.Rat.isIntegralClosure_adjoin_singleton_of_prime_pow","sibling_lemma_adjacency","The rank-3 informal result is essentially identical to the gold informal (both describe the ring of integers for a primitive p-th root of unity for odd prime p), and the f→i retrieval shows multiple near-identical statements about cyclotomic integer rings from what appears to be the same paper or closely related sections.","sibling_lemma_adjacency","The gold informal (3.4) appears at rank 3 in the f→i results, and the rank-1 result (6.2.1) is a nearly identical sibling statement about the same theorem from the same paper, differing only in minor details (odd prime vs. general prime, and omission of the '1 minus root' clause)."
"21","7efcd8fa-6af1-40ab-8019-763359be4eb2","c55e2155-88f9-4d23-a822-c6c0dbd0c7a0","1.5.36","RemyDegenne/brownian-motion","PairReduction.radius_logSizeBallSeq_le","sibling_lemma_adjacency","The rank-3 informal statement is about the definition of a log-size ball sequence itself (1.5.35), while the gold informal (1.5.36) is about a specific property (radius bound) of that same sequence construction, indicating these are adjacent lemmas in the same paper where the retriever picked the definitional sibling over the property statement.","sibling_lemma_adjacency","The gold informal (1.5.36) is about the radius bound of a log-size ball sequence, and rank-3 in the f→i results is informal 1.5.35 which describes the log-size ball sequence process itself—these are consecutive lemmas in the same paper where 1.5.36 is a direct property of the structure defined in 1.5.35, making them sibling lemmas with high semantic overlap that confuses the embedding."
"22","264cb24a-d27d-43e5-92ac-60f849254d68","eac532dc-08f3-457c-b49d-7b533e4b1518","11.3.5","fpvandoorn/carleson","continuous_dirichletApprox","sibling_lemma_adjacency","The gold formal is about continuity of `dirichletApprox`, while the i→f rank-4 result `dist_dirichletApprox_le` is about bounding the difference between `dirichletApprox` and a Hilbert kernel—both are properties of the same `dirichletApprox` function from the same paper, and the retriever picked a closely related sibling lemma instead of the continuity statement.","bad_blueprint_annotation","The gold formal `continuous_dirichletApprox` states that the Dirichlet approximation function is continuous, which is a basic property lemma, whereas the gold informal describes a complex approximation theorem involving bounds on differences between L' and indicator functions—these are fundamentally different theorems, suggesting the blueprint annotation points to the wrong declaration."
"23","cc2a8f6f-9689-4944-bb00-05a04ff05f0c","df6a9fab-6e79-4a38-9937-67a0350168f9","7.5.9","fpvandoorn/carleson","TileStructure.Forest.global_tree_control1_edist_left","sibling_lemma_adjacency","The gold formal `global_tree_control1_edist_left` and the rank-1 i→f result `dist_χ_le` are both distance-bounding lemmas in the same TileStructure.Forest module with very similar structure (bounding distances between function values at two points by scaled distances), and the retriever picked a closely related sibling instead of the exact match.","sibling_lemma_adjacency","The gold formal `global_tree_control1_edist_left` and the rank-4 result `global_tree_control1_edist_part2` are both part of the same `global_tree_control1` family of lemmas in the same module, with nearly identical structure (distance bounds on phase-adjusted Carleson sums over tiles), suggesting the embedding conflated closely related sibling results."
"24","f7cef728-5e58-4768-ad27-8d5bc5550587","b864867e-81ba-497f-9b5f-6ae9c759f4ea","5.19","ImperialCollegeLondon/FLT","QHat.rat_join_zHat","sibling_lemma_adjacency","The rank-1 result in f→i is informal 5.10 (about tensor product structure of QHat) which is a closely related sibling statement to the gold informal 5.19 in the same paper, both describing the structure of the profinite completion of rationals but from different perspectives (tensor product vs. sum decomposition).","sibling_lemma_adjacency","The gold informal (5.19) appears at rank 2 in the f→i results, and the gold formal (QHat.rat_join_zHat) appears at rank 2 in the i→f results, both displaced by closely related sibling lemmas from the same paper (5.10 for informal, QHat definition for formal) that describe the same mathematical object using slightly different formulations (tensor product vs. direct sum decomposition)."
"25","2538ab1e-af2c-4624-a615-15f471dc7206","482872f0-8b07-4682-83bd-f32f0d05c632","1.3.23","RemyDegenne/brownian-motion","ProbabilityTheory.isGaussian_stdGaussian","sibling_lemma_adjacency","The f→i rank 2 result describes the standard Gaussian measure on Euclidean space E (essentially the same concept as the gold informal), and the retriever is confusing closely related definitions and examples from the same conceptual cluster in the same paper.","sibling_lemma_adjacency","The gold informal (1.3.23) is about the standard Gaussian measure being a Gaussian measure, while rank-1 informal (1.3.4) is the general definition of what it means for a measure to be Gaussian—these are adjacent lemmas in the same paper where the definition naturally precedes the application to the standard case."
"26","d9c342d0-ac32-43b7-bc5f-423a65c6581a","2c061458-361c-4301-85e1-89109c8ac535","12.4","teorth/pfr","ProbabilityTheory.condMutual_comp_comp_le","sibling_lemma_adjacency","The rank-1 result in f→i is informal 6.4, which states essentially the same theorem about conditional mutual information I(f(X);g(Y)|Z) ≤ I(X;Y|Z) as the gold informal 12.4, and both are sibling lemmas from the same paper describing the identical mathematical result.","sibling_lemma_adjacency","The gold formal ProbabilityTheory.condMutual_comp_comp_le appears at rank 2 in the i→f results, indicating it is a sibling lemma very close to the rank-1 result (mutual_comp_le) in the same paper, and the embedding retriever favored a related but distinct statement."
"27","9d3e39f6-efee-4e07-8c4b-9020efe60cac","afa0609b-dfdb-41e4-9a49-051d7d9ac66b","7.9","ImperialCollegeLondon/FLT","AutomorphicForm.GLn.AutomorphicFormForGLnOverQ","sibling_lemma_adjacency","The i→f rank-1 result is `instCoeFunForallProdGeneralLinearGroupFinFiniteAdeleRingIntRatComplex`, which is essentially the coercion-to-function instance for the exact same automorphic form structure that appears at rank 2 as the gold formal, both describing GL_n automorphic forms over rationals with nearly identical content.","multiple_correct_formalizations","The gold formal declaration appears at rank 2 in the i→f results, while rank 1 is a closely related sibling (AutomorphicFormForGLnOverQ.instCoeFunForallProdGeneralLinearGroupFinFiniteAdeleRingIntRatRealComplex) that formalizes the same concept with nearly identical content, suggesting the embedding favors a different but equally valid formalization."
"28","758efd07-33b6-47ce-acb4-d485b18e1e74","df372b5e-cf2f-4df3-b4db-fc47a33b3c63","10.2","teorth/pfr","Finset.card_sq_le_card_mul_addEnergy'","sibling_lemma_adjacency","The gold formal `card_sq_le_card_mul_addEnergy'` is about bounding the square of density of pairs whose sum is in a third set u, while the rank-1 informal (2.1) and other top results are all closely related additive energy statements from the same project, differing mainly in which inequality direction or which sets are being bounded.","compound_statement_dilution","The gold informal statement combines a specific result about pairs summing into B with a general energy bound, while the top-ranked informal results focus heavily on the definition and properties of additive energy itself, causing the embedding to be distracted by the energy-definition terminology rather than the specific sumset-density relationship."
"29","2d29931b-a723-43c1-bedb-b7bc53a011b7","ceabe6b3-00c6-4716-8af7-e691099bc6d7","6.1.5","fpvandoorn/carleson","Tile.correlation_le","sibling_lemma_adjacency","The gold formal `Tile.correlation_le` appears at rank 5 in i→f, while ranks 1 and 2 are `Tile.correlation_le_of_empty_inter` and `Tile.correlation_le_of_nonempty_inter`, which are clearly case-split siblings of the same correlation inequality theorem in the same paper.","sibling_lemma_adjacency","The gold formal Tile.correlation_le appears at rank 5 in the i→f results, while its sibling lemmas Tile.correlation_le_of_empty_inter and Tile.correlation_le_of_nonempty_inter (which are case splits of the same theorem) rank at positions 1-2, indicating the embedding favors related but distinct formulations from the same paper."
"30","ad166bd2-e141-435a-bdcf-ea9551d0e222","14aa3aa6-0b42-462d-8e33-12e89d291c0b","13.37","teorth/pfr","dist_of_min_eq_zero","sibling_lemma_adjacency","The i→f retrieval ranks `dist_of_min_eq_zero'` at rank 1, which is clearly a sibling lemma (note the prime) of the gold formal `dist_of_min_eq_zero`, both proving essentially the same result about phi-minimizers having zero distance under slightly different technical conditions.","sibling_lemma_adjacency","The gold formal `dist_of_min_eq_zero` appears at rank 2 in the i→f results, while rank 1 is occupied by `dist_of_min_eq_zero'`, a sibling variant of the same lemma from the same paper with nearly identical semantics."
"31","a3bae529-016c-447b-b788-76420447ae5e","765ef6c3-6bd3-4496-873b-1df7c6417958","6.9","teorth/pfr","rdist_of_sums_ge","sibling_lemma_adjacency","The gold formal `rdist_of_sums_ge` appears at rank 2 in i→f, while rank 1 is `distance_ge_of_min` which is a closely related lemma about minimizers and distances with very similar structure and error terms from the same paper.","sibling_lemma_adjacency","The gold formal `rdist_of_sums_ge` appears at rank 2 in the i→f results, and the rank-1 result `distance_ge_of_min` is a closely related sibling lemma from the same paper addressing a similar distance-minimization property with nearly identical error term structure."
"32","99af804a-a934-4058-ac75-c5990a08aafb","7217047b-3a65-4a26-82fb-de506538d647","2.8","YaelDillies/chandra-furst-lipton","NOF.funComplexity","equation_vs_definition","The gold formal is the bare definition `NOF.funComplexity` (rank 2 in i→f), but the rank-1 result `NOF.Protocol.complexity` is a related but distinct definition about protocol complexity rather than function complexity, and the informal query asks for the deterministic communication complexity definition which matches the function-level concept better.","multiple_correct_formalizations","The gold formal NOF.funComplexity appears at rank 2 in the i→f results, while rank 1 is NOF.Protocol.complexity, which is a closely related but distinct formalization of communication complexity (protocol-level vs. function-level), and both are valid formalizations of similar concepts in the same paper."
"33","cc139a15-a85c-4622-8053-3fba6c92ca71","b3569e8a-3650-44ee-ab7a-559018028c49","6.25","thefundamentaltheor3m/Sphere-Packing-Lean","Delta_imag_axis_pos","sibling_lemma_adjacency","The rank-1 result in i→f direction is `Delta_it_re_pos` which proves the real part of Δ(it) is positive, while the gold formal `Delta_imag_axis_pos` proves Δ(it) itself is real and positive—these are closely related sibling lemmas about the same function Δ on the imaginary axis in the same paper.","sibling_lemma_adjacency","The gold formal (Delta_imag_axis_pos) concerns positivity of Δ on the imaginary axis, while rank-1 formal (Delta_it_re_pos) concerns positivity of the real part of Δ at i*t, and rank-1 informal (6.26) concerns nonvanishing of Δ—all closely related sibling lemmas from the same formalization project about the same discriminant function."
"34","e4c7102f-39d6-453d-9ce7-84b3ab8e6a5f","b8070e69-5ca2-4b89-a05c-84c724dd5b18","10.35","ImperialCollegeLondon/FLT","NumberField.AdeleRing.ModuleBaseChangeContinuousLinearEquiv","sibling_lemma_adjacency","The gold formal is about base change from K to L for a finite-dimensional L-vector space V, while the rank-1 result (ModuleBaseChangeLinearEquiv) is the non-continuous/algebraic version of the same base change isomorphism, and both are closely related declarations in the same NumberField.AdeleRing module.","multiple_correct_formalizations","The gold formal (ModuleBaseChangeContinuousLinearEquiv) appears at rank 2 in the i→f results, while rank 1 (ModuleBaseChangeLinearEquiv) is a closely related sibling that formalizes the same theorem but without the continuous/topological aspect emphasized in the gold, indicating the embedding favors a different but equally valid formalization."
"35","9f5d7ffa-ec14-4c32-95bb-716babfeb4fa","3b798ff1-b198-498a-a652-f12e28a17083","11.3.2","fpvandoorn/carleson","intervalIntegral.integral_comp_sub_right","multiple_correct_formalizations","The gold formal `integral_comp_sub_right` is a general shift theorem for integrals, but the retriever found several other closely related shift/translation theorems (ranks 2-3 in i→f direction show `setLIntegral_nnreal_Ici` and `lintegral_shift`) that also formalize integral shift properties, and the informal statement about periodic functions integrating the same over shifted intervals can be formalized by multiple different shift lemmas.","multiple_correct_formalizations","The gold formal `intervalIntegral.integral_comp_sub_right` is a specific formalization of integral shift properties, but the retriever favors rank-1 result `integral_periodize` and other related shift/periodicity lemmas that formalize overlapping or adjacent theorems in the same domain, suggesting the embedding corpus contains multiple valid formalizations of similar shift-invariance properties."
"36","6047170d-f841-47a6-bbc2-6d554ba98012","4a877d76-5b74-45dd-a694-56a42f723caa","2.8","leanprover-community/flt-regular","Polynomial.aeval_root_derivative_of_splits","bad_blueprint_annotation","The informal statement describes a product formula involving differences between a root and all other roots, while the gold formal is about derivatives vanishing at repeated roots—these are fundamentally different theorems about polynomial derivatives.","bad_blueprint_annotation","The gold formal's slogan describes a property of repeated roots and derivatives (roots of multiplicity >1 are roots of the derivative), while the gold informal describes evaluating a derivative at a root as a product of differences between roots—these are fundamentally different theorems, suggesting the blueprint annotation points to the wrong formal declaration."
"37","768c72f4-15a3-4174-8412-6e75d88e2606","b4d94eb8-467d-4083-8d47-9f184d40c670","2.8","leanprover-community/sphere-eversion","RelMfld.slice","sibling_lemma_adjacency","The i→f retrieval returns `RelLoc.slice` at rank 1 and the gold `RelMfld.slice` at rank 5; these are near-identical slice definitions differing only in whether they work on local relations (RelLoc) or manifold relations (RelMfld), and the informal statement matches both equally well.","sibling_lemma_adjacency","The gold formal `RelMfld.slice` appears at rank 5 in the i→f results, while rank 1-4 are all closely related sibling lemmas (`RelLoc.slice`, `RelLoc.mem_slice`, `RelLoc.FormalSol.sliceAt`, `DualPair.update`) that define or characterize the same slice concept at different abstraction levels within the same codebase."
"38","059dcbb4-27b5-49b1-b82b-adc70fa49f77","433fe811-c624-4722-8e79-ed7bc60ecb42","8.6","teorth/pfr","dist_diff_bound_1","sibling_lemma_adjacency","The rank-1 i→f result 'sum_dist_diff_le' is extremely similar to the gold formal 'dist_diff_bound_1' (both bound sums of conditional/marginal distance differences for the same random variables X1, X2, X1', X2'), indicating they are sibling lemmas in the same paper with nearly identical structure.","sibling_lemma_adjacency","The gold formal `dist_diff_bound_1` is a specific bound on the sum of six conditional distribution differences, while the rank-1 formal `sum_dist_diff_le` appears to be a closely related sibling lemma in the same paper bounding a similar sum of differences between conditional and marginal distances, suggesting they are adjacent results in the same theoretical development."
"39","a411dd2f-ee4d-428b-a8e5-156af1b837c0","ccccf1b0-6983-4d6d-9799-3249d561a2b9","4.2.3","fpvandoorn/carleson","Construction.iUnion_ball_subset_iUnion_Ω₁","sibling_lemma_adjacency","The gold formal `Construction.iUnion_ball_subset_iUnion_Ω₁` appears at rank 3 in i→f, while rank 1 and 2 are closely related lemmas (`frequency_ball_cover` and `subset_cball`) about similar ball-containment properties in the same construction, and the f→i direction retrieves other ball-covering statements from the same paper instead of the gold informal.","sibling_lemma_adjacency","The gold formal (Construction.iUnion_ball_subset_iUnion_Ω₁) appears at rank 3 in the i→f direction, while rank 1 and rank 5 are closely related sibling lemmas about ball/Ω₁ containment from the same construction module, suggesting the embedding cannot distinguish between these highly similar adjacent results in the same paper."
"40","12e1ed60-cf48-484b-a58b-f9050ad4f227","28e1b58d-5d61-4c19-9805-dabab83eb9be","5.3.4","fpvandoorn/carleson","ordConnected_tilesAt","lexical_hijack","The informal statement about 'convex sets P(k)' triggered lexical matches to generic convexity lemmas (ranks 1, 3, 5 in i→f) and tile ordering systems (ranks 1, 2, 4 in f→i), missing that the gold formal is specifically about 'ordConnected' for TilesAt(k), which is a different connectivity property than geometric convexity.","terminology_drift","The informal statement uses 'convex' and 'P(k)' while the formal uses 'ordConnected' and 'TilesAt k', describing the same geometric property but with different mathematical terminology that the embedding fails to bridge."
